,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLL_glcm_MCC,0.7154775064491351,0.3852139657123591,0.8932464032596975,0.1050660671809185,0.30901804791116955,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointEnergy,0.45024144456783866,0.10346398328516315,2.1215702220872754,0.11258046939534717,0.30901804791116955,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointEntropy,0.5385910686642816,0.8923173880450435,-0.7283666469520133,0.10409236373976744,0.30901804791116955,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZoneVariance,0.9442342783685654,0.3758745314035608,1.3288936935764732,0.0596690931287067,0.30901804791116955,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_MaximumProbability,0.46066922101566954,0.1294114197542619,1.831766277637582,0.15413994754974103,0.30901804791116955,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumAverage,0.32976105207015927,0.6442866500181189,-0.9662816888425091,0.11556298162447018,0.30901804791116955,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumSquares,0.5591035631671861,0.8567835603228161,-0.6158152591100655,0.1822670106450578,0.30901804791116955,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_GrayLevelNonUniformity,0.42251403075099003,0.7574081884562937,-0.8420717676213476,0.17071542379288593,0.30901804791116955,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceVariance,0.5918456448714233,0.241955428341127,1.2904796588291836,0.1335790433909754,0.30901804791116955,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunEmphasis,0.5757314601206978,0.19565381110880997,1.5570928361275482,0.11241013508730416,0.30901804791116955,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunHighGrayLevelEmphasis,0.5254186838870724,0.22014984681643943,1.2549816631893922,0.183430911848156,0.30901804791116955,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunLowGrayLevelEmphasis,0.5897852515374601,0.235026238448455,1.3273679171153663,0.1020988889707061,0.30901804791116955,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceNonUniformityNormalized,0.4214552297565436,0.7422600862964946,-0.8165454075425187,0.17246446948543773,0.30901804791116955,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunEntropy,0.579899333089557,0.23728964661538293,1.2891533246452624,0.16231608921233587,0.30901804791116955,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformity,0.41835784061169823,0.7376508891297482,-0.8182007145175433,0.1896247112182177,0.30901804791116955,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointAverage,0.3297610520701557,0.6442866500181161,-0.9662816888425185,0.11556298162447001,0.30901804791116955,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformityNormalized,0.42740319458657194,0.7450286573072636,-0.8016982281489483,0.1843289404306712,0.30901804791116955,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunVariance,0.5824011430901703,0.16393906318196994,1.8288535282898148,0.0947817270352957,0.30901804791116955,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,0.37662462556005605,0.7177090949477402,-0.9302718694407349,0.13096349367147883,0.30901804791116955,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelNonUniformity,0.8229166666666667,0.20833333333333334,1.9818526532897407,0.01483867575354092,0.30901804791116955,r_amygdala,male_P45_nrxn,male_P45_control
