,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHH_firstorder_10Percentile,0.43906979421210696,0.7314847134788784,-0.7363774275953479,0.16500146654897957,0.5038004597321426,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceNonUniformityNormalized,0.3054509303115045,0.5091220639821528,-0.7370709550435735,0.3207766647403648,0.5038004597321426,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_JointEnergy,0.2948220506377801,0.5150894648088041,-0.8049786007173565,0.3277437559365992,0.5038004597321426,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_JointEntropy,0.7051734112555366,0.48573347503270836,0.5378131632706168,0.3300761632727831,0.5038004597321426,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_MCC,0.3127088464953487,0.553333304947935,-0.8233287282216788,0.27819389860361,0.5038004597321426,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceNonUniformity,0.30545093031150494,0.5091220639821534,-0.7370709550435732,0.32077666474036476,0.5038004597321426,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_SumEntropy,0.7594383966196165,0.4957704490645057,0.6152606617653296,0.2130751901086847,0.5038004597321426,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceEntropy,0.8054411676416153,0.4977268068748749,0.6944251224168896,0.13562836290916674,0.5038004597321426,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_GrayLevelNonUniformity,0.34877785840585496,0.5959075290523245,-0.7727800195617057,0.2981548889348328,0.5038004597321426,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_SmallDependenceHighGrayLevelEmphasis,0.6623679773689259,0.3377436908109196,0.9717041067742896,0.13526380340154093,0.5038004597321426,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_ZoneVariance,0.2502586790720846,0.0020636841528529847,6.922054109970812,0.29542780047350914,0.5038004597321426,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_ZonePercentage,0.25,0.0,inf,0.29235199244023835,0.5038004597321426,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_ZoneEntropy,0.25,0.0,inf,0.29235199244023835,0.5038004597321426,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SmallAreaLowGrayLevelEmphasis,0.2500000057150745,3.597410535163698e-08,22.72846598338495,0.29235204283238064,0.5038004597321426,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_InverseVariance,0.3624351920049662,0.6038245664396633,-0.736406407630168,0.31509808673940104,0.5038004597321426,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SmallAreaHighGrayLevelEmphasis,0.2500001408502702,8.366249103211844e-08,21.510844617368225,0.29235180736130195,0.5038004597321426,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunLengthNonUniformity,0.29288458263043005,0.5839280030838545,-0.9954582471295075,0.15778284833811568,0.5038004597321426,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunLengthNonUniformityNormalized,0.3010253757594228,0.6341776384866187,-1.0750018999336866,0.09916313578660513,0.5038004597321426,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunPercentage,0.35038986354775936,0.5976608187134502,-0.7703659263321129,0.29624166230690874,0.5038004597321426,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SmallAreaEmphasis,0.25000000027883057,2.227427577742224e-09,26.741974330663265,0.2923519957381975,0.5038004597321426,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_ShortRunEmphasis,0.3719335415233562,0.750586855161363,-1.0129741666765901,0.05847501189955302,0.5038004597321426,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SizeZoneNonUniformityNormalized,0.75,1.0,-0.4150374992788438,0.29235199244023835,0.5038004597321426,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_ShortRunLowGrayLevelEmphasis,0.25397659499155445,0.6606373049394392,-1.3791628854605469,0.07607098643619284,0.5038004597321426,r_amygdala,male_P45_nrxn,male_P45_control
