,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHL_firstorder_10Percentile,0.6020112291165709,0.9035408014969363,-0.5857993534778508,0.15782767232776412,0.5511288667964901,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointEntropy,0.6342013130203661,0.8731735315749077,-0.4613275343834737,0.26933037236583995,0.5511288667964901,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_MCC,0.4189965083241352,0.11674337154601408,1.8435975824485522,0.15221825135157468,0.5511288667964901,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_DependenceNonUniformity,0.5236322860512124,0.7079388477088939,-0.4350706910773594,0.34481859258946096,0.5511288667964901,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_DependenceEntropy,0.4762247782565012,0.2920246732464193,0.7055524188732516,0.40513941074820375,0.5511288667964901,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumSquares,0.6288629386885223,0.8193110349087476,-0.3816656313983146,0.35916107273521214,0.5511288667964901,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelNonUniformity,0.5192838588625599,0.7789830985563124,-0.5850686445812964,0.26203342164656507,0.5511288667964901,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_ZoneVariance,0.7051106547043684,0.3655653306298832,0.947720425843778,0.3212360056687696,0.5511288667964901,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_ZonePercentage,0.5,0.20000000000000004,1.3219280948873622,0.22745281805976322,0.5511288667964901,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LongRunEmphasis,0.45871483319734496,0.20542693287037972,1.1589722185680007,0.2529528545331758,0.5511288667964901,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LongRunHighGrayLevelEmphasis,0.6774227899479985,0.36240699469394944,0.9024457223694146,0.20609656309441454,0.5511288667964901,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LongRunLowGrayLevelEmphasis,0.3825112566504004,0.1597134868509908,1.2600160595901164,0.32757200050938295,0.5511288667964901,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_ZoneEntropy,0.542481250360578,0.23398500028846247,1.2131572267508335,0.24466298146348375,0.5511288667964901,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunEntropy,0.49676781036504947,0.24193576080264947,1.0379476611274912,0.2653063516057386,0.5511288667964901,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunLengthNonUniformity,0.5128219892263081,0.750192490813103,-0.5488026977427486,0.3084469301175321,0.5511288667964901,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunLengthNonUniformityNormalized,0.521132394916545,0.7528600339426198,-0.5307317356950745,0.31651935364725814,0.5511288667964901,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunPercentage,0.5219181130396084,0.7792612372051618,-0.5782835829375751,0.2647187898616982,0.5511288667964901,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunVariance,0.452490519303132,0.2169570662212239,1.060477989768676,0.26589225319956056,0.5511288667964901,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_ShortRunEmphasis,0.5073509556305433,0.7538370125013556,-0.5712685669934108,0.30130962129209843,0.5511288667964901,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_ShortRunHighGrayLevelEmphasis,0.38964898788450686,0.5999139254327563,-0.6225804513512682,0.3682401072071356,0.5511288667964901,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_ShortRunLowGrayLevelEmphasis,0.568622822620177,0.8257914840997451,-0.5383055357921829,0.29548619246532554,0.5511288667964901,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_GrayLevelNonUniformity,0.5833333333333334,0.2666666666666667,1.1292830169449661,0.26466713075022463,0.5511288667964901,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_SmallAreaLowGrayLevelEmphasis,0.4851464956510737,0.011111001041642487,5.448359744918955,0.09491698620291782,0.5511288667964901,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_SmallAreaHighGrayLevelEmphasis,0.31995877020405056,0.04740737335304042,2.7547026452061574,0.23319138873779954,0.5511288667964901,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_HighGrayLevelZoneEmphasis,0.5,0.7,-0.4854268271702417,0.40708382206558924,0.5511288667964901,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_LargeAreaEmphasis,0.4171687217721288,0.7292905412375402,-0.8058626903398239,0.26759205953861737,0.5511288667964901,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_LargeAreaHighGrayLevelEmphasis,0.3692210572911256,0.6372780537615431,-0.7874381442222912,0.3185605722934315,0.5511288667964901,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_LargeAreaLowGrayLevelEmphasis,0.3982683286214891,0.7042964200645411,-0.8224419922956375,0.23520203909591797,0.5511288667964901,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_LowGrayLevelZoneEmphasis,0.5,0.3,0.7369655941662062,0.4070838220655887,0.5511288667964901,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_SizeZoneNonUniformity,0.25,0.0,inf,0.29235199244023835,0.5511288667964901,r_amygdala,male_P45_nrxn,male_P45_control
