,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_glszm_ZoneVariance,0.5486976069417784,0.17103092822136062,1.681754046594233,0.1473883207716303,0.6001683651976097,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LargeAreaHighGrayLevelEmphasis,0.5679394842176266,0.1792821080864351,1.6635056961408492,0.15758657259991438,0.6001683651976097,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LargeAreaLowGrayLevelEmphasis,0.5986096806626943,0.18929452473211972,1.6609829278888224,0.11222352524730576,0.6001683651976097,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LowGrayLevelZoneEmphasis,0.25099957912457915,0.8106060606060602,-1.6913160168591537,0.03478725344716469,0.6001683651976097,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelVariance,0.3993053309821474,0.05840846778445634,2.773242888493142,0.10850695017430881,0.6001683651976097,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelNonUniformityNormalized,0.23968134425601373,0.7970929678799599,-1.7336303805434818,0.03416242325896568,0.6001683651976097,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelNonUniformity,0.2869869328202662,0.7222823472823474,-1.3315778619195124,0.07913851319610259,0.6001683651976097,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_ZonePercentage,0.3437500000000001,0.7250000000000002,-1.0766212816029126,0.14420637146585044,0.6001683651976097,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_ClusterShade,0.4189157343585971,0.11855274916870111,1.8211309539875753,0.1314503932833684,0.6001683651976097,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Variance,0.4781442626140633,0.12257366715605249,1.9637968904571195,0.12166091530024772,0.6001683651976097,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceVariance,0.5370653517330574,0.9256272107446541,-0.7853336257224764,0.05513778343289374,0.6001683651976097,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LargeAreaEmphasis,0.5976703723117528,0.1887439022604562,1.6629199912076686,0.141934593426013,0.6001683651976097,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Skewness,0.36531218543882404,0.7898978953605529,-1.112536300752505,0.06512706937383467,0.6001683651976097,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_TotalEnergy,0.3898680113776482,0.07413042204911983,2.394848156374953,0.15886938117891686,0.6001683651976097,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_RobustMeanAbsoluteDeviation,0.5522679184984779,0.1571252399906709,1.813453374816167,0.0742062735171387,0.6001683651976097,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_90Percentile,0.44342811082148736,0.10358741488936403,2.097851494956553,0.13588422641854794,0.6001683651976097,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Energy,0.38986801137764837,0.07413042204911979,2.3948481563749544,0.15886938117891652,0.6001683651976097,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_InterquartileRange,0.5488770962492163,0.15169128182145356,1.8553449675319977,0.06650598386182656,0.6001683651976097,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Kurtosis,0.15455774349989687,0.6361702229324055,-2.0412669090823403,0.04154974942698784,0.6001683651976097,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_MeanAbsoluteDeviation,0.5407384303476717,0.17315908189131288,1.642832836226217,0.10727860581170286,0.6001683651976097,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_RootMeanSquared,0.406349334141759,0.0889883968697851,2.1910313886804893,0.15704013904522524,0.6001683651976097,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_HighGrayLevelZoneEmphasis,0.49083333333333334,0.09090909090909087,2.4327367519718774,0.059391061129375144,0.6001683651976097,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Mean,0.40238275737459284,0.08648417566635729,2.2180603984133067,0.15914106007621767,0.6001683651976097,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Median,0.3872964825892564,0.06657305324661786,2.54042815757525,0.1636822814175299,0.6001683651976097,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunEmphasis,0.5723581972563736,0.7972997248498783,-0.47820386396445264,0.3296012894632997,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunLowGrayLevelEmphasis,0.38077681953241116,0.13715458058449617,1.4731428496631152,0.28587365814680205,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunPercentage,0.558663400027222,0.7140873826051448,-0.35412131966514554,0.5191470769599981,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunHighGrayLevelEmphasis,0.37062268726540004,0.1361214282215597,1.4450570034508552,0.3047642736655001,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LowGrayLevelRunEmphasis,0.589841884102467,0.8001827128244943,-0.44000119056729364,0.34860596320544074,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformityNormalized,0.5132469496492228,0.67281294248873,-0.39055231002335444,0.523747654442948,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunHighGrayLevelEmphasis,0.5505994970123753,0.7618155071914768,-0.4684383630920567,0.33679368709335356,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunLowGrayLevelEmphasis,0.5860873891282233,0.8208551814000528,-0.48601192321402487,0.33329184115837207,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_10Percentile,0.324131552194345,0.06764243256007667,2.260579016842572,0.25131704943615757,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_SmallAreaHighGrayLevelEmphasis,0.3235722157737081,0.1618207483714117,0.9996911335188998,0.46681461875345664,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_ZoneEntropy,0.38572880246120744,0.6529520553411301,-0.7593901857525097,0.23299936136871846,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunEmphasis,0.36753871108669456,0.1295844515977672,1.5040035856051532,0.3010526295146574,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceEntropy,0.5810063276732081,0.8134808819854993,-0.48555456486872595,0.30359017139280525,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceNonUniformity,0.37302085750451924,0.07105279612279121,2.3922929714840286,0.19866127955267085,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceNonUniformityNormalized,0.3730208575045193,0.07105279612279128,2.3922929714840273,0.19866127955267102,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_GrayLevelNonUniformity,0.44260512895215676,0.27392186933081925,0.6922557170294519,0.4505565590957066,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_GrayLevelVariance,0.5573824005093404,0.7260603951434611,-0.38142210974780183,0.4505756122700676,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceEmphasis,0.4350891429933538,0.27706960374659995,0.6510625700951337,0.5125270046597687,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_SmallDependenceEmphasis,0.44683707613130574,0.6502932253546905,-0.5413414962589329,0.32131576549702456,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_SizeZoneNonUniformityNormalized,0.39072037805440296,0.1601171769500847,1.2870084166757574,0.2808656264349463,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_HighGrayLevelRunEmphasis,0.40848513991045354,0.19773004032338964,1.046751525671339,0.3470883471416442,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelNonUniformityNormalized,0.35766304472308974,0.0947753640728449,1.9160170620759842,0.24314283590834126,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_SmallDependenceLowGrayLevelEmphasis,0.4391380712293866,0.6669567732653232,-0.6029186457953163,0.2586939231865761,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Uniformity,0.44260512895215687,0.27392186933081925,0.692255717029452,0.45055655909570647,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_ClusterProminence,0.6351069024694587,0.8914597959838012,-0.48917028544755164,0.2294600495849535,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_ClusterTendency,0.5659459671759186,0.7432893668352735,-0.39325964908151995,0.4178239433736509,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Contrast,0.5589439896841262,0.7143471752869751,-0.353921678037907,0.5190422409891607,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Correlation,0.5342607550735367,0.6885256923526091,-0.36596644384350663,0.48808683224856464,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_DifferenceAverage,0.5589439896841262,0.7143471752869751,-0.353921678037907,0.5190422409891607,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_DifferenceEntropy,0.6013244991507795,0.8153854584903986,-0.4393384901805961,0.35695914173660975,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Maximum,0.5818380960539433,0.4072100837545462,0.5148444731428362,0.3980115419816253,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_DifferenceVariance,0.581862418619098,0.7779123642444982,-0.41892956930048936,0.4079680829020834,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelVariance,0.6420220196502466,0.9049473993066108,-0.49521115818132144,0.24311870016923257,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Id,0.4410560103158736,0.28565282471302567,0.6266990810061639,0.5190422409891632,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Idm,0.4410560103158736,0.28565282471302567,0.6266990810061639,0.5190422409891632,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Idmn,0.433654425492791,0.2745865221739365,0.659285018610371,0.5046538298399367,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Range,0.5763865853452959,0.4340480472342169,0.4091820074498235,0.4932080969169996,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Idn,0.4372821168472796,0.28001037814624324,0.6430840495664146,0.511681072866685,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Imc2,0.6108328746112287,0.8212347176168813,-0.4270169094332827,0.32787839489782944,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Entropy,0.584672776857824,0.7768903282187003,-0.41008153205877196,0.38474989672418375,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumSquares,0.563828400316732,0.7345365501164604,-0.381578131238742,0.44432389223635516,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumEntropy,0.5900185373551097,0.7853911999838324,-0.41265115108101413,0.3788757924643272,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_MCC,0.5299881361483376,0.6823570834746991,-0.3645668467630487,0.4951725623097506,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Minimum,0.6285440356866401,0.35040601375179997,0.8429862881232835,0.2065507341151827,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEnergy,0.43072905949659035,0.25237568528240734,0.7712077365416767,0.4310422616603484,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_InverseVariance,0.5589439896841262,0.7143471752869751,-0.353921678037907,0.5190422409891607,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEntropy,0.5849558826950905,0.7738167318208118,-0.4036641028271136,0.39954888679883344,0.649152022408161,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceHighGrayLevelEmphasis,0.45075510468617547,0.30535900852179987,0.5618374225529432,0.5314693625631942,0.6495736653550152,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_MaximumProbability,0.46551906913733154,0.33524299048478834,0.47363309887766103,0.5664228131618745,0.6721677185225199,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumAverage,0.47543100934173976,0.3554377378516083,0.4196391395737933,0.590771949466173,0.6721677185225199,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceLowGrayLevelEmphasis,0.6856067165707689,0.5169758672699851,0.4072843066533001,0.5686889848499819,0.6721677185225199,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LowGrayLevelEmphasis,0.5193333957494616,0.6352307836344911,-0.2906198270169369,0.6034232927645349,0.6721677185225199,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointAverage,0.4754310093417393,0.3554377378516074,0.41963913957379545,0.5907719494661717,0.6721677185225199,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Autocorrelation,0.4711975818836497,0.3468734066510112,0.4419228960857387,0.5800357704473154,0.6721677185225199,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_HighGrayLevelEmphasis,0.4802354920100923,0.364087468460892,0.39945694503784823,0.602480469334503,0.6721677185225199,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunVariance,0.46330782779727464,0.32752568406749016,0.5003630125248361,0.6123393587961579,0.6735732946757736,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_SizeZoneNonUniformity,0.28055555555555556,0.18118131868131868,0.630852272256634,0.6669551694136651,0.7172784689405399,r_amygdala,male_P45_nrxn,male_P45_control
