,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
original_firstorder_10Percentile,0.4694405020159349,0.09021641570544237,2.379480444838648,0.07446121631875205,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_LargeAreaEmphasis,1.0,0.6,0.7369655941662062,0.1930060878703129,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_HighGrayLevelZoneEmphasis,0.0,0.39999999999999997,-inf,0.1930060878703129,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_GrayLevelVariance,0.0,0.4,-inf,0.1930060878703129,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_GrayLevelNonUniformityNormalized,1.0,0.6,0.7369655941662062,0.1930060878703129,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_ShortRunHighGrayLevelEmphasis,0.0,0.36862033063130506,-inf,0.19536926657282266,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_ShortRunEmphasis,0.0,0.30808164661721804,-inf,0.22090035389338503,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_RunVariance,0.0,0.33994519143963087,-inf,0.20306506439433067,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_RunPercentage,0.0,0.32941176470590106,-inf,0.20770021345078551,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_RunLengthNonUniformityNormalized,1.0,0.6432494611541643,0.6365497514639118,0.1977814951097617,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_RunLengthNonUniformity,0.0,0.31950188513110334,-inf,0.21314624529202425,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_RunEntropy,0.0,0.38594316876358337,-inf,0.19343994004446277,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_LowGrayLevelRunEmphasis,1.0,0.6000813151984403,0.7367700856915176,0.19300610140022273,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_LongRunLowGrayLevelEmphasis,1.0,0.656140728751825,0.607922818309148,0.20161674478809757,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_LongRunHighGrayLevelEmphasis,1.0,0.6566901816816199,0.606715209534856,0.20181161260652344,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_LongRunEmphasis,1.0,0.6562497668428022,0.6076830897923524,0.20165520017598482,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_HighGrayLevelRunEmphasis,0.0,0.39991868480155973,-inf,0.19300610140022273,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_GrayLevelVariance,0.0,0.3999187730326887,-inf,0.1930061013708713,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_LargeAreaHighGrayLevelEmphasis,0.9999999999999999,0.5999999999999999,0.7369655941662064,0.1930060878703129,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_LargeAreaLowGrayLevelEmphasis,1.0,0.6,0.7369655941662062,0.1930060878703129,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_LowGrayLevelZoneEmphasis,1.0,0.6,0.7369655941662062,0.1930060878703129,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_SizeZoneNonUniformityNormalized,1.0,0.6,0.7369655941662062,0.1930060878703129,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_SmallDependenceEmphasis,0.0,0.3984092040323134,-inf,0.19301130536125113,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_LowGrayLevelEmphasis,1.0,0.6,0.7369655941662062,0.1930060878703129,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_LargeDependenceLowGrayLevelEmphasis,1.0,0.685463725750742,0.544847773250762,0.2163122866768895,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_LargeDependenceHighGrayLevelEmphasis,1.0,0.6858057630735857,0.5441280670752499,0.21654174614362684,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_LargeDependenceEmphasis,1.0,0.6855319148933632,0.5447042627463274,0.21635791286454437,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_HighGrayLevelEmphasis,0.0,0.4,-inf,0.1930060878703129,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_GrayLevelVariance,0.0,0.4,-inf,0.1930060878703129,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_GrayLevelNonUniformity,1.0,0.6,0.7369655941662062,0.1930060878703129,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_GrayLevelNonUniformityNormalized,1.0,0.6000812269672906,0.7367702978138556,0.19300610137087146,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_DependenceVariance,0.0,0.34828552602318724,-inf,0.2001440233104474,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_DependenceNonUniformity,1.0,0.6978109536190459,0.5190918510268318,0.22558542497644948,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_DependenceEntropy,0.0,0.3164872925562122,-inf,0.21503178064243175,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_ZoneVariance,0.0,0.4,-inf,0.1930060878703129,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_ZonePercentage,0.0,0.4,-inf,0.1930060878703129,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_ZoneEntropy,0.0,0.4,-inf,0.1930060878703129,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_SmallAreaLowGrayLevelEmphasis,0.0,0.4,-inf,0.1930060878703129,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_SmallAreaHighGrayLevelEmphasis,0.0,0.4,-inf,0.1930060878703129,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_SmallAreaEmphasis,0.0,0.4,-inf,0.1930060878703129,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_DependenceNonUniformityNormalized,1.0,0.6978109536190459,0.5190918510268318,0.22558542497644948,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.0,0.3996003087747809,-inf,0.1930064152805327,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_GrayLevelNonUniformity,1.0,0.6801223479883447,0.5561337971144923,0.21291897366313303,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_SumEntropy,0.0,0.3313205212125154,-inf,0.20677627095200055,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_Autocorrelation,0.0,0.3287467748275958,-inf,0.2080312437798034,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Variance,0.47698970962225273,0.10956349860562913,2.122190902117879,0.06855886715384514,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Uniformity,1.0,0.6,0.7369655941662062,0.1930060878703129,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_TotalEnergy,0.40748978846248346,0.05565191172539419,2.8722607541759944,0.11590857279623792,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Skewness,0.1374133027819584,0.4155934671416682,-1.5966513000697973,0.21935272374294607,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_RootMeanSquared,0.4214240118884359,0.06403051943201925,2.7184408997085017,0.11000965218804282,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_RobustMeanAbsoluteDeviation,0.6511185897706615,0.20919166116884305,1.6380949849940931,0.023373399365403665,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Range,0.07975464975277735,0.5909392661947062,-2.889369328396056,0.07347311385960299,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Minimum,0.7820303126728774,0.4419134469852148,0.8234606981160363,0.1407247745423802,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Mean,0.42035793986630154,0.06739409297680306,2.6409242721629727,0.11522548360000241,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_MeanAbsoluteDeviation,0.5997786252073805,0.18108574343619918,1.727757138738763,0.0286637882848803,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Maximum,0.10176474784767098,0.6337376585336696,-2.638647860779968,0.0819356073126293,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Kurtosis,0.024052605836099118,0.46260708580528115,-4.265522256303744,0.12105639442414286,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_InterquartileRange,0.6918395431018928,0.2616283269178141,1.4029187232199825,0.0298504547272264,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Entropy,0.0,0.4,-inf,0.1930060878703129,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Energy,0.4074897884624836,0.05565191172539428,2.8722607541759926,0.11590857279623785,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_90Percentile,0.5026870354834673,0.07096552481740392,2.8244702457740165,0.03770672348542048,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_ClusterProminence,0.0,0.32875802379849517,-inf,0.2080256043960987,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_SumSquares,0.0,0.3287481808787838,-inf,0.208030538817158,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_ClusterShade,0.0,0.32875521219964327,-inf,0.20802701379091765,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_Contrast,0.0,0.3287467748281497,-inf,0.20803124377952575,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_SumAverage,0.0,0.3287467748268682,-inf,0.20803124378016813,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_MaximumProbability,1.0,0.6712532251720404,0.5750709800522086,0.20803124377962098,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_MCC,1.0,0.6000035217310751,0.7369571262177954,0.1930060878956815,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_JointEntropy,0.0,0.3311562641271734,-inf,0.20685426513127736,0.23095650652350783,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
