,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHL_firstorder_10Percentile,0.5157544163241525,0.6917647102768167,-0.42359714812749416,0.4187425647860966,0.7508737870799473,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_GrayLevelVariance,0.5,0.8,-0.6780719051126377,0.4070838220655887,0.7508737870799473,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_GrayLevelNonUniformityNormalized,0.5,0.2,1.3219280948873624,0.4070838220655887,0.7508737870799473,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_GrayLevelNonUniformity,0.4999999999999999,0.19999999999999996,1.3219280948873624,0.4070838220655887,0.7508737870799473,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_ShortRunLowGrayLevelEmphasis,0.275374295429069,0.4534697635493643,-0.7196124593002352,0.444039344036226,0.7508737870799473,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_ShortRunEmphasis,0.36255395275029656,0.6674502568023855,-0.8804646178709761,0.2308270791084155,0.7508737870799473,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunPercentage,0.18419471153846345,0.4596153846153726,-1.319195449402552,0.2417408806273441,0.7508737870799473,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunLengthNonUniformityNormalized,0.29068761511462426,0.5386551111443254,-0.8898922370405971,0.2614276394633563,0.7508737870799473,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunLengthNonUniformity,0.19045524640037215,0.46889449086147295,-1.2998112987989512,0.2366908853109186,0.7508737870799473,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunEntropy,0.7605013532532752,0.5191396104281637,0.5508282453442321,0.3281572535092056,0.7508737870799473,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LowGrayLevelRunEmphasis,0.5161669192250038,0.2024074183859966,1.350575516210735,0.15458439420793388,0.7508737870799473,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_HighGrayLevelRunEmphasis,0.4838330807749962,0.7975925816139948,-0.7211425782810952,0.15458439420794606,0.7508737870799473,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_GrayLevelVariance,0.6054290365582347,0.7874480244969163,-0.37922683265146717,0.4345261133006899,0.7508737870799473,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_SmallDependenceHighGrayLevelEmphasis,0.5821256750068491,0.2896753582812138,1.006893685369485,0.16201343019562256,0.7508737870799473,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_GrayLevelNonUniformity,0.18677481879436897,0.46083258194767324,-1.302942760041504,0.24292947862652509,0.7508737870799473,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_SumSquares,0.741230782111586,0.5872542811018775,0.33593746982595074,0.544572356060727,0.7508737870799473,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_HighGrayLevelZoneEmphasis,0.5,0.8,-0.6780719051126377,0.4070838220655887,0.7508737870799473,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_SumEntropy,0.6989378366808765,0.4732395478864134,0.5625935059708843,0.3914201944882536,0.7508737870799473,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LargeAreaEmphasis,0.4992477991794065,0.7990457602477414,-0.678522058783067,0.4063151065609329,0.7508737870799473,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LargeAreaLowGrayLevelEmphasis,0.5021658109697285,0.7535949319223673,-0.5856254538387737,0.45241986641739684,0.7508737870799473,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_LowGrayLevelEmphasis,0.5518181818181791,0.3309090909090884,0.7377580660569897,0.40339105116580376,0.7508737870799473,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_LargeDependenceLowGrayLevelEmphasis,0.5447095288739794,0.34044785415397066,0.6780532652813644,0.4471359690569585,0.7508737870799473,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_LargeDependenceEmphasis,0.803009118541036,0.5354002026342457,0.584798685307851,0.26345330994779775,0.7508737870799473,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_HighGrayLevelEmphasis,0.4481818181818191,0.6690909090909102,-0.5781181196791007,0.4033910511658015,0.7508737870799473,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_GrayLevelVariance,0.6926857406551221,0.5383202584215724,0.36373625658339576,0.5609936984411904,0.7508737870799473,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_GrayLevelNonUniformity,0.30731425934470735,0.46167974157824576,-0.5871777192238329,0.560993698441193,0.7508737870799473,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_DependenceVariance,0.6463560151502787,0.4541099798119387,0.5092872826103534,0.475195712473345,0.7508737870799473,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_ZoneVariance,0.4998282546883847,0.20119607971894782,1.3128302628598212,0.40824180548222133,0.7508737870799473,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_ZonePercentage,0.5,0.2,1.3219280948873624,0.4070838220655887,0.7508737870799473,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
