,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLH_glrlm_ShortRunEmphasis,0.3134110411322979,0.8706826219223842,-1.4740909233808595,0.005521089241860325,0.48033476404184827,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceVariance,0.5089955327163431,0.15627461104337517,1.7035695825506756,0.12741285245759928,0.5228824097742131,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunLengthNonUniformity,0.40645407283534585,0.7276698747229382,-0.8401917402894623,0.1327180664881111,0.5228824097742131,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_ClusterTendency,0.5881553766833658,0.29429332934542457,0.9989424896492586,0.14244047623150555,0.5228824097742131,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Correlation,0.5823744724618882,0.2827772305007302,1.0422811608756186,0.1270031600330769,0.5228824097742131,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_DifferenceAverage,0.42370081325392306,0.7296300680002915,-0.7841192862598662,0.11256233742472496,0.5228824097742131,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunEntropy,0.5798343065594445,0.2667392216268155,1.1202107186825248,0.10632013045831074,0.5228824097742131,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_ClusterProminence,0.5883587548354967,0.29557561464739307,0.9931688639598109,0.1442434233859898,0.5228824097742131,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Id,0.5762991867460947,0.27036993199971276,1.0918832662727656,0.11256233742470799,0.5228824097742131,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Idmn,0.5762991867460556,0.2703699319996531,1.0918832662729863,0.11256233742467775,0.5228824097742131,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Idn,0.5762991867460983,0.2703699319997156,1.0918832662727596,0.11256233742471602,0.5228824097742131,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_InverseVariance,0.42370081325392306,0.7296300680002915,-0.7841192862598662,0.11256233742472496,0.5228824097742131,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceNonUniformityNormalized,0.4789564551855934,0.8575872689361805,-0.8403889910094765,0.10901559757804459,0.5228824097742131,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceNonUniformity,0.47895645518559204,0.8575872689361805,-0.8403889910094805,0.10901559757804294,0.5228824097742131,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_GrayLevelNonUniformity,0.42014610724197965,0.7283073727717252,-0.7936563325864285,0.11171959286610059,0.5228824097742131,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Idm,0.5762991867460947,0.27036993199971276,1.0918832662727656,0.11256233742470799,0.5228824097742131,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_LargeDependenceEmphasis,0.5657394758741985,0.2510088401086577,1.172399667755765,0.10750569115088099,0.5228824097742131,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Contrast,0.42370081325392306,0.7296300680002915,-0.7841192862598662,0.11256233742472496,0.5228824097742131,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunPercentage,0.421318575553423,0.728392685274305,-0.7898049100184593,0.11284443299806983,0.5228824097742131,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
