,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHH_glcm_InverseVariance,0.4411726887464784,0.7306929748491499,-0.7279218546505744,0.16985394312422863,0.5262599546672907,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_ClusterTendency,0.552676407556282,0.25322538641828063,1.1260129831796297,0.16341507877554,0.5262599546672907,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Contrast,0.4411726887464784,0.7306929748491499,-0.7279218546505744,0.16985394312422863,0.5262599546672907,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Correlation,0.5557895212196302,0.2612289852924059,1.0892236509425774,0.16601185983564,0.5262599546672907,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_DifferenceAverage,0.4411726887464784,0.7306929748491499,-0.7279218546505744,0.16985394312422863,0.5262599546672907,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_DifferenceEntropy,0.6953156365068409,0.33577686335468115,1.0501652086838393,0.10012764257408269,0.5262599546672907,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_DifferenceVariance,0.6912590360624371,0.3315995262915209,1.0597844883576883,0.0977911523171114,0.5262599546672907,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Id,0.5588273112535305,0.26930702515086297,1.0531506659802707,0.16985394312423444,0.5262599546672907,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_GrayLevelNonUniformity,0.44308074541342,0.7368451604709392,-0.7337918512091214,0.16177174701595176,0.5262599546672907,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Idm,0.5588273112535305,0.26930702515086297,1.0531506659802707,0.16985394312423444,0.5262599546672907,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Idn,0.5588273112535589,0.26930702515085725,1.0531506659803749,0.1698539431241798,0.5262599546672907,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Imc1,0.6988336155476019,0.3420078574837442,1.0309195361716976,0.10101616876640726,0.5262599546672907,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Imc2,0.38762566752955774,0.7415692170442079,-0.9359172528199067,0.08032385180824718,0.5262599546672907,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunEntropy,0.5436656121480148,0.26020211062553356,1.0630869133990801,0.18565074811716775,0.5262599546672907,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_JointEnergy,0.26611932505729996,0.5883463988590563,-1.1445925364194272,0.12014638236706884,0.5262599546672907,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_JointEntropy,0.7392612679674073,0.41844253433456513,0.8210548205720092,0.12360848246850707,0.5262599546672907,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_MCC,0.38376127285819295,0.7377934058188196,-0.9430077649186117,0.08135072765348667,0.5262599546672907,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Idmn,0.5588273112535518,0.2693070251508175,1.0531506659805694,0.1698539431241266,0.5262599546672907,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_ClusterProminence,0.5527526346795586,0.25260468826544696,1.1297525812714728,0.16272847660766337,0.5262599546672907,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunLengthNonUniformity,0.43824894976620854,0.7674399292982457,-0.8083031955176958,0.12506108727701346,0.5262599546672907,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunPercentage,0.4426992437463628,0.7362420011634712,-0.7338531460818963,0.16214879886714365,0.5262599546672907,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_90Percentile,0.5602158375706013,0.2959825252501305,0.9204707677320946,0.16680766803308766,0.5262599546672907,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_InterquartileRange,0.6481683479710612,0.3756988798393269,0.7867917566602194,0.1850496511915845,0.5262599546672907,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Kurtosis,0.11388435922130113,0.5788678421265505,-2.3456643905143855,0.024439858525065188,0.5262599546672907,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Maximum,0.09475295272738335,0.3871381549942598,-2.0306056947525906,0.16845497328486334,0.5262599546672907,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunLengthNonUniformityNormalized,0.4704571230985035,0.806540424650251,-0.7776836011399613,0.14649447284919373,0.5262599546672907,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_ShortRunLowGrayLevelEmphasis,0.6166952080431578,0.898901106318229,-0.5436047685781248,0.18495757595170184,0.5262599546672907,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_SumEntropy,0.5928013981472127,0.2529685762664286,1.2285906657026233,0.10223640534006534,0.5262599546672907,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_RobustMeanAbsoluteDeviation,0.6320432413011978,0.3647934643233806,0.7929433816397005,0.19136725624265116,0.5262599546672907,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_ShortRunEmphasis,0.4370788723478505,0.7650125055260759,-0.8075896891073076,0.1584867867023867,0.5262599546672907,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Skewness,0.7967023946082145,0.2700236461254736,1.5609551607210528,0.01512142905736548,0.5262599546672907,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_LargeDependenceEmphasis,0.5519925751950874,0.2711303886658065,1.0256620400895433,0.17527324678598227,0.5262599546672907,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_GrayLevelNonUniformity,0.4166666666666667,0.13333333333333336,1.6438561897747246,0.32315817521245693,0.5576062631381411,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SmallAreaLowGrayLevelEmphasis,0.31666666520863973,0.05333333299046653,2.569855610963083,0.262613403664334,0.5576062631381411,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_ZonePercentage,0.37499999999999994,0.09999999999999995,1.9068905956085191,0.287408337917511,0.5576062631381411,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceEntropy,0.5483652748719354,0.323451364502607,0.7615884167404857,0.31332670258171025,0.5576062631381411,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LargeAreaEmphasis,0.5824372314432373,0.8655587063087884,-0.5715290927081926,0.3228936230625743,0.5576062631381411,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LargeAreaHighGrayLevelEmphasis,0.5413715014948287,0.8324302787045624,-0.6207104982243201,0.28263826833468814,0.5576062631381411,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceVariance,0.533725505731306,0.3138845499254437,0.7658639385318314,0.30601899040891234,0.5576062631381411,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_ZoneEntropy,0.396240625180289,0.11699250014423124,1.7599607541695645,0.3044369338646704,0.5576062631381411,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SmallAreaEmphasis,0.4166666666743602,0.13333333335769815,1.6438561895377308,0.32315817522778634,0.5576062631381411,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_10Percentile,0.4211131682042276,0.6534753919338521,-0.6339249198893169,0.24288957173469602,0.5576062631381411,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_TotalEnergy,0.5083300686292728,0.2963450972268073,0.7784873817306438,0.29141434773218544,0.5576062631381411,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Energy,0.5083300686292729,0.29634509722680746,0.7784873817306434,0.29141434773218566,0.5576062631381411,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_MeanAbsoluteDeviation,0.5918355052270501,0.3459929819318438,0.7744534741224159,0.21873970713286597,0.5576062631381411,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.501702435601298,0.29290283909827153,0.7764097646479464,0.2624046758348775,0.5576062631381411,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Range,0.07379317490397541,0.327154947908103,-2.148414796875066,0.23870845220039377,0.5576062631381411,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_RootMeanSquared,0.5405849115344034,0.3301740530766152,0.7112944951771026,0.29337673116395746,0.5576062631381411,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Variance,0.508328007034752,0.2963439179358537,0.7784872718397099,0.2914180852834159,0.5576062631381411,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SizeZoneNonUniformity,0.25,0.0,inf,0.29235199244023835,0.5576062631381411,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_MaximumProbability,0.23139207250734373,0.4448590876920015,-0.9430089858759572,0.30129459128592057,0.5576062631381411,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Minimum,0.9370772408042272,0.723321347836943,0.3735312388768267,0.33527402589320604,0.567386813050041,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceNonUniformity,0.45802415922295303,0.6583338236967133,-0.5233956244494148,0.3618457752067909,0.5787181574588643,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,0.5654294819980054,0.8124566401484519,-0.5229437116143953,0.3682751911101864,0.5787181574588643,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LongRunLowGrayLevelEmphasis,0.44850837042638547,0.260811561851753,0.7821270840650193,0.3646441269038184,0.5787181574588643,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceNonUniformityNormalized,0.45802415922295037,0.658333823696713,-0.5233956244494223,0.3618457752067846,0.5787181574588643,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
