,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLH_firstorder_10Percentile,0.36371475185969276,0.782242066025727,-1.1048076797885955,0.01855769891423754,0.14510928568022102,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Correlation,0.6038528313589151,0.11361974383668642,2.409983428975475,0.03916034574120856,0.14510928568022102,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceAverage,0.3941636401396249,0.8778709267612232,-1.1552141358507362,0.04054014806407515,0.14510928568022102,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Id,0.6058363598603753,0.12212907323878071,2.3105214858403165,0.0405401480640756,0.14510928568022102,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idm,0.6058363598603753,0.12212907323878071,2.3105214858403165,0.0405401480640756,0.14510928568022102,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idmn,0.6058363598603762,0.12212907323877005,2.3105214858404444,0.04054014806407526,0.14510928568022102,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idn,0.6058363598603798,0.12212907323878142,2.3105214858403187,0.04054014806407465,0.14510928568022102,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceHighGrayLevelEmphasis,0.7096773554847431,0.23160290295716868,1.6155099368279489,0.027367654998801054,0.14510928568022102,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelNonUniformity,0.3948716011968556,0.8776938202808416,-1.1523341353294272,0.040188934471410635,0.14510928568022102,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_SmallDependenceHighGrayLevelEmphasis,0.1396104518850967,0.6996924975942671,-2.32531407011112,0.004485071829709517,0.14510928568022102,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunHighGrayLevelEmphasis,0.6037938284940254,0.19685267175911295,1.6169397173980118,0.03234324621381513,0.14510928568022102,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunEntropy,0.5803687895163838,0.09672951729216343,2.5849418331349487,0.038286464836185106,0.14510928568022102,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformity,0.35972833715609953,0.8480713866074513,-1.2372778986203121,0.04024646421610791,0.14510928568022102,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,0.3821761399705559,0.8804417214423635,-1.2039898010007752,0.029812518685434608,0.14510928568022102,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunPercentage,0.39494793132564077,0.8785627169528102,-1.1534828124141174,0.04003231323112004,0.14510928568022102,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunEmphasis,0.3915683893024404,0.9156988947257659,-1.2256089780323756,0.020158725833747344,0.14510928568022102,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,0.3334177318096436,0.8537098381298568,-1.356414973227759,0.01646284536345952,0.14510928568022102,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunLowGrayLevelEmphasis,0.44008480947739326,0.9186450786004734,-1.061726004710218,0.041224228886426434,0.14510928568022102,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Contrast,0.3941636401396249,0.8778709267612232,-1.1552141358507362,0.04054014806407515,0.14510928568022102,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_ClusterTendency,0.6012710845873079,0.10393162452498536,2.53238087310149,0.03810750366639937,0.14510928568022102,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_InverseVariance,0.3941636401396249,0.8778709267612232,-1.1552141358507362,0.04054014806407515,0.14510928568022102,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_ClusterProminence,0.6030567527152395,0.1074349105401616,2.488830910826007,0.03805293511766476,0.14510928568022102,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_InterquartileRange,0.6395745772568125,0.2696519785634447,1.246013973991493,0.03888221892334743,0.14510928568022102,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_SmallDependenceEmphasis,0.343605781254511,0.8382158372852135,-1.2865674696757576,0.007896263754716209,0.14510928568022102,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_RobustMeanAbsoluteDeviation,0.6327363088799106,0.2608965720588604,1.2781263971094194,0.038598523538594026,0.14510928568022102,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
