,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_firstorder_10Percentile,0.3762524043667015,0.1414190608251646,1.411724217754395,0.2929785419287423,0.5608856367526923,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_MCC,0.46952461981893534,0.6862329336817349,-0.5474975568731835,0.31319870138900907,0.5608856367526923,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumEntropy,0.590506278466314,0.8063053000361752,-0.44937380638224267,0.3609869490129075,0.5608856367526923,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelNonUniformity,0.5242747507324269,0.7522436150658244,-0.5208768894293614,0.371218349474104,0.5608856367526923,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelVariance,0.673203779694727,0.9596542258373345,-0.5114714035977892,0.20516831691187373,0.5608856367526923,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_HighGrayLevelRunEmphasis,0.3765876554629429,0.15899912754525758,1.2439668599849432,0.3351939464074982,0.5608856367526923,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunEmphasis,0.3448918092566695,0.08098514268944218,2.0904147024887276,0.24510078571372093,0.5608856367526923,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunHighGrayLevelEmphasis,0.3447848929593719,0.0851965880213357,2.0168290036785392,0.25437917658549136,0.5608856367526923,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunLowGrayLevelEmphasis,0.34532788013669635,0.06223115029618829,2.472257996533457,0.20804840619758708,0.5608856367526923,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LowGrayLevelRunEmphasis,0.6176318901836959,0.8425181028436178,-0.4479604400352003,0.31840027224490236,0.5608856367526923,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
