,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
original_firstorder_10Percentile,0.08903238575186423,0.3783991598934794,-2.087506765095987,0.16955431232612578,0.3026702980557762,r_hippocampus,male_P45_nrxn,male_P45_control
original_glszm_LargeAreaHighGrayLevelEmphasis,0.75,1.0,-0.4150374992788438,0.29235199244023835,0.3026702980557762,r_hippocampus,male_P45_nrxn,male_P45_control
original_glszm_LargeAreaEmphasis,0.75,1.0,-0.4150374992788438,0.29235199244023835,0.3026702980557762,r_hippocampus,male_P45_nrxn,male_P45_control
original_glszm_HighGrayLevelZoneEmphasis,0.25,0.0,inf,0.29235199244023835,0.3026702980557762,r_hippocampus,male_P45_nrxn,male_P45_control
original_glszm_GrayLevelVariance,0.25,0.0,inf,0.29235199244023835,0.3026702980557762,r_hippocampus,male_P45_nrxn,male_P45_control
original_glszm_GrayLevelNonUniformityNormalized,0.75,1.0,-0.4150374992788438,0.29235199244023835,0.3026702980557762,r_hippocampus,male_P45_nrxn,male_P45_control
original_glszm_GrayLevelNonUniformity,0.24999999999999994,0.0,inf,0.29235199244023835,0.3026702980557762,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_ShortRunLowGrayLevelEmphasis,0.25,0.0,inf,0.29235199244023835,0.3026702980557762,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_ShortRunHighGrayLevelEmphasis,0.25,0.0,inf,0.29235199244023835,0.3026702980557762,r_hippocampus,male_P45_nrxn,male_P45_control
original_glszm_LargeAreaLowGrayLevelEmphasis,0.75,1.0,-0.4150374992788438,0.29235199244023835,0.3026702980557762,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_ShortRunEmphasis,0.25,0.0,inf,0.29235199244023835,0.3026702980557762,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_RunPercentage,0.25,0.0,inf,0.29235199244023835,0.3026702980557762,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_RunLengthNonUniformityNormalized,0.75,1.0,-0.4150374992788438,0.29235199244023835,0.3026702980557762,r_hippocampus,male_P45_nrxn,male_P45_control
