,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLH_glszm_ZoneVariance,0.7495164343200692,0.003043091657355336,7.944278513426302,0.011340050559509941,0.10962048874192944,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_ZonePercentage,0.7500000000000002,0.0,inf,0.011201432554090117,0.10962048874192944,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_SizeZoneNonUniformityNormalized,0.25,1.0,-2.0,0.011201432554090134,0.10962048874192944,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LargeAreaHighGrayLevelEmphasis,0.23991165865686437,0.9593192328129468,-1.9995077129960777,0.009801189364734042,0.10962048874192944,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_ZoneEntropy,0.75,0.0,inf,0.011201432554090134,0.10962048874192944,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_GrayLevelVariance,0.25,1.0,-2.0,0.011201432554090134,0.10962048874192944,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LargeAreaEmphasis,0.2493920844436734,0.9977954070592808,-2.000328352896132,0.011111235405539287,0.10962048874192944,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_GrayLevelNonUniformityNormalized,0.75,0.0,inf,0.011201432554090134,0.10962048874192944,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_GrayLevelNonUniformity,0.7499999999999998,0.0,inf,0.011201432554090134,0.10962048874192944,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LargeAreaLowGrayLevelEmphasis,0.2504839034027828,0.9586101047035644,-1.9362262515501347,0.013066906819816234,0.11368208933240123,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Minimum,0.6738233690374814,0.2880047505938236,1.226277854900889,0.0815375553702331,0.4932612703502155,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_InterquartileRange,0.866154603117036,0.45955603319737576,0.9143837813037741,0.0784925502337183,0.4932612703502155,r_hippocampus,male_P45_nrxn,male_P45_control
