,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLL_firstorder_10Percentile,0.28147600660084987,0.6944770684173633,-1.3029151070557647,0.0465374065200949,0.703363500952848,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Variance,0.5856001696933182,0.20323780532287467,1.5267471813886677,0.07569334529069058,0.703363500952848,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_TotalEnergy,0.5855082954490648,0.20386887194163625,1.5220480990207927,0.07601345235163647,0.703363500952848,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_RootMeanSquared,0.6297775275810659,0.23808592052939398,1.4033599707643243,0.06931747541697376,0.703363500952848,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_MeanAbsoluteDeviation,0.6928348745813331,0.28180341221299965,1.297822470876157,0.05580638256728154,0.703363500952848,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_RobustMeanAbsoluteDeviation,0.7697062468118834,0.3323587942769257,1.2115664276463796,0.05051735416931887,0.703363500952848,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Energy,0.5855082954490648,0.20386887194163633,1.522048099020792,0.07601345235163653,0.703363500952848,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_90Percentile,0.7085883661335217,0.30029380955332863,1.238573044375837,0.05655075083804049,0.703363500952848,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SizeZoneNonUniformityNormalized,0.25260416666666663,0.6020833333333333,-1.253084745426189,0.07992767056282364,0.703363500952848,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_InterquartileRange,0.780659114194323,0.33744160971757087,1.2100548303123024,0.054528606076445586,0.703363500952848,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaLowGrayLevelEmphasis,0.19881563433316424,0.31093933498235277,-0.6452019234468885,0.6125457861742789,0.9294488052152038,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaHighGrayLevelEmphasis,0.1973188945329375,0.3062322631389739,-0.6340971763074805,0.6228167540824188,0.9294488052152038,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaEmphasis,0.19809429976407253,0.308670822018835,-0.6398817478279799,0.6174093502727972,0.9294488052152038,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_HighGrayLevelZoneEmphasis,0.5178571428571428,0.5785714285714285,-0.15994091286969028,0.8009958025991959,0.9294488052152038,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelVariance,0.6450617283950617,0.8388888888888889,-0.3790425137991462,0.46271437505779023,0.9294488052152038,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelNonUniformityNormalized,0.3549382716049383,0.16111111111111107,1.1395121492618536,0.4627143750577901,0.9294488052152038,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunPercentage,0.4655301892460244,0.5975367978371893,-0.3601528322698803,0.6267504045625254,0.9294488052152038,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunVariance,0.6004777352215993,0.3182523892170959,0.9159394091233457,0.2651279676069853,0.9294488052152038,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunEntropy,0.5302373364924442,0.3968717431092813,0.4179654132125101,0.6181719380947907,0.9294488052152038,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,0.37169463450653506,0.42646327696904507,-0.19830365275000686,0.8106413910264983,0.9294488052152038,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunLowGrayLevelEmphasis,0.5718080156930982,0.46179840881239864,0.3082676419090316,0.6347669567624281,0.9294488052152038,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LowGrayLevelZoneEmphasis,0.4821428571428571,0.42142857142857154,0.19417254768898914,0.8009958025991963,0.9294488052152038,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunHighGrayLevelEmphasis,0.5220106261357191,0.5777136530770342,-0.14627541538267916,0.814785090476766,0.9294488052152038,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunEmphasis,0.496879160106495,0.5781333863317201,-0.2185073539670238,0.7618308746603897,0.9294488052152038,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelNonUniformity,0.5912698412698412,0.5047619047619047,0.22821366006516844,0.7156258231673791,0.9294488052152038,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformity,0.5010610682944057,0.5673443455332332,-0.17923818744357867,0.800961915582085,0.9294488052152038,r_hippocampus,male_P45_nrxn,male_P45_control
