,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHH_firstorder_10Percentile,0.15667280013608242,0.6435739714092532,-2.03835124294795,0.03652107036476929,0.30549747251896137,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_TotalEnergy,0.8462256584022639,0.3648803368598908,1.213619023089363,0.03733731903497311,0.30549747251896137,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_RootMeanSquared,0.8579019413118294,0.3797860630674286,1.1756257921006914,0.0386261172150411,0.30549747251896137,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_RobustMeanAbsoluteDeviation,0.894205245557529,0.41109293976779515,1.1211414141541505,0.032262010169098826,0.30549747251896137,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Minimum,0.8247777585905943,0.38112484699926397,1.1137417626526642,0.03523220780814396,0.30549747251896137,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_MeanAbsoluteDeviation,0.8807345257049914,0.39509675481718354,1.156501225550603,0.03164434287848102,0.30549747251896137,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Variance,0.8461976219013427,0.36488172979107325,1.2135657165497282,0.037353838710976736,0.30549747251896137,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Kurtosis,0.14692980585787885,0.7325214985681738,-2.3177440138770646,0.01109844239000868,0.30549747251896137,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_InterquartileRange,0.900103494482181,0.43512831325136625,1.0486499987067321,0.03631460765357881,0.30549747251896137,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Energy,0.8462256584022639,0.3648803368598907,1.2136190230893635,0.03733731903497289,0.30549747251896137,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_90Percentile,0.8973499121460811,0.3915721812945588,1.196392384287392,0.02404537632715376,0.30549747251896137,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Mean,0.7996739591838866,0.4048026706420639,0.9821931002285856,0.07296281381365649,0.4534117715562939,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Range,0.29737080032315366,0.7222329969925998,-1.2802013428136025,0.06730616459343965,0.4534117715562939,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Skewness,0.8512109233900247,0.46589968131849097,0.8694973211004678,0.06952181326581393,0.4534117715562939,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceEntropy,0.7290886556643308,0.36154753042476384,1.0119089320690564,0.13478433667229686,0.725563466126809,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceNonUniformity,0.27697560474811667,0.618766608441031,-1.1596364310255425,0.1511797532499392,0.725563466126809,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceVariance,0.6846881185581637,0.3157460317038009,1.1166823751219916,0.1486991604146745,0.725563466126809,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceNonUniformityNormalized,0.2769756047481131,0.6187666084410296,-1.1596364310255578,0.15117975324993718,0.725563466126809,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_SmallDependenceEmphasis,0.7530048752714382,0.4049714484714514,0.894839007671968,0.1584563891541307,0.725563466126809,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_HighGrayLevelEmphasis,0.6414473684210513,0.4296052631578974,0.5783192270905305,0.3185993107006936,0.7867800277237343,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_MaximumProbability,0.6318486815535769,0.42599324539371963,0.5687485405033541,0.33798314628305187,0.7867800277237343,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_SumAverage,0.6266905441037878,0.42228920925190605,0.5695218425600584,0.32959650406589586,0.7867800277237343,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_GrayLevelVariance,0.5590076384678468,0.7576705774336006,-0.43870272823528866,0.3932930181421201,0.7867800277237343,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_HighGrayLevelRunEmphasis,0.5032775086278605,0.3057814366425532,0.7188532991895155,0.4030661490223774,0.7867800277237343,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LongRunEmphasis,0.7942926040940446,0.5779482666769382,0.45873021003480857,0.31546397082461225,0.7867800277237343,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LongRunHighGrayLevelEmphasis,0.6053184797115052,0.37498449284510366,0.6908634601692845,0.30516493907905035,0.7867800277237343,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LowGrayLevelRunEmphasis,0.49672249137215374,0.694218563357424,-0.4829498704100962,0.403066149022463,0.7867800277237343,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunVariance,0.8485367914249897,0.6574086545072738,0.36818676544521983,0.3902215377300316,0.7867800277237343,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_ShortRunHighGrayLevelEmphasis,0.4687565062540493,0.6685064566111834,-0.5121027793375272,0.35706995349056153,0.7867800277237343,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_ShortRunLowGrayLevelEmphasis,0.5430823821245863,0.3480079945908372,0.642050613570567,0.3855390346600422,0.7867800277237343,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.33573207337409583,0.5320346859366321,-0.6642099370230653,0.3593223783784579,0.7867800277237343,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_LowGrayLevelEmphasis,0.3585526315789487,0.5703947368421055,-0.6697757635575416,0.31859931070068764,0.7867800277237343,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_LargeDependenceHighGrayLevelEmphasis,0.5802502566993497,0.3738134450059391,0.6343567961581021,0.3248606360070475,0.7867800277237343,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_MCC,0.6605264515015108,0.45798141691285893,0.528327276312572,0.4159986353481814,0.7867800277237343,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_JointEntropy,0.4162436256188329,0.5999020245462134,-0.5272987214857964,0.4082534659529242,0.7867800277237343,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_GrayLevelNonUniformityNormalized,0.44099236153215315,0.24232942256603565,0.8637840858792044,0.393293018141206,0.7867800277237343,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_JointAverage,0.6266905441037949,0.42228920925191743,0.5695218425600359,0.3295965040659044,0.7867800277237343,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Maximum,0.3197818176984079,0.5878734608859033,-0.8784177382296035,0.3061978208550132,0.7867800277237343,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Median,0.6329361753059455,0.36362162962524736,0.7996220077821088,0.20863075118673885,0.7867800277237343,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Autocorrelation,0.6200926138300389,0.41642233449725835,0.5744362565010811,0.330368603533726,0.7867800277237343,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_ClusterShade,0.3782962150367128,0.5824173651831999,-0.6225370292673597,0.32911543219155565,0.7867800277237343,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_JointEnergy,0.5836272128672277,0.4006850449243814,0.5425784896077456,0.4103024668419003,0.7867800277237343,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_DifferenceEntropy,0.28531491459744984,0.5260362527010102,-0.8826070642135457,0.2929850609388096,0.7867800277237343,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_DifferenceVariance,0.2874450057236402,0.5257934791118373,-0.8712102852226025,0.29968902219389526,0.7867800277237343,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_SmallDependenceLowGrayLevelEmphasis,0.608704144996782,0.3399541175151818,0.8404011462269297,0.2327369262646145,0.7867800277237343,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Imc1,0.2857128949965615,0.5248744434055782,-0.8774062027018169,0.30309106880649145,0.7867800277237343,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Imc2,0.6561941260205577,0.4565406890345411,0.523379233855214,0.4251979962787066,0.7870686314095207,r_hippocampus,male_P45_nrxn,male_P45_control
