,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHL_firstorder_10Percentile,0.27902379467483596,0.7693535032081609,-1.4632584834015352,0.012987070444131913,0.4089450544782681,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Median,0.24356982410349914,0.783508656716611,-1.6856138059823387,0.01015370280918476,0.4089450544782681,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Mean,0.17872595896042956,0.7415537233159575,-2.052802022240757,0.013941308675395503,0.4089450544782681,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_RobustMeanAbsoluteDeviation,0.7398986423428783,0.29661698804084696,1.3187264244197032,0.029635665159492355,0.5037483905779142,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_InterquartileRange,0.7556965832927376,0.307505396857272,1.297195369378812,0.030326411479119103,0.5037483905779142,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Kurtosis,0.10094987244571377,0.5486434227226737,-2.442229721928919,0.03553518729942202,0.5037483905779142,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_MeanAbsoluteDeviation,0.6945855471095572,0.287895967803822,1.2706048084979964,0.04007089470506136,0.5037483905779142,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Variance,0.6270860514722607,0.27727927500364374,1.1773236420620619,0.0700102021008743,0.5743750692650089,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_RootMeanSquared,0.663292576017923,0.31130799023316874,1.0913027719968795,0.06891905353902944,0.5743750692650089,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_TotalEnergy,0.62567408708648,0.27860825795854066,1.1671733345224957,0.07250131094617414,0.5743750692650089,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Energy,0.6256740870864801,0.2786082579585405,1.1671733345224968,0.07250131094617397,0.5743750692650089,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_90Percentile,0.6310529480383943,0.27678030064555514,1.1890197932349404,0.07832387308159212,0.5743750692650089,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_HighGrayLevelRunEmphasis,0.37927070372037264,0.7047101116221711,-0.8938019781063427,0.10529524454276457,0.6618558228402558,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LowGrayLevelRunEmphasis,0.6207292962796274,0.2952898883778346,1.0718322826907407,0.10529524454276797,0.6618558228402558,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Skewness,0.14743414138588476,0.5489430808980014,-1.8965859174388957,0.11281839207072773,0.6618679001482695,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointEntropy,0.3971588181157131,0.7690597000790718,-0.9533795593448259,0.127380128016305,0.6715280813116965,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointEnergy,0.60930781612781,0.24498441568622412,1.3144812699137594,0.12972701570794137,0.6715280813116965,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_GrayLevelVariance,0.9421359890109889,0.6139801525005607,0.6177432953152323,0.15903597079270262,0.7021510923245342,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_DifferenceVariance,0.3558964702626142,0.6574683741518754,-0.8854638744423721,0.17518496835028152,0.7021510923245342,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_DifferenceEntropy,0.35937892466800747,0.6645856386863727,-0.8869493112918011,0.17099338124540828,0.7021510923245342,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_GrayLevelNonUniformityNormalized,0.05786401098901106,0.38601984749943935,-2.737936790775384,0.15903597079270246,0.7021510923245342,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Imc1,0.36178780663394217,0.6613723544044385,-0.8703189561309592,0.17553777308113355,0.7021510923245342,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_HighGrayLevelZoneEmphasis,0.7874999999999999,0.43761904761904746,0.8476043898770049,0.1920180833543313,0.7040663056325486,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_LowGrayLevelZoneEmphasis,0.21250000000000008,0.5623809523809523,-1.4040848904806946,0.1920180833543314,0.7040663056325486,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_GrayLevelNonUniformity,0.4171875000000001,0.7119642857142858,-0.7711089413648102,0.27721044068136924,0.7079067611196066,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_GrayLevelNonUniformity,0.6090483154588355,0.32108113963827234,0.9236187574580006,0.28153129067401134,0.7079067611196066,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_SmallDependenceEmphasis,0.3466841014871096,0.6283255667235863,-0.8578906070874738,0.23186225815411585,0.7079067611196066,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelVariance,0.847075562556256,0.574262244232159,0.5607809569095956,0.22583568529997733,0.7079067611196066,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_GrayLevelVariance,0.3909516845413634,0.678918860361955,-0.7962488397335342,0.28153129067406724,0.7079067611196066,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_LowGrayLevelEmphasis,0.6726519337016619,0.3723756906077398,0.8531012757878361,0.25148259147704405,0.7079067611196066,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_HighGrayLevelEmphasis,0.32734806629834523,0.6276243093922631,-0.9390757757190439,0.2514825914770535,0.7079067611196066,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelNonUniformityNormalized,0.15292443744374395,0.4257377557667496,-1.4771460696309073,0.22583568530225312,0.7079067611196066,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.36702608347470767,0.6107738100122795,-0.7347556058355389,0.22432528111581176,0.7079067611196066,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Entropy,0.3909848666158382,0.6789379109167839,-0.7961668776522021,0.28155382544529806,0.7079067611196066,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Uniformity,0.6090483154588355,0.3210811396382269,0.9236187574582048,0.281531290673996,0.7079067611196066,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_ShortRunHighGrayLevelEmphasis,0.2678535461533249,0.4946465891596958,-0.8849537326590403,0.32372873699524723,0.7699494285292366,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_MaximumProbability,0.7123914425487303,0.4798888752569809,0.5699698174668669,0.31750374115319174,0.7699494285292366,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_SmallDependenceHighGrayLevelEmphasis,0.42619539486003255,0.6570864490804457,-0.6245681855630358,0.35061995676030044,0.8119620051291168,r_hippocampus,male_P45_nrxn,male_P45_control
