,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLH_firstorder_10Percentile,0.3632983548006775,0.746151544599432,-1.0383138414505324,0.06560525951400602,0.7042546753131178,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LowGrayLevelEmphasis,0.7808641975308648,0.3333333333333336,1.2281060725308415,0.10636665796593514,0.7042546753131178,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceLowGrayLevelEmphasis,0.8258411954901919,0.49223426328257675,0.7465193024211435,0.1198120388641732,0.7042546753131178,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_HighGrayLevelEmphasis,0.21913580246913433,0.6666666666666664,-1.6051403826587958,0.10636665796593274,0.7042546753131178,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelVariance,0.8520408163265305,0.42000000000000004,1.0205332153548081,0.13604919864003412,0.7042546753131178,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelNonUniformityNormalized,0.1479591836734695,0.58,-1.9708536543404822,0.13604919864003412,0.7042546753131178,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LowGrayLevelRunEmphasis,0.7171714986992832,0.3014120732386075,1.2505809487282928,0.061601620319876406,0.7042546753131178,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_HighGrayLevelRunEmphasis,0.28282850130071857,0.6985879267613925,-1.3045141985091149,0.06160162031987846,0.7042546753131178,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelVariance,0.8409131492740585,0.44112143720531094,0.930780931672301,0.09060309557074928,0.7042546753131178,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumAverage,0.23842779728031793,0.6451899735184199,-1.4361715754046223,0.12870714295930435,0.7042546753131178,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointAverage,0.23842779728031616,0.6451899735184213,-1.4361715754046362,0.12870714295930186,0.7042546753131178,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_ClusterShade,0.7880253505522035,0.35869737552923436,1.1354748519100306,0.11107930955218637,0.7042546753131178,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelNonUniformityNormalized,0.1590868507261689,0.5588785627947346,-1.8127202427433495,0.09060309557085056,0.7042546753131178,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_RobustMeanAbsoluteDeviation,0.6740658313105681,0.3313029109593407,1.0247386166869943,0.10057329296777572,0.7042546753131178,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Mean,0.19493638899215682,0.5391042030140876,-1.4675607320653876,0.12777253261367194,0.7042546753131178,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_InterquartileRange,0.669982665636422,0.31815387301048087,1.0743990852326044,0.09388458758517482,0.7042546753131178,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Median,0.17220129963934078,0.6780122026833568,-1.9772152077390133,0.047588716221737486,0.7042546753131178,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_MeanAbsoluteDeviation,0.6848499163000213,0.40595927448268243,0.7544528539052552,0.15730043038008687,0.7690243263026468,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Autocorrelation,0.2530032063440144,0.6072820129461831,-1.263210970206959,0.1672525660448614,0.7746434637867265,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Kurtosis,0.2442615138866567,0.5342872903566895,-1.1291891298022876,0.17771025160644602,0.7819251070683625,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaLowGrayLevelEmphasis,0.33739869756482677,0.1858959856742562,0.8599587881521059,0.4899242428313991,0.7965012749406076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaHighGrayLevelEmphasis,0.3468718714197544,0.25925169439611084,0.420049436030061,0.6884441398281027,0.7965012749406076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaEmphasis,0.3421025004114648,0.22231997585823543,0.6217910657475301,0.5831994436099582,0.7965012749406076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_HighGrayLevelZoneEmphasis,0.5769230769230769,0.3692307692307692,0.6438561897747247,0.4639150378176965,0.7965012749406076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelNonUniformity,0.5133928571428573,0.7750000000000001,-0.5941330866127414,0.24602140356597105,0.7965012749406076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunLowGrayLevelEmphasis,0.45567229696866196,0.6172128247286388,-0.43777137598543253,0.4953097575768819,0.7965012749406076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunEmphasis,0.45396645258495116,0.5720193819198712,-0.3334783426051939,0.6522205389457142,0.7965012749406076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunPercentage,0.45228911621667045,0.544591648499076,-0.26792957862607636,0.6877364549842333,0.7965012749406076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,0.4601628136891889,0.5454264641184231,-0.24524029923475746,0.7134135008626084,0.7965012749406076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LowGrayLevelZoneEmphasis,0.4230769230769232,0.6307692307692309,-0.576192291093424,0.46391503781769683,0.7965012749406076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SizeZoneNonUniformity,0.6326530612244898,0.42095238095238097,0.5877575194337205,0.4905652807465146,0.7965012749406076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_RootMeanSquared,0.7071886761233348,0.49892715886196404,0.5032659698228459,0.28250820645598934,0.7965012749406076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SmallAreaEmphasis,0.7564185150645427,0.4994173843080299,0.5989386357972025,0.3488580537672478,0.7965012749406076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_90Percentile,0.6876548289821505,0.5016912676963793,0.45488475306682963,0.3684856084302246,0.7965012749406076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Energy,0.6759148728314294,0.46681341216622607,0.5339955475308676,0.27730184352352105,0.7965012749406076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceHighGrayLevelEmphasis,0.2650171572780746,0.41594431600861836,-0.6503046392732621,0.5296692293290153,0.7965012749406076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceEmphasis,0.5366822168910541,0.44489741639316344,0.27059536429246533,0.6847866726914147,0.7965012749406076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Entropy,0.5313956481156197,0.40290689784887945,0.3993399079387402,0.639556688748638,0.7965012749406076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_GrayLevelVariance,0.5313769414576655,0.4028793309439834,0.3993878326476471,0.6395355753975422,0.7965012749406076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_GrayLevelNonUniformity,0.4686230585424198,0.5971206690561758,-0.34959456421344604,0.6395355753973684,0.7965012749406076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceVariance,0.5043080841690668,0.4074819536079025,0.30756918492045177,0.6449594656942682,0.7965012749406076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceNonUniformityNormalized,0.3764084671145551,0.5053710860477947,-0.42504404417320196,0.5218202925273947,0.7965012749406076,r_hippocampus,male_P45_nrxn,male_P45_control
