,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_glszm_LargeAreaEmphasis,0.4829074042536859,0.12368846838277019,1.96503558155181,0.06114095622558502,0.14291676750707785,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Id,0.23402212781268705,0.6130021526791701,-1.3892471908703732,0.06012971797864948,0.14291676750707785,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Idm,0.2340173951421356,0.6129908998153966,-1.3892498832837914,0.060135836813775774,0.14291676750707785,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceEntropy,0.7781737972909091,0.3793108207486064,1.0367118740785348,0.042569020860644916,0.14291676750707785,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunVariance,0.14550225729177202,0.6026892771979251,-2.050372862200179,0.03016943666344641,0.14291676750707785,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_HighGrayLevelZoneEmphasis,0.7735677083333334,0.3226475391698373,1.2615685503772829,0.011024549124634126,0.14291676750707785,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Imc2,0.7215426694590248,0.3704585311244095,0.9617726558072183,0.052872002003348434,0.14291676750707785,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_InverseVariance,0.7659586457132075,0.3869521325617457,0.9851113922201223,0.060104870956117454,0.14291676750707785,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointAverage,0.32654981078083356,0.6674915883688535,-1.0314465840049174,0.07308243792975572,0.14291676750707785,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEnergy,0.26805453280638813,0.6308230535865886,-1.234708853440897,0.06006464619171033,0.14291676750707785,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEntropy,0.7544711591243705,0.3769586975972473,1.0010592927254185,0.050463581495198945,0.14291676750707785,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_DifferenceVariance,0.7847787907781512,0.40661925045074776,0.9486075343240987,0.06300907497673108,0.14291676750707785,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_MCC,0.5757186290500893,0.19130920956775183,1.5894575693416126,0.039940187817353784,0.14291676750707785,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumAverage,0.32654981078083267,0.6674915883688535,-1.0314465840049212,0.07308243792975509,0.14291676750707785,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumEntropy,0.7523445337621868,0.37503308574800676,1.004375613739878,0.04896734600180472,0.14291676750707785,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumSquares,0.716262866061786,0.3553209730678299,1.0113663016330683,0.05707980895393171,0.14291676750707785,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelNonUniformity,0.8428504858549082,0.3690883580877946,1.191310500337409,0.026560338614144578,0.14291676750707785,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_ZoneVariance,0.4886749700537524,0.1266884273804298,1.9475904670955348,0.058460314860113174,0.14291676750707785,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunPercentage,0.7659897775935904,0.38700096698439046,0.984987967818881,0.060144543708811414,0.14291676750707785,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_ZonePercentage,0.33018867924528295,0.709433962264151,-1.1033777398453088,0.02696426399270683,0.14291676750707785,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunEmphasis,0.15559451909037947,0.5628092125066052,-1.8548547025149684,0.05119246161874996,0.14291676750707785,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunHighGrayLevelEmphasis,0.1632025188033846,0.566998501470446,-1.7966815987822027,0.05134351668541167,0.14291676750707785,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunLowGrayLevelEmphasis,0.12044628831115373,0.5422890292664566,-2.170672048346088,0.05226445593063838,0.14291676750707785,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_MaximumProbability,0.2919139788568823,0.6536487337908939,-1.162972251156208,0.05854804731739858,0.14291676750707785,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LowGrayLevelZoneEmphasis,0.1878460570469782,0.6575396860756328,-1.8075271378448192,0.008932660540337208,0.14291676750707785,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_DifferenceEntropy,0.7953362670462577,0.4184944165812173,0.9263565838708382,0.06508187816543018,0.14291676750707785,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LargeAreaLowGrayLevelEmphasis,0.46787314884054476,0.11514944780542127,2.02260994229307,0.0681263565116694,0.14291676750707785,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelVariance,0.7707924030914166,0.32775721191005613,1.2337148269458544,0.013546928247154451,0.14291676750707785,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelNonUniformityNormalized,0.16645177480415851,0.6404846629949716,-1.9440597708957768,0.009749497163295078,0.14291676750707785,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Entropy,0.720396629389281,0.3706885296746919,0.958583957033984,0.06564086666479854,0.14291676750707785,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_InterquartileRange,0.6807522524217228,0.18486358269867784,1.880668802514404,0.02958704736493991,0.14291676750707785,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceHighGrayLevelEmphasis,0.2545016026593916,0.6401226608294275,-1.3306736406739357,0.0480728524078635,0.14291676750707785,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Maximum,0.6154329412915225,0.17820410119640853,1.7880711270766176,0.04126355254855723,0.14291676750707785,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceEmphasis,0.21988778392466313,0.6175412731214202,-1.489768105737968,0.04778713193689229,0.14291676750707785,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelNonUniformity,0.31769164967636654,0.7483095756391271,-1.2360080662549249,0.013591309249569316,0.14291676750707785,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_DifferenceAverage,0.7659897038636942,0.3870259794802682,0.9848945882618387,0.06014501702609471,0.14291676750707785,r_hippocampus,male_P45_nrxn,male_P45_control
