,binWidth_1_ODI_male_P45_nrxn,binWidth_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
original_firstorder_90Percentile,0.5561653924902652,0.183391093269499,1.6005904020131827,0.0908653668477505,0.29161105399149273,l_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Energy,0.6073185885586767,0.29430882446050843,1.0451227270549872,0.1417320342246172,0.29161105399149273,l_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_InterquartileRange,0.6196639579912233,0.2418239609257756,1.3575288582219083,0.12433503361463508,0.29161105399149273,l_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_MeanAbsoluteDeviation,0.5755471612679351,0.2426301018799218,1.246175600591006,0.15171206533255918,0.29161105399149273,l_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_RobustMeanAbsoluteDeviation,0.5911434152208462,0.2389915213327028,1.3065487431940208,0.14248723179524606,0.29161105399149273,l_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_RootMeanSquared,0.6352388005981585,0.330490740619177,0.9426891832499494,0.15552589546212944,0.29161105399149273,l_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_TotalEnergy,0.6073185885586767,0.29430882446050843,1.0451227270549872,0.1417320342246172,0.29161105399149273,l_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Variance,0.5643481233986055,0.2174189937122902,1.376107397463619,0.13705521243020347,0.29161105399149273,l_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Maximum,0.5788406283054821,0.3632391431060797,0.6722465092619812,0.3363757860092616,0.45869425364899313,l_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Mean,0.7068324224744901,0.472722407939956,0.580374965171914,0.33135393497018434,0.45869425364899313,l_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Range,0.5788406283054822,0.3632391431060798,0.6722465092619809,0.3363757860092616,0.45869425364899313,l_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Median,0.7039812393034525,0.5249409070861816,0.423381955508756,0.44140896184883127,0.5304385982647409,l_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Skewness,0.6158198283900004,0.4565379520216748,0.4317735240462169,0.4597134518294421,0.5304385982647409,l_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Kurtosis,0.3333840657776726,0.46839486461607427,-0.49054010672114745,0.5290294712382884,0.5668172906124518,l_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_10Percentile,0.25002649782306735,0.20575945267808424,0.281122289693569,0.8667296570218486,0.8667296570218486,l_amygdala,male_P45_nrxn,male_P45_control
