,binWidth_1_ODI_male_P45_nrxn,binWidth_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLL_firstorder_10Percentile,0.6951172771842646,0.27869043935032023,1.3185928929110968,0.07234401311497682,0.7425508481297262,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunEmphasis,0.7127957663933877,0.4033732383886381,0.8213733958977546,0.10566692603198916,0.7425508481297262,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunLowGrayLevelEmphasis,0.38875564789609574,0.8055051261237782,-1.0510301350041655,0.049736946755258894,0.7425508481297262,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunEmphasis,0.2544271253061494,0.5930885201951244,-1.2209949580450081,0.12257309377334963,0.7425508481297262,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,0.7159373548622292,0.37957740833033143,0.9154392272870973,0.10830110665076788,0.7425508481297262,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_MCC,0.38632008636047543,0.7514081025163588,-0.9597999816705747,0.12896532009262732,0.7425508481297262,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Imc2,0.393667229321279,0.7570308236393645,-0.9433754219921769,0.13708989442812677,0.7425508481297262,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Imc1,0.6757256347740539,0.29085303721654404,1.2161472176833907,0.06687553377638727,0.7425508481297262,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_DifferenceVariance,0.6902955690169752,0.29253202971080794,1.2386196278110797,0.07059803828373319,0.7425508481297262,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Variance,0.34067762799984563,0.6601797814000265,-0.9544517453723387,0.1511013552368765,0.7425508481297262,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_TotalEnergy,0.34073608797736876,0.65947639833581,-0.9526662745482474,0.1518854007538073,0.7425508481297262,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_RootMeanSquared,0.3937690744224539,0.7123502557029169,-0.8552369645317845,0.14917686371793223,0.7425508481297262,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_DifferenceEntropy,0.6925522152915402,0.29726756058943876,1.2201608106045398,0.06984321110710297,0.7425508481297262,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_MeanAbsoluteDeviation,0.3902746482771544,0.7339287873256007,-0.9111503357495585,0.1294024357285522,0.7425508481297262,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Energy,0.3407360879773687,0.6594763983358097,-0.9526662745482474,0.15188540075380763,0.7425508481297262,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_InterquartileRange,0.40030064919646413,0.7810072027935446,-0.9642518981497323,0.1276442617715028,0.7425508481297262,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_RobustMeanAbsoluteDeviation,0.3942691612502563,0.7650657709949455,-0.9564029075525479,0.12711247020844393,0.7425508481297262,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Mean,0.6982506203797969,0.19210188539139894,1.8618732718482156,0.01212719701359821,0.7425508481297262,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Range,0.31253847542410473,0.6161877633657928,-0.979336227327347,0.18905367508942517,0.8756170214668113,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Minimum,0.7973640764378374,0.5139433645126001,0.6336292230150837,0.21595240582736894,0.9316848836079243,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelNonUniformityNormalized,0.1049382716049383,0.40061728395061724,-1.9326837318614365,0.24350854912479838,0.9316848836079243,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelVariance,0.8950617283950617,0.5993827160493826,0.5785096994831047,0.24350854912479838,0.9316848836079243,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumEntropy,0.6959929316869893,0.3827417329935713,0.8627014378747657,0.2417269289464895,0.9316848836079243,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceLowGrayLevelEmphasis,0.4184414983968723,0.6808599599971851,-0.7023321575913505,0.2694424011238834,0.9879554707875725,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunVariance,0.17731116656561474,0.4734105187050706,-1.4168083656288837,0.28212596491436837,0.9930833964985766,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaLowGrayLevelEmphasis,0.36534992675842576,0.42589707187422315,-0.22122589298494555,0.8453677378644469,0.9990218690895822,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaHighGrayLevelEmphasis,0.46584470447163306,0.42387472417132804,0.13621115300114953,0.875700897489861,0.9990218690895822,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_HighGrayLevelZoneEmphasis,0.6785714285714285,0.4785714285714285,0.5037664178731756,0.42344568651513004,0.9990218690895822,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelNonUniformity,0.34027777777777785,0.5194444444444445,-0.610256520885066,0.5424941038472498,0.9990218690895822,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LowGrayLevelEmphasis,0.41860465116279233,0.5916279069767455,-0.4991017640673159,0.4616791878328952,0.9990218690895822,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunHighGrayLevelEmphasis,0.6089364794440499,0.5042477109944512,0.2721591129779731,0.6223983112292019,0.9990218690895822,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_SmallDependenceEmphasis,0.4468971743186101,0.32504550531560633,0.4593012178579075,0.5864633110700284,0.9990218690895822,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaEmphasis,0.4600294889861929,0.46040484171322155,-0.001176660908497972,0.9990218690895822,0.9990218690895822,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LowGrayLevelZoneEmphasis,0.32142857142857145,0.5214285714285715,-0.6979714625503425,0.42344568651513004,0.9990218690895822,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceHighGrayLevelEmphasis,0.4810657319094592,0.38494859741130216,0.3215682204877934,0.6838779999493647,0.9990218690895822,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SizeZoneNonUniformityNormalized,0.5233333333333333,0.5462222222222223,-0.0617578558725163,0.9408559376989037,0.9990218690895822,l_amygdala,male_P45_nrxn,male_P45_control
