,binWidth_1_ODI_male_P45_nrxn,binWidth_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_glrlm_GrayLevelNonUniformityNormalized,0.3774284313414371,0.8184196578274413,-1.1166376940133098,0.04368901228674432,0.20407059913423534,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEnergy,0.47691796810926546,0.860323774436921,-0.8511385682006481,0.09733665119769286,0.20407059913423534,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEntropy,0.558914142027548,0.17404030439167534,1.683205234291328,0.09760811162027286,0.20407059913423534,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_MaximumProbability,0.48803067488407437,0.8698341169133575,-0.8337684653650459,0.09817235628073694,0.20407059913423534,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumAverage,0.450296013587848,0.08551012711813825,2.3967065095464504,0.12522514037782456,0.20407059913423534,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumEntropy,0.5595325211696687,0.1753762489479183,1.6737686079290208,0.09852121773057677,0.20407059913423534,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceHighGrayLevelEmphasis,0.4026533235402141,0.7789220034464254,-0.9519406311445552,0.11431378920192391,0.20407059913423534,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelNonUniformity,0.3856129177278258,0.9013295940414932,-1.224901379056166,0.0108788815943839,0.20407059913423534,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_SmallDependenceHighGrayLevelEmphasis,0.7796661362247927,0.2893998670921815,1.429792215019219,0.010289082263793476,0.20407059913423534,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelVariance,0.6421932422964657,0.1862419165288808,1.7858296743407873,0.04181842905018821,0.20407059913423534,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_HighGrayLevelRunEmphasis,0.5084380711726136,0.10843531894550144,2.229237321696251,0.0677020770798264,0.20407059913423534,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunEmphasis,0.39361313064274955,0.7951294384888085,-1.014411385974301,0.08439685834517359,0.20407059913423534,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunHighGrayLevelEmphasis,0.38343460095012655,0.7863409375730146,-1.036174433291742,0.08533232942519096,0.20407059913423534,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunLowGrayLevelEmphasis,0.39901283894683154,0.7997238035721337,-1.0030666615085917,0.08421342443298507,0.20407059913423534,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformity,0.4855997314098513,0.09926225435782957,2.290450498272089,0.10279062842266873,0.20407059913423534,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformityNormalized,0.4529755261865107,0.0688590910676294,2.717714062279148,0.12288188758033178,0.20407059913423534,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunPercentage,0.5547493403693925,0.16295514511873313,1.7673611427617901,0.09041505707285485,0.20407059913423534,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunEmphasis,0.6273288766041056,0.2074860703075571,1.5962074893596088,0.06643117992806871,0.20407059913423534,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunHighGrayLevelEmphasis,0.5710462275980518,0.14183109016239395,2.0094337260244233,0.04969055800336882,0.20407059913423534,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_SmallDependenceEmphasis,0.7188765070323082,0.2989551608879672,1.2658148405643368,0.11750688015126484,0.20407059913423534,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_SmallAreaEmphasis,0.18230097750382224,0.6482528104778174,-1.8302342586710498,0.03657279986151128,0.20407059913423534,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_SmallAreaLowGrayLevelEmphasis,0.25325535345441796,0.6940447549117568,-1.4544359309702233,0.044767481591569944,0.20407059913423534,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceEntropy,0.6127358680666624,0.18532070076830295,1.7252412627693925,0.07726389031896429,0.20407059913423534,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceNonUniformity,0.31931572946781217,0.7536650515086121,-1.2389398727573002,0.09037447303842001,0.20407059913423534,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceNonUniformityNormalized,0.31931572946781217,0.7536650515086117,-1.2389398727572998,0.09037447303842022,0.20407059913423534,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceVariance,0.6281854181046016,0.17035064360909774,1.882683056342446,0.03934457234019891,0.20407059913423534,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_GrayLevelNonUniformity,0.495212742886884,0.8903105482303951,-0.8462602100438719,0.07997939590494033,0.20407059913423534,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_GrayLevelVariance,0.5071540846647431,0.11006631927996209,2.2040510704316607,0.07920575919069224,0.20407059913423534,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_HighGrayLevelEmphasis,0.4638257575757576,0.08227272727272723,2.49509676564698,0.09341537136505383,0.20407059913423534,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceEmphasis,0.4554991564162836,0.8337404646199544,-0.872149974317258,0.10570332411657742,0.20407059913423534,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointAverage,0.4502960135878471,0.08551012711813825,2.3967065095464477,0.12522514037782623,0.20407059913423534,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_InverseVariance,0.5536641953997168,0.16269833448958035,1.7668117455414418,0.09088740210619403,0.20407059913423534,l_amygdala,male_P45_nrxn,male_P45_control
