,binWidth_1_ODI_male_P45_nrxn,binWidth_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
original_firstorder_10Percentile,0.4842271384932272,0.1040545350779543,2.218344093016119,0.04489298591753151,0.3591438873402521,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Minimum,0.5409118456758432,2.785126748150457e-06,17.567290981939284,0.02714650699666448,0.3591438873402521,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Energy,0.438576432877221,0.16620435091408642,1.399870140541302,0.18851990281052136,0.43090263499547765,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Mean,0.45830898437051504,0.1708375208426669,1.4236957004147528,0.15450973806258264,0.43090263499547765,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Median,0.44152610263157577,0.16080839433554459,1.4571560128502234,0.167421321287412,0.43090263499547765,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_RootMeanSquared,0.46019445238270373,0.18895311050310867,1.2842153239513823,0.1876348949685593,0.43090263499547765,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_TotalEnergy,0.4385764328772211,0.16620435091408653,1.3998701405413014,0.18851990281052147,0.43090263499547765,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_90Percentile,0.467908147613075,0.22525662083783765,1.0546558393806191,0.2693022225631706,0.5386044451263412,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Maximum,0.48609836827745134,0.27619964480614667,0.8155368270473359,0.3253114102324914,0.5783313959688736,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_InterquartileRange,0.5720591803869373,0.4329790647910524,0.40186713361017323,0.5566253902849612,0.8225845910730789,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Kurtosis,0.5039094580677678,0.6287839172888431,-0.3193997825055069,0.6169384433048092,0.8225845910730789,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_RobustMeanAbsoluteDeviation,0.5789510648517128,0.45704936791737377,0.34109140573773566,0.6115929243768665,0.8225845910730789,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_MeanAbsoluteDeviation,0.6202905851335057,0.5525754200602346,0.16677283874123025,0.7846215326111311,0.9656880401367768,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Range,0.4070340622281756,0.40757195960541504,-0.0019052694692584928,0.998017036227586,0.998017036227586,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Skewness,0.4740062792332719,0.46398346715822064,0.030832771260380015,0.9706975557099502,0.998017036227586,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Variance,0.6190592068517136,0.5843758072625199,0.08318094261761896,0.8898779014286594,0.998017036227586,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
