,binWidth_1_ODI_male_P45_nrxn,binWidth_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHH_glcm_Id,0.26841709985328066,0.518085942827281,-0.9487148564313255,0.31555433791445003,0.7643984733173201,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_GrayLevelNonUniformity,0.07218890554702284,0.27349325337327174,-1.9216562078987653,0.37551419902282196,0.7643984733173201,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunPercentage,0.7509174311926259,0.47889908256880176,0.6489326099042191,0.28447720977813556,0.7643984733173201,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Idm,0.26841709985328066,0.518085942827281,-0.9487148564313255,0.31555433791445003,0.7643984733173201,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Idmn,0.2684170998533659,0.518085942827247,-0.9487148564307721,0.3155543379146047,0.7643984733173201,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Idn,0.2684170998533091,0.518085942827247,-0.9487148564310776,0.3155543379145426,0.7643984733173201,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceVariance,0.18643868634683747,0.6018527032573413,-1.6907091939010597,0.07107151219388705,0.7643984733173201,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceNonUniformityNormalized,0.7512345061590668,0.3442995745204705,1.125598933206396,0.05924349557859058,0.7643984733173201,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_InverseVariance,0.7315829001467478,0.4819140571727473,0.6022454699263502,0.315554337914472,0.7643984733173201,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceNonUniformity,0.7512345061590677,0.3442995745204712,1.1255989332063947,0.05924349557859094,0.7643984733173201,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceEntropy,0.20577910676923672,0.6747983132283764,-1.7133598578830935,0.06275575013849766,0.7643984733173201,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_ZoneVariance,0.07218890554722637,0.2734932533733133,-1.921656207894917,0.3755141990232256,0.7643984733173201,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_SmallDependenceHighGrayLevelEmphasis,0.1828430862408208,0.4509264988610454,-1.3022862172045808,0.26979927302974593,0.7643984733173201,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SmallAreaEmphasis,0.07216217544686288,0.27346853642293356,-1.9220601183457273,0.37551480902550266,0.7643984733173201,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_SumSquares,0.9599635837784035,0.7280507798874168,0.3989405995969652,0.3109449552783726,0.7643984733173201,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_GrayLevelNonUniformity,0.7519596621450972,0.4797017180843284,0.6485176659032885,0.28418486474922067,0.7643984733173201,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_HighGrayLevelRunEmphasis,0.7524064403453394,0.4606074648205379,0.7079744055843978,0.13422803607267428,0.7643984733173201,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunHighGrayLevelEmphasis,0.48195633329198806,0.6810227874716247,-0.4988006327499196,0.3759672609007999,0.7643984733173201,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LargeAreaEmphasis,0.0721889055473639,0.27349325337336267,-1.9216562078924289,0.3755141990234149,0.7643984733173201,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LowGrayLevelRunEmphasis,0.247593559654689,0.5393925351794792,-1.1233617678108168,0.13422803607269101,0.7643984733173201,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunEntropy,0.13697849490978342,0.5318575723791696,-1.9570905406625538,0.11589060896617893,0.7643984733173201,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunEmphasis,0.1028558286889023,0.5856659532679032,-2.5094544765783704,0.07048454916316935,0.7643984733173201,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_GrayLevelVariance,0.9278110944532045,0.726506746627092,0.3528549021999563,0.3755141990233373,0.7643984733173201,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_DifferenceAverage,0.7315829001467478,0.4819140571727473,0.6022454699263502,0.315554337914472,0.7643984733173201,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunVariance,0.1919074545502344,0.4608657467325877,-1.263935791765693,0.25682224119188607,0.7643984733173201,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Contrast,0.7315829001467478,0.4819140571727473,0.6022454699263502,0.315554337914472,0.7643984733173201,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
