,binWidth_1_ODI_male_P45_nrxn,binWidth_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHL_gldm_DependenceNonUniformity,0.8567526141442003,0.6053675451968721,0.501067356879502,0.29916111611018265,0.636698127814002,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Imc1,0.7446271412655556,0.5331591717797,0.4819518965475429,0.30938202632765005,0.636698127814002,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_DependenceVariance,0.15917187530986532,0.40630123727109124,-1.3519643148089737,0.2943744727049057,0.636698127814002,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_InverseVariance,0.7995379796237669,0.5916835209373253,0.4343408512394417,0.3896822096650496,0.636698127814002,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_SizeZoneNonUniformityNormalized,1.0,0.8,0.32192809488736235,0.40708382206558924,0.636698127814002,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_JointEnergy,0.22887308673216467,0.4472407315766418,-0.9665037589561013,0.29503415637021213,0.636698127814002,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_JointEntropy,0.7876981748188072,0.5643961242881061,0.48093485187330287,0.2863897558882406,0.636698127814002,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_DependenceEntropy,0.1671015027132965,0.40690554253359396,-1.283969224403679,0.30659599131738513,0.636698127814002,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LowGrayLevelZoneEmphasis,0.0,0.2,-inf,0.407083822065589,0.636698127814002,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_DependenceNonUniformityNormalized,0.8567526141442023,0.6053675451968733,0.5010673568795024,0.29916111611018215,0.636698127814002,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_SumSquares,0.9080493877746108,0.6550286359190522,0.471212787795697,0.2635179269394802,0.636698127814002,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_GrayLevelNonUniformity,0.797838275958032,0.5806865528910266,0.4583367122127966,0.37626818758980135,0.636698127814002,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LargeAreaLowGrayLevelEmphasis,0.9491057183138827,0.7596108207477646,0.3213083370891327,0.41008474693298913,0.636698127814002,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LargeAreaHighGrayLevelEmphasis,0.9572161189290929,0.7659103686337534,0.32166912186312047,0.4093882733544574,0.636698127814002,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LongRunEmphasis,0.1079800575399621,0.3670891371786841,-1.7653655324762458,0.2586354640547817,0.636698127814002,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LongRunHighGrayLevelEmphasis,0.10438516340089432,0.4047818720455748,-1.9552280095091585,0.16854605802487585,0.636698127814002,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LongRunLowGrayLevelEmphasis,0.12474410823507553,0.35535393920969655,-1.5102850145939404,0.3251997968991077,0.636698127814002,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunEntropy,0.18315455256837865,0.42698759924418966,-1.221132609349073,0.32425828829932596,0.636698127814002,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
