,binWidth_1_ODI_male_P45_nrxn,binWidth_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLL_firstorder_10Percentile,0.7050344329657484,0.3776259979081624,0.9007356271834526,0.16044927562129763,0.5554405922554202,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SizeZoneNonUniformity,0.5649350649350648,0.24190476190476184,1.223645880935146,0.26036671103551506,0.5554405922554202,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointAverage,0.30294869297278737,0.54565489184521,-0.8489153027576914,0.26334531714568576,0.5554405922554202,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointEnergy,0.12776499289266852,0.528082021671841,-2.047269428663236,0.07553332502986446,0.5554405922554202,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointEntropy,0.873294761087152,0.46150477229185183,0.9201231189968642,0.07161704560161482,0.5554405922554202,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_MCC,0.1689418486339096,0.42023343462882395,-1.314664207523969,0.29217902963795234,0.5554405922554202,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_MaximumProbability,0.20308989085043638,0.4436524481407126,-1.1273115007330323,0.30094987411792523,0.5554405922554202,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumAverage,0.30294869297278915,0.5456548918452142,-0.848915302757694,0.2633453171456746,0.5554405922554202,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumEntropy,0.7882767844444718,0.39600052866504,0.9931999300016595,0.08718249223714404,0.5554405922554202,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_GrayLevelNonUniformity,0.39265577743031965,0.6347925091439641,-0.6930199791003845,0.37165115508203533,0.5554405922554202,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_HighGrayLevelEmphasis,0.29986522911051416,0.5024258760107798,-0.7445965239131427,0.3761493655324179,0.5554405922554202,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunEmphasis,0.3312972613759144,0.6107441532890509,-0.882441869879537,0.2384972955540422,0.5554405922554202,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunHighGrayLevelEmphasis,0.2396248379240542,0.6381927621455713,-1.4132147907634458,0.12785639223639483,0.5554405922554202,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceVariance,0.6095735970693597,0.31196858669680394,0.9663996496714757,0.162600933506496,0.5554405922554202,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformity,0.34220641211195546,0.6664828143244665,-0.9617008823410617,0.2461963464393154,0.5554405922554202,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformityNormalized,0.4299119694731992,0.6907316595174879,-0.6840840728012523,0.3739648095702243,0.5554405922554202,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunPercentage,0.4002585521081974,0.6381463802704864,-0.6729551640784754,0.37870949471960463,0.5554405922554202,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunVariance,0.3613085578176829,0.726751014359758,-1.00822975369515,0.1354340172857096,0.5554405922554202,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceNonUniformityNormalized,0.3906891531496963,0.7282279104577529,-0.898368833363374,0.09355006074501833,0.5554405922554202,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceNonUniformity,0.3906891531496959,0.7282279104577525,-0.8983688333633747,0.09355006074501833,0.5554405922554202,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,0.5437757053058538,0.7702047992369984,-0.5022304163825607,0.33193663574802174,0.5554405922554202,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceEntropy,0.6581833782062896,0.34832508248237487,0.9180552295843558,0.13213644975286185,0.5554405922554202,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelNonUniformityNormalized,0.16898785838179775,0.4259753086419753,-1.3338502141217219,0.30484568638521625,0.5554405922554202,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelVariance,0.8310121416182021,0.5740246913580247,0.533756760872192,0.30484568638521625,0.5554405922554202,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_HighGrayLevelZoneEmphasis,0.4040880503144655,0.6236477987421385,-0.6260618171181195,0.35997145587058466,0.5554405922554202,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZoneVariance,0.49398770306608886,0.8577529480044719,-0.79608705021585,0.06262594672464036,0.5554405922554202,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZoneEntropy,0.6720150495885552,0.8808344493585947,-0.39037735156644415,0.3353360936053559,0.5554405922554202,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LowGrayLevelZoneEmphasis,0.5959119496855346,0.37635220125786173,0.6630157680581794,0.3599714558705852,0.5554405922554202,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Imc2,0.18138508169931544,0.411991305498303,-1.183558087635622,0.3331405815105251,0.5554405922554202,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Imc1,0.7719869441055578,0.35798116192354196,1.1086927783356153,0.07096117858702465,0.5554405922554202,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_InverseVariance,0.39238980066988294,0.6410095252738823,-0.70805825287883,0.36291502869686876,0.5554405922554202,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
