,binWidth_1_ODI_male_P45_nrxn,binWidth_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHL_firstorder_Kurtosis,0.21858264668513366,0.7256587079973665,-1.7311123092641025,0.003575066453752,0.157302923965088,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Skewness,0.8063025495307992,0.25855131408120025,1.6408706466169598,0.0031560130278544965,0.157302923965088,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Range,0.1290494932019673,0.6346419635986777,-2.298018442094126,0.016686763824914335,0.46301874023676987,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_MaximumProbability,0.7272812367704837,0.2369714147344574,1.6178003155443257,0.02104630637439863,0.46301874023676987,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Maximum,0.1592064076597312,0.5937851133041078,-1.899042522273647,0.04122747670471079,0.7256035900029099,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Minimum,0.8428362425249951,0.45527930513614123,0.8885004696544869,0.06138394551235921,0.9002978675146018,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumAverage,0.3159608683763526,0.6071740373627634,-0.9423642104500334,0.15684346352653658,0.993367666930082,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_ClusterShade,0.7009404923134791,0.3972671297150584,0.8191825407598453,0.13348099670328908,0.993367666930082,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Autocorrelation,0.3258356849770978,0.5789426755149506,-0.8292758915960106,0.2483419167325205,0.993367666930082,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_SmallAreaLowGrayLevelEmphasis,0.5497052842831139,0.23101526667471678,1.2506701524950834,0.21873020968058368,0.993367666930082,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Uniformity,0.45942139490337297,0.2001915660525242,1.1984368478861638,0.2463213223724257,0.993367666930082,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointAverage,0.3159608683763615,0.6071740373627705,-0.9423642104500096,0.1568434635265374,0.993367666930082,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_GrayLevelVariance,0.5405786050966981,0.7998084339475895,-0.5651500800594141,0.2463213223723643,0.993367666930082,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_GrayLevelNonUniformity,0.45942139490334455,0.20019156605246735,1.198436847886484,0.24632132237237891,0.993367666930082,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumSquares,0.5353434927568372,0.8158339055854299,-0.6078106000771,0.1871538235607979,0.993367666930082,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Median,0.2643015625101808,0.5838142230524165,-1.1433244046299325,0.14709406638162717,0.993367666930082,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_GrayLevelVariance,0.6104861111111111,0.8687644444444445,-0.509006586285443,0.2299328450833677,0.993367666930082,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_LargeDependenceLowGrayLevelEmphasis,0.5764043169848776,0.3207289704870696,0.8457264666431024,0.15818769072129837,0.993367666930082,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Entropy,0.5406409033300434,0.7998709611836261,-0.5650966105110663,0.24630953515872045,0.993367666930082,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_LowGrayLevelEmphasis,0.663656884875846,0.3900677200902919,0.7667129375602628,0.2103377351158431,0.993367666930082,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_HighGrayLevelEmphasis,0.33634311512415405,0.6099322799097073,-0.8587153439761601,0.21033773511584497,0.993367666930082,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_GrayLevelNonUniformityNormalized,0.38951388888888905,0.13123555555555563,1.5695161300982632,0.2299328450833677,0.993367666930082,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_HighGrayLevelZoneEmphasis,0.4289772727272727,0.4254545454545454,0.011896209516399196,0.988863357181911,0.9947565533391123,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_LargeAreaEmphasis,0.3220023421123513,0.4090695268446569,-0.3452748874039164,0.7712805649866409,0.9947565533391123,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_10Percentile,0.5491079903030596,0.6054678740760726,-0.1409605083297303,0.7960049313283348,0.9947565533391123,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
