,binWidth_1_ODI_male_P45_nrxn,binWidth_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLH_firstorder_10Percentile,0.39693897926355903,0.5360548290579644,-0.43346332934294646,0.568775468510359,0.8868926351133813,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaLowGrayLevelEmphasis,0.19149535177040608,0.25387754063682644,-0.4068233985573812,0.7861093811232244,0.8868926351133813,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_HighGrayLevelZoneEmphasis,0.27941176470588225,0.48823529411764693,-0.8051838230159771,0.2698324959742436,0.8868926351133813,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelVariance,0.8674999999999999,0.7755,0.16173697642953233,0.7185095665320664,0.8868926351133813,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelNonUniformityNormalized,0.13250000000000006,0.2245,-0.7607230852905847,0.7185095665320665,0.8868926351133813,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelNonUniformity,0.41250000000000003,0.5383333333333333,-0.3841056397269528,0.5533690044645904,0.8868926351133813,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunLowGrayLevelEmphasis,0.18726802753391159,0.3400096893574883,-0.8604712520866601,0.4984793364147936,0.8868926351133813,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunEmphasis,0.38415666146133853,0.45870179951339196,-0.255861796306552,0.7250706571139475,0.8868926351133813,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunVariance,0.6661475365881726,0.5672760300838195,0.2317908318903034,0.6334848145957568,0.8868926351133813,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunPercentage,0.37008371505291393,0.43696098562628405,-0.23965281989178738,0.7587411479480329,0.8868926351133813,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,0.34875933038273566,0.4255244732509432,-0.2870102942478108,0.720402261838962,0.8868926351133813,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformity,0.3486609716104698,0.41751048771216814,-0.25998755717120947,0.754129259275526,0.8868926351133813,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunEntropy,0.6390829493660597,0.5658237952589431,0.17565034763826665,0.7358616690370166,0.8868926351133813,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LowGrayLevelRunEmphasis,0.29106626046767303,0.7775385290598649,-1.417566550063939,0.03476234849361823,0.8868926351133813,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunHighGrayLevelEmphasis,0.6771961111323104,0.5072332028915003,0.416924502737694,0.42791600146411446,0.8868926351133813,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunEmphasis,0.6323716148812755,0.5332670057321313,0.24591454279907335,0.6309629449934241,0.8868926351133813,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_HighGrayLevelRunEmphasis,0.7089337395323305,0.22246147094013224,1.6720953011741069,0.034762348493615466,0.8868926351133813,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelVariance,0.8428151416509309,0.4481786072379691,0.911142446416845,0.12194225671082502,0.8868926351133813,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
