,binWidth_1_ODI_male_P45_nrxn,binWidth_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_firstorder_10Percentile,0.4411664571306654,0.07286818896774597,2.5979620636005167,0.06473428976079611,0.670124933280218,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunLowGrayLevelEmphasis,0.46346470767919734,0.2764988262690228,0.7451861271477843,0.4256890402351974,0.670124933280218,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunVariance,0.478739573405293,0.65601299750758,-0.4544833325258255,0.46451841966015117,0.670124933280218,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunPercentage,0.45884034842742205,0.2759358999933507,0.7336590939098022,0.42435974957123634,0.670124933280218,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformityNormalized,0.4385577705099887,0.26542232036857943,0.7244772015845292,0.45904092142186903,0.670124933280218,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformity,0.42067785543780783,0.23620282086480401,0.8326896820640406,0.42360219587646586,0.670124933280218,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LowGrayLevelRunEmphasis,0.542506944751566,0.8143204143496876,-0.5859549640335674,0.1949617390645988,0.670124933280218,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelNonUniformity,0.35798324312128277,0.517760836708996,-0.5323937865061932,0.4195946531992589,0.670124933280218,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunLowGrayLevelEmphasis,0.49222984877311937,0.6841702370640317,-0.47502319966457496,0.40723458412458047,0.670124933280218,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_HighGrayLevelRunEmphasis,0.44788087578871905,0.17623999547264982,1.3455737023129837,0.193786077906177,0.670124933280218,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelVariance,0.4936424390737395,0.24084220494478964,1.0353781994885696,0.22361889586173223,0.670124933280218,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumSquares,0.5341571558370617,0.28956696313519215,0.8833672497318357,0.2976121860446542,0.670124933280218,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumEntropy,0.5241464085617058,0.2945553518089478,0.8314310868827725,0.32558294339824073,0.670124933280218,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumAverage,0.42283223096950917,0.15791775867516833,1.4209119334307794,0.2254368295326055,0.670124933280218,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_MaximumProbability,0.5523528710884182,0.8117417112758242,-0.5554305197224522,0.24336979596517086,0.670124933280218,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunHighGrayLevelEmphasis,0.6715620306490033,0.48500656670110526,0.4695163835824277,0.4575891043270547,0.670124933280218,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_MCC,0.5824356788391846,0.40362171473191444,0.5290949417328924,0.4183203643334322,0.670124933280218,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelNonUniformityNormalized,0.29166459641590203,0.665842737887343,-1.1908711985680709,0.10399292898369314,0.670124933280218,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LargeAreaHighGrayLevelEmphasis,0.3851806492824966,0.20578760299597176,0.904379152458552,0.44143149715322694,0.670124933280218,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LowGrayLevelEmphasis,0.5760709686379476,0.8443298318266755,-0.5515601338842658,0.21688473745588233,0.670124933280218,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceLowGrayLevelEmphasis,0.5689998688504283,0.8135983981699255,-0.5158885187859882,0.2661445777546335,0.670124933280218,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceHighGrayLevelEmphasis,0.42061629800046507,0.13406619019781624,1.6495592989447543,0.19095358935178464,0.670124933280218,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceEmphasis,0.5368165368609599,0.7200493097742193,-0.42366659223732406,0.4252423389817491,0.670124933280218,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_HighGrayLevelEmphasis,0.4223105890287769,0.1541479316546761,1.4539888901711533,0.21670711724692812,0.670124933280218,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_GrayLevelVariance,0.534465651385497,0.28412266120573787,0.9115833295926804,0.2788138879283126,0.670124933280218,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelVariance,0.615531554964805,0.21003811442644,1.5511816684148183,0.07933208580782049,0.670124933280218,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
