,binWidth_1_ODI_male_P45_nrxn,binWidth_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHH_firstorder_Median,0.7453507902501532,0.14693880521463218,2.342704123236593,0.0023280843643012864,0.20254333969421193,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_DifferenceEntropy,0.16225674688893577,0.5834158174477068,-1.8462460318281788,0.05116971836884461,0.3179832498635344,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_DifferenceVariance,0.16291592336548533,0.5843842445856439,-1.8427896631407987,0.05072570486346593,0.3179832498635344,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Imc1,0.16314360031025232,0.5852326700719117,-1.8428679133907573,0.05063695465494979,0.3179832498635344,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Imc2,0.8244691518558143,0.3462672677291138,1.2515794975574448,0.031738638633649716,0.3179832498635344,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_JointEntropy,0.17743126322788783,0.6102105992443512,-1.7820470058818583,0.04550833876908379,0.3179832498635344,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_MCC,0.8278243707294088,0.35077444957393433,1.2387810557627597,0.03244911522788756,0.3179832498635344,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_JointEnergy,0.8223294672563384,0.38984650766040546,1.0768103165966796,0.04540886569085018,0.3179832498635344,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_SumEntropy,0.19689589272365993,0.6054740936556187,-1.6206322160982152,0.039988031303864906,0.3179832498635344,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceVariance,0.3204992017719728,0.766814771938369,-1.258557365681014,0.04328389208178149,0.3179832498635344,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceNonUniformityNormalized,0.7631648325480933,0.3137492072671435,1.282382878054429,0.02951140590311146,0.3179832498635344,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceNonUniformity,0.7631648325480906,0.3137492072671407,1.2823828780544368,0.029511405903111243,0.3179832498635344,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceEntropy,0.24588902319944594,0.7411992652119963,-1.591854118530677,0.01605592467606989,0.3179832498635344,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_MaximumProbability,0.8055805625394221,0.3196914988061124,1.3333484930059485,0.022940974383690336,0.3179832498635344,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_GrayLevelNonUniformity,0.6328494886039522,0.3426509666409743,0.885122665516161,0.125356860164795,0.3190063551925837,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_DifferenceAverage,0.6168319895479684,0.33312609592238684,0.8888092127813793,0.13620324188223754,0.3190063551925837,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_InverseVariance,0.6168319895479684,0.33312609592238684,0.8888092127813793,0.13620324188223754,0.3190063551925837,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Idn,0.3831680104519819,0.6668739040776472,-0.7994368752338563,0.13620324188212202,0.3190063551925837,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Idmn,0.38316801045192506,0.6668739040774654,-0.7994368752336768,0.13620324188221544,0.3190063551925837,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Idm,0.38316801045203874,0.66687390407767,-0.7994368752336916,0.13620324188217942,0.3190063551925837,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Id,0.38316801045203874,0.66687390407767,-0.7994368752336916,0.13620324188217942,0.3190063551925837,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunPercentage,0.6303999999999732,0.3436799999999778,0.875201636358358,0.1304168266532019,0.3190063551925837,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Correlation,0.38444549081331225,0.680970060871389,-0.8248123129672492,0.1159518847752206,0.3190063551925837,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_10Percentile,0.2383409569187822,0.5906987081547815,-1.3093955687997167,0.13933610916457678,0.3190063551925837,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_ClusterTendency,0.3854075712108127,0.6943965925115151,-0.8493749551163934,0.09883813492420657,0.3190063551925837,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Entropy,0.3159919034028462,0.7036627656943892,-1.1549965818567467,0.11939981917128235,0.3190063551925837,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_InterquartileRange,0.8436336000679335,0.45060666925718296,0.9047478891318228,0.07236270547229902,0.3190063551925837,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LowGrayLevelEmphasis,0.26644736842104777,0.6605263157894683,-1.3097654561787995,0.10884714311895086,0.3190063551925837,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.22115988329147918,0.5801213867139395,-1.391265091120918,0.057654756068558216,0.3190063551925837,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Contrast,0.6168319895479684,0.33312609592238684,0.8888092127813793,0.13620324188223754,0.3190063551925837,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_HighGrayLevelEmphasis,0.7335526315789664,0.33947368421053736,1.1116007393844036,0.10884714311894053,0.3190063551925837,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_GrayLevelVariance,0.3159856349598158,0.7036576533081643,-1.1550147196079597,0.11939853444819964,0.3190063551925837,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_RobustMeanAbsoluteDeviation,0.817427456548639,0.43549914902930376,0.9084208030339457,0.08198528171514867,0.3190063551925837,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LargeDependenceEmphasis,0.33354474792184163,0.6666630681204794,-0.9990774822869729,0.07015980751065641,0.3190063551925837,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunLengthNonUniformity,0.6649764708823138,0.3460983911933724,0.9421210588012131,0.08436607778001759,0.3190063551925837,l_hippocampus,male_P45_nrxn,male_P45_control
