,binWidth_1_ODI_male_P45_nrxn,binWidth_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHL_glcm_MaximumProbability,0.7191085388278875,0.1661050526448946,2.1141135822390322,0.004191327245023927,0.31450845022878093,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Skewness,0.15952580492551585,0.698651767448698,-2.130783731429146,0.007147919323381385,0.31450845022878093,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_JointEntropy,0.17128453800062005,0.6189484097199056,-1.8534242396467555,0.016198943310519548,0.35637675283143005,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_JointEnergy,0.8370589644147657,0.37981073058244874,1.1400485874806832,0.01462980667784318,0.35637675283143005,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Median,0.33350820169561496,0.7216109898742478,-1.1134990696135978,0.03882689076084843,0.5694610644924437,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_SmallDependenceEmphasis,0.6935642580263872,0.2491271077923841,1.4771475416349118,0.038822315375728514,0.5694610644924437,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_GrayLevelNonUniformity,0.8513986403661811,0.658638471989039,0.3703480020038446,0.38475717062627385,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_SmallDependenceHighGrayLevelEmphasis,0.5398494587361489,0.16833818120313,1.6811947214633753,0.1315985001619759,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_HighGrayLevelRunEmphasis,0.3683424289291999,0.5234691349204951,-0.5070568855262174,0.49112505875543133,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LongRunHighGrayLevelEmphasis,0.38931660683015057,0.6161407997249952,-0.6623161853419262,0.24186613888680975,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_GrayLevelNonUniformity,0.45833333333333337,0.2666666666666667,0.7813597135246594,0.36524170453997323,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LowGrayLevelRunEmphasis,0.6316575710708179,0.47653086507950204,0.4065730074772005,0.4911250587553795,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunEntropy,0.1519239559187664,0.3463540362204299,-1.1888981091610107,0.3656294918077966,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunLengthNonUniformity,0.870539615996103,0.6749734430033782,0.36707921258535964,0.3742795268262234,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunLengthNonUniformityNormalized,0.843318590135322,0.6737520787375203,0.32385993855326484,0.434250023559108,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunPercentage,0.8549557522123941,0.6623008849557579,0.36836297006540974,0.38634365908679097,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_ShortRunEmphasis,0.8041695285107586,0.6461187192120988,0.31570039766124697,0.46920591382638355,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_ShortRunHighGrayLevelEmphasis,0.7032969643940881,0.5051923563761761,0.4773011791526227,0.4156894916218524,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_SumEntropy,0.09752407227436777,0.36362426580235196,-1.8986182039889974,0.2220382867466714,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_GrayLevelNonUniformityNormalized,0.25,0.8,-1.6780719051126376,0.12497678418833186,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_10Percentile,0.29330169421061136,0.6330816305468799,-1.1100061304109146,0.17446387695115678,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_SumAverage,0.4208202446551894,0.5787450595697579,-0.4597238620198347,0.48892495018659665,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_LowGrayLevelEmphasis,0.6871657754010698,0.5080213903743356,0.43576894086291934,0.4129718917184134,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_LargeDependenceHighGrayLevelEmphasis,0.18060753869558166,0.553886115815947,-1.6167312618639145,0.051933134783459026,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_LargeDependenceEmphasis,0.14517818493269674,0.334733040891679,-1.2051862794979695,0.39658392609345294,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_HighGrayLevelEmphasis,0.3128342245989302,0.49197860962566436,-0.6531972364735976,0.4129718917184134,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_GrayLevelVariance,0.3646353646353191,0.5356995945230892,-0.5549697142476648,0.4421093968628561,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_GrayLevelNonUniformity,0.6353646353645956,0.4643004054768653,0.4525262505146103,0.44210939686293993,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_DependenceVariance,0.18632951568917044,0.35240387597972217,-0.9193735683500036,0.4646772254735363,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_DependenceEntropy,0.21747116226112162,0.39774827684089187,-0.8710315751712845,0.4228278415762142,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_ZonePercentage,0.4375,0.2000000000000001,1.129283016944966,0.26466713075022463,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_ZoneEntropy,0.5665798908371973,0.37388869864193774,0.5996705340241029,0.4085344581530329,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_SmallAreaLowGrayLevelEmphasis,0.5735294086810208,0.25098038729771666,1.1922928346453836,0.20348388732348935,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_SizeZoneNonUniformity,0.25,0.0,inf,0.29235199244023835,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LowGrayLevelZoneEmphasis,0.75,0.2,1.9068905956085185,0.12497678418833186,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LargeAreaHighGrayLevelEmphasis,0.43142920395284934,0.5996461572636113,-0.4749876002727218,0.46665859370057694,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LargeAreaEmphasis,0.43779051490448706,0.5998945657510717,-0.45446826499421106,0.48334842340280426,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_GrayLevelVariance,0.75,0.2,1.9068905956085185,0.12497678418833186,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_HighGrayLevelZoneEmphasis,0.25,0.8,-1.6780719051126376,0.12497678418833186,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.7770368911524619,0.3739214081869676,1.0552480222390248,0.10800773058220152,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_JointAverage,0.4208202446551823,0.5787450595697579,-0.45972386201985915,0.48892495018657056,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_90Percentile,0.7141678179712854,0.33188815614009837,1.1055659783752254,0.10292413206265266,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Energy,0.6799478084687778,0.4021844242137439,0.7575668019452183,0.3377213911733889,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Entropy,0.36469407865749304,0.5357456003484004,-0.5548613216488083,0.4421502566502311,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_InterquartileRange,0.7601178950658147,0.41351675650990555,0.8782774079794877,0.10611788353446859,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Kurtosis,0.16656506389701514,0.5311727259257357,-1.6730952355551665,0.06397994236541918,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_MeanAbsoluteDeviation,0.723876612340441,0.3834274925866275,0.9167900200404477,0.17644072797217816,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_RobustMeanAbsoluteDeviation,0.7540895195350314,0.39628175423951156,0.9282092552866578,0.1035249637667146,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_RootMeanSquared,0.6866359675569577,0.4207265608481885,0.7066625313048572,0.3615621124659988,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_TotalEnergy,0.6799478084687777,0.4021844242137437,0.7575668019452189,0.3377213911733889,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Uniformity,0.6353646353646809,0.4643004054768653,0.4525262505148039,0.4421093968627392,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_MCC,0.8463181842721256,0.5900583289168313,0.5203425892345713,0.20888011209147153,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Autocorrelation,0.27147703992745065,0.522553847311201,-0.9447495216575588,0.28765629470654913,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_ClusterProminence,0.15779422783623964,0.3745895057807374,-1.247266050615931,0.3093305554574027,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_ClusterTendency,0.15861521040450732,0.3767391953569785,-1.2480350119238797,0.3057426591913656,0.6355736054482053,l_hippocampus,male_P45_nrxn,male_P45_control
