,binWidth_1_ODI_male_P45_nrxn,binWidth_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLH_firstorder_10Percentile,0.28975211536770606,0.587871166971154,-1.0206808266485576,0.20919786434547955,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_SumEntropy,0.22341362984682434,0.3957595137953035,-0.8249068288727996,0.4152796977165414,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_GrayLevelNonUniformity,0.8465676950381553,0.6716382857316148,0.33394096528586936,0.4159716624155273,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_SmallDependenceHighGrayLevelEmphasis,0.6800848310984442,0.2916596117536784,1.2214290941743156,0.06730355457180717,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LongRunEmphasis,0.23805823197671838,0.4370210993658198,-0.8763884169964433,0.3486428477968413,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LongRunHighGrayLevelEmphasis,0.4233568931570151,0.6227561706969873,-0.556793032333306,0.35136014417050054,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunEntropy,0.2043655773825961,0.39050057872376553,-0.9341724721782134,0.3644106453475071,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunPercentage,0.8461042311661569,0.671929824561414,0.3325248314288447,0.41828041465128973,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunVariance,0.2412374373485484,0.4101610112852246,-0.7657365452084515,0.40296362471420455,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_ShortRunHighGrayLevelEmphasis,0.497271018451551,0.3277090667674969,0.6016167629460067,0.45972214815866463,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_GrayLevelNonUniformity,0.861111111111111,0.5555555555555556,0.6322682154995127,0.2132456807014825,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_GrayLevelNonUniformityNormalized,0.8611111111111112,0.2888888888888889,1.5756846871331454,0.05974595595237227,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_GrayLevelVariance,0.13888888888888884,0.711111111111111,-2.3561438102252756,0.05974595595237227,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_HighGrayLevelZoneEmphasis,0.9583333333333334,0.4666666666666667,1.0381351288867713,0.015910852053465825,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LargeAreaEmphasis,0.0845224122511756,0.2673913486021089,-1.661546940879491,0.45631067514477386,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_MaximumProbability,0.5836105527371833,0.4152371879799276,0.4910703150868566,0.4671560882254353,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LargeAreaHighGrayLevelEmphasis,0.09444745219215761,0.2779371197438562,-1.557174741562201,0.4503327500857556,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LowGrayLevelZoneEmphasis,0.041666666666666685,0.5333333333333334,-3.6780719051126374,0.0159108520534658,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_SizeZoneNonUniformityNormalized,0.3333333333333333,0.5666666666666667,-0.765534746362977,0.19961866620156762,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_SmallAreaHighGrayLevelEmphasis,0.8229166655935177,0.43333333019133,0.9252691335026436,0.06114942981420154,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_SmallAreaLowGrayLevelEmphasis,0.20572915985893114,0.48333333093190145,-1.2322721926349893,0.21623859541398613,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_ZoneVariance,0.9707731119794228,0.7761645276180336,0.3227716495730973,0.4112066988283408,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceEntropy,0.3158469409666864,0.5230059823354587,-0.7276018491148123,0.25063844139570823,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceNonUniformity,0.7438581456277253,0.5516992548415918,0.4311454925276635,0.3187580399932862,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceNonUniformityNormalized,0.7438581456277231,0.5516992548415892,0.4311454925276658,0.3187580399932844,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceVariance,0.24336807661643056,0.4463547334927059,-0.8750507880183075,0.2816896223080593,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_GrayLevelNonUniformity,0.5885623286566783,0.4174020319303736,0.4957575809146027,0.48189969089083307,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_GrayLevelVariance,0.41143767134332165,0.5825979680696832,-0.5018267763365631,0.4818996908907023,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_LargeDependenceEmphasis,0.17264891738686572,0.3532540346312345,-1.0328647505016368,0.38347432989310143,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_LargeDependenceHighGrayLevelEmphasis,0.45126608695652015,0.6413722898550717,-0.5071836614400329,0.4293679064375102,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_SmallDependenceEmphasis,0.6669684407242009,0.41039896878595955,0.7005913924359214,0.24837174250432054,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LargeAreaLowGrayLevelEmphasis,0.10399279595782684,0.2805466985742251,-1.431757345574087,0.4624531415220339,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_MCC,0.7483369575407435,0.5921213576946337,0.33779513373372005,0.4797234606785229,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.3586060812119536,0.569409064317697,-0.6670655057431409,0.3729080020669025,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_ClusterProminence,0.21737519296817887,0.4059571242314206,-0.9011400548220125,0.3506355458318432,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_ClusterTendency,0.2217720603351001,0.4119014356968094,-0.8932215338913748,0.344787132518177,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Maximum,0.4978871557441804,0.24338436967687915,1.032582277833577,0.22056684101591703,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Contrast,0.8485251097440987,0.6732477043972367,0.3338199474390912,0.4161553086273244,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Variance,0.7435713738426348,0.40007345936908967,0.8942063058253275,0.17472540244725157,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Correlation,0.18734013254846346,0.37008625775166193,-0.9822015746595835,0.3771884276297928,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_DifferenceAverage,0.8485251097440987,0.6732477043972367,0.3338199474390912,0.4161553086273244,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Range,0.5678125509372883,0.23113378563441786,1.2966865797645073,0.09693347496227156,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Uniformity,0.5885623286566499,0.4174020319303054,0.4957575809147688,0.4818996908907325,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Kurtosis,0.36624073095659565,0.13630918160730449,1.4259095039346432,0.2697955031932312,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_InterquartileRange,0.7655648287232769,0.4385531940019723,0.8037727076548136,0.1823934137945831,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_TotalEnergy,0.7434749450902143,0.40010164353724564,0.8939175696567352,0.17495773457363273,0.6951995540720214,l_hippocampus,male_P45_nrxn,male_P45_control
