,binWidth_1_ODI_male_P45_nrxn,binWidth_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLL_firstorder_10Percentile,0.4541438230264906,0.6884131533762473,-0.6001254052688108,0.40718396915162336,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaHighGrayLevelEmphasis,0.33716380036310584,0.5072367044059666,-0.5892094953768449,0.5412432200217211,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaEmphasis,0.33344422234919047,0.503023684742241,-0.5931808791050044,0.5512715785039956,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_HighGrayLevelZoneEmphasis,0.5565052231718899,0.4435465768799102,0.3273096182211377,0.7049115088494918,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelVariance,0.6528725435608028,0.48232125517901975,0.4368069815323821,0.5270468526834149,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelNonUniformityNormalized,0.34712745643919735,0.5176787448209806,-0.5765916030584065,0.5270468526834142,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelNonUniformity,0.5872781065088757,0.392057942057942,0.5829769704324398,0.42665691228980496,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,0.43607530145444384,0.510462094314105,-0.22722655302182027,0.7636425866333592,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunHighGrayLevelEmphasis,0.32875219542948386,0.3823951537535713,-0.21806371073181494,0.8231150922542295,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaLowGrayLevelEmphasis,0.318496982668371,0.48224542064303577,-0.5984878336973233,0.5651018069492455,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunEmphasis,0.3391925342895279,0.40990674755103884,-0.27319132245837857,0.7773108715939944,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunPercentage,0.422481972551755,0.43628750872295824,-0.04638938631325688,0.959942991133618,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformityNormalized,0.2881292079029074,0.37875255407419955,-0.3945397021317011,0.7295875744762417,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformity,0.3214152127796479,0.4156675481434647,-0.37099190448610514,0.7081397741298032,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunEntropy,0.5463054352651149,0.5539968698433029,-0.020170048205499204,0.9781189507275523,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LowGrayLevelRunEmphasis,0.5188434518448037,0.5477609346263719,-0.07824707240768508,0.8949299284062735,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunLowGrayLevelEmphasis,0.399977272977317,0.4327436283631105,-0.11359455051026497,0.9034058015914846,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunHighGrayLevelEmphasis,0.4394890687794535,0.6566265685235695,-0.5792458433485759,0.353708952329422,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunEmphasis,0.3684726695342757,0.5228082010235047,-0.5047241568483892,0.5445602635274468,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunVariance,0.3834025006324586,0.5765351600480841,-0.5885488468456255,0.42288353432632675,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_HighGrayLevelRunEmphasis,0.4811565481551998,0.4522390653736295,0.08942074227169329,0.8949299284062661,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LowGrayLevelZoneEmphasis,0.4434947768281101,0.5564534231200898,-0.32734382099349313,0.7049115088494917,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SizeZoneNonUniformityNormalized,0.439984987589658,0.5328750373056377,-0.2763429517567194,0.6687797358336981,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_SmallDependenceEmphasis,0.5457533650012238,0.3462031210945181,0.6566303896349214,0.3930418242578355,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LowGrayLevelEmphasis,0.6612359550561795,0.5240449438202248,0.33547462672530914,0.575631439495087,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceLowGrayLevelEmphasis,0.6396037848315625,0.4820826970217148,0.40789782668252594,0.5264702548781017,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceHighGrayLevelEmphasis,0.47648471865897246,0.6291402667946133,-0.4009517555554966,0.5046654683227009,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceEmphasis,0.5137579506203478,0.5387128575497101,-0.0684276833517627,0.9301803276780678,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_HighGrayLevelEmphasis,0.3387640449438214,0.4759550561797766,-0.49054458720488836,0.5756314394950865,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_GrayLevelVariance,0.6956524012128646,0.5789156539293515,0.26501344252858156,0.6315579722391207,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_GrayLevelNonUniformity,0.3043475987871389,0.42108434607065137,-0.4683892604868422,0.6315579722391211,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SizeZoneNonUniformity,0.44326809419894525,0.3540780141843972,0.3241122580771807,0.7370799896729244,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceVariance,0.5183307995527893,0.6949813461412134,-0.4231011331134728,0.3870870258066279,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceNonUniformity,0.4479792549856061,0.2695179705823591,0.7330504551350415,0.3851179045005867,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceEntropy,0.5243490969350955,0.6282962914461152,-0.2609174269474633,0.6349500989529084,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZoneVariance,0.36813980175373856,0.5829970530517725,-0.6632348544936825,0.43668107622860475,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZonePercentage,0.5937499999999999,0.3499999999999999,0.7625006862733437,0.35959146305434453,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZoneEntropy,0.4992396405202502,0.2746935715382492,0.861909342889805,0.3299602128427793,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SmallAreaLowGrayLevelEmphasis,0.45352669573059834,0.5607704758429755,-0.3062229205658441,0.6999235839579301,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SmallAreaHighGrayLevelEmphasis,0.39477133061797953,0.3325165653220162,0.2475910064718735,0.8056660399423766,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SmallAreaEmphasis,0.5424570730368563,0.6112517962278765,-0.1722578241770489,0.7865938479369528,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceNonUniformityNormalized,0.4479792549856043,0.26951797058235877,0.7330504551350377,0.3851179045005908,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_GrayLevelVariance,0.8190621805568981,0.7578040281877293,0.11214817210891681,0.8021901511260673,0.9790367186353777,l_hippocampus,male_P45_nrxn,male_P45_control
