,binWidth_1_ODI_male_P45_nrxn,binWidth_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHL_glrlm_GrayLevelNonUniformityNormalized,0.7193329243218045,0.291371426370597,1.3038002336666379,0.04837582102198053,0.45741998861534383,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelVariance,0.28066707567825233,0.7086285736293121,-1.3361698046173478,0.04837582102203725,0.45741998861534383,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_HighGrayLevelRunEmphasis,0.7522847693031913,0.29674623420789886,1.3420491601907492,0.044263154028997324,0.45741998861534383,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LowGrayLevelRunEmphasis,0.24771523069681578,0.7032537657921096,-1.505362797938085,0.04426315402899209,0.45741998861534383,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Variance,0.6602513318184556,0.17191257557505152,1.9413402232649062,0.04431880626393979,0.45741998861534383,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_TotalEnergy,0.6601914704555287,0.1719393835928867,1.9409844600169928,0.0443319424962141,0.45741998861534383,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_MeanAbsoluteDeviation,0.7268345229298301,0.27796413917212226,1.3867281764525976,0.051331113043864986,0.45741998861534383,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_RootMeanSquared,0.6730736919349217,0.1895564014402745,1.8281372898787782,0.0461509323957275,0.45741998861534383,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_InterquartileRange,0.7376991176015503,0.34050265987411343,1.115366441924269,0.05197954416083452,0.45741998861534383,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Energy,0.6601914704555287,0.17193938359288663,1.9409844600169934,0.04433194249621396,0.45741998861534383,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_RobustMeanAbsoluteDeviation,0.7429460881832675,0.3422404617247392,1.1182471915338188,0.06053902026318945,0.4843121621055156,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Idn,0.2646742217591225,0.6304627589554513,-1.252193465184317,0.20363125035335888,0.5268707473805596,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_InverseVariance,0.7353257782408553,0.3695372410445337,0.992663799307568,0.20363125035336435,0.5268707473805596,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelNonUniformity,0.747395224798673,0.37123671065844804,1.0095319642096132,0.18848915723998913,0.5268707473805596,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_LargeDependenceHighGrayLevelEmphasis,0.37303556658395287,0.6140706130996343,-0.719091374374719,0.20588713709253947,0.5268707473805596,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LongRunHighGrayLevelEmphasis,0.2831066780360145,0.5351008518866415,-0.9184650452027927,0.20955086543544985,0.5268707473805596,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_LargeDependenceEmphasis,0.25120081733050537,0.6232977930139562,-1.3110804461077685,0.18380083667737002,0.5268707473805596,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunPercentage,0.737809250627464,0.36823234134098326,1.0026315354305746,0.2001456078810273,0.5268707473805596,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_DependenceNonUniformity,0.7398621688514959,0.35700220825224277,1.0513235336418578,0.13826001785195255,0.5268707473805596,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunVariance,0.14510154638376394,0.5299856140379908,-1.8688903049532712,0.13338593485456948,0.5268707473805596,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_DependenceVariance,0.2780960142174358,0.6302631472648862,-1.1803712404062214,0.13240443022346773,0.5268707473805596,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_SizeZoneNonUniformityNormalized,0.6245503724473901,0.33552745239763526,0.8963871249717938,0.14730184907322225,0.5268707473805596,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Idmn,0.26467422175910826,0.6304627589554344,-1.2521934651843556,0.2036312503534013,0.5268707473805596,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_SmallAreaEmphasis,0.6774426218545089,0.37625286331415725,0.8483961970836235,0.17618404374382726,0.5268707473805596,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_SmallAreaHighGrayLevelEmphasis,0.8138630224680947,0.45834415139456725,0.8283547371794883,0.1391678877001652,0.5268707473805596,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_ZoneEntropy,0.40159848460290415,0.7815047232137943,-0.9605007671153332,0.1365833724037558,0.5268707473805596,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_DependenceNonUniformityNormalized,0.7398621688514941,0.3570022082522414,1.05132353364186,0.1382600178519531,0.5268707473805596,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Idm,0.26467422175914024,0.6304627589554628,-1.2521934651842461,0.20363125035336627,0.5268707473805596,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_10Percentile,0.2869008409497821,0.6919763447722674,-1.2701705232705562,0.1110826333793718,0.5268707473805596,l_hippocampus,male_P45_nrxn,male_P45_control
