,binWidth_1_ODI_male_P45_nrxn,binWidth_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLH_glrlm_LongRunLowGrayLevelEmphasis,0.3799123190412921,0.7272247423919737,-0.9367347916215059,0.06113822744525755,0.7038835613214195,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Autocorrelation,0.6934420302929976,0.2963563784077877,1.2264421739208564,0.0974681400704362,0.7038835613214195,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_ZoneEntropy,0.6390558286245452,0.34191271614108815,0.9023138927978196,0.11408360762472092,0.7038835613214195,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceEntropy,0.7266085037867143,0.3265740421182045,1.1537681280778225,0.08940547200172261,0.7038835613214195,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceVariance,0.7259839062168716,0.3172219028742319,1.1944451799006366,0.08732610428732497,0.7038835613214195,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Imc1,0.7334024266245931,0.289160503861323,1.3427345300344122,0.05438770083463518,0.7038835613214195,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointAverage,0.7242307763678362,0.2800991624440826,1.3705118163484442,0.07085506787899135,0.7038835613214195,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunLowGrayLevelEmphasis,0.7748687954070315,0.2983946326862267,1.3767304612129387,0.050143397691636546,0.7038835613214195,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Range,0.6740587282512394,0.30702382612815826,1.1345236754354338,0.0625005763743831,0.7038835613214195,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Minimum,0.41709421819799736,0.7407952273341607,-0.8287014903029849,0.11998015249796921,0.7038835613214195,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumAverage,0.7242307763678433,0.2800991624440826,1.3705118163484586,0.07085506787898775,0.7038835613214195,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Maximum,0.9065088227089089,0.4289677009801096,1.079452036807187,0.015460660680701123,0.7038835613214195,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceLowGrayLevelEmphasis,0.3157003394168001,0.6129769756704192,-0.9572770734291312,0.10964195754343689,0.7038835613214195,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumSquares,0.30207287458524235,0.7416348595598266,-1.2958124181670831,0.07158045861673008,0.7038835613214195,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_ClusterShade,0.3214577809155871,0.7024139886092562,-1.1276923047759673,0.10593302152312026,0.7038835613214195,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceEntropy,0.22914229857781088,0.5054220143379908,-1.1412447063164468,0.2962507537608234,0.7045963873230394,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_MaximumProbability,0.5866645471727479,0.2974683945773663,0.9797994177914314,0.19982389110844523,0.7045963873230394,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunVariance,0.3313633913405618,0.6069742220554872,-0.8732210231020455,0.24121911342433866,0.7045963873230394,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunEntropy,0.23827828932532746,0.5284341997676834,-1.1490763328108795,0.23064589562976998,0.7045963873230394,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunEmphasis,0.3331539080000514,0.6409670437809083,-0.9440613635914001,0.20198949507282016,0.7045963873230394,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,0.38593693403448004,0.6176314753210221,-0.6783811602214999,0.22356441143361586,0.7045963873230394,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.6583569090109225,0.39226584566737016,0.7470381847455376,0.21393568875984365,0.7045963873230394,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_GrayLevelNonUniformity,0.5830492991712788,0.3225472456481384,0.8541073770841632,0.2847474441128853,0.7045963873230394,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LowGrayLevelEmphasis,0.3871841155234623,0.6425992779783385,-0.730899593466863,0.29426060752188904,0.7045963873230394,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Energy,0.8131991243550817,0.48973192797665693,0.7316164063714303,0.16699316230933833,0.7045963873230394,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Entropy,0.4170659427993755,0.6775913542017576,-0.7001399586099062,0.28469301600943564,0.7045963873230394,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_InterquartileRange,0.7100870432026651,0.45196488620814446,0.6517851905303166,0.2886452559117607,0.7045963873230394,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_MeanAbsoluteDeviation,0.7746012345653417,0.5065750937027657,0.6126776535712872,0.23499946721803067,0.7045963873230394,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Median,0.6753610510149443,0.3517357930590943,0.9411668267473874,0.1747567216598423,0.7045963873230394,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_ClusterTendency,0.3091473292972875,0.5371619559637211,-0.7970625884326755,0.2612436518522701,0.7045963873230394,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_RootMeanSquared,0.8351089474156238,0.5198203181683475,0.6839513969101777,0.16836062185278644,0.7045963873230394,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_HighGrayLevelEmphasis,0.6128158844765341,0.3574007220216586,0.77791114416513,0.2942606075218895,0.7045963873230394,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_TotalEnergy,0.8131991243550815,0.48973192797665693,0.7316164063714299,0.16699316230933853,0.7045963873230394,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Variance,0.8130069808704488,0.4893752956768244,0.7323264659603339,0.1667986339708826,0.7045963873230394,l_hippocampus,male_P45_nrxn,male_P45_control
