,binWidth_1_ODI_male_P45_nrxn,binWidth_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_firstorder_10Percentile,0.7447591381232199,0.22837663616865633,1.705358855460688,0.012084907927004063,0.034373908854449756,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_DifferenceAverage,0.6797869241952132,0.206978621262631,1.715600851650527,0.01330527773882847,0.034373908854449756,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_DifferenceEntropy,0.7241772833095292,0.24223388913968785,1.5799422058036499,0.013134239223716966,0.034373908854449756,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_DifferenceVariance,0.7065100352518013,0.2270360527806962,1.6377886404902504,0.01290893629418845,0.034373908854449756,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Id,0.319994666732101,0.792916196363987,-1.3091205346695856,0.013290965832288287,0.034373908854449756,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Idm,0.32008205699362513,0.7929582821391087,-1.3088031619033424,0.013296687847585927,0.034373908854449756,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Idn,0.10732009647497698,0.6886108740907986,-2.6817687065638927,0.00998741330806394,0.034373908854449756,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunEntropy,0.2656538281858287,0.7357540162122949,-1.469676009515846,0.010316764047409603,0.034373908854449756,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_InverseVariance,0.6803607218487049,0.2072549531855387,1.7148932735576359,0.013267757833965188,0.034373908854449756,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Contrast,0.6791330261684778,0.2066637142601123,1.7164090876145106,0.013348350721778117,0.034373908854449756,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointAverage,0.6625494559555585,0.18103499560925335,1.8717595389202173,0.012573008607682942,0.034373908854449756,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEntropy,0.7030593236914799,0.216427912723599,1.6997598524612352,0.012910146753612435,0.034373908854449756,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_MaximumProbability,0.3328200412261859,0.8134042511729487,-1.2892302209130415,0.012572744720623225,0.034373908854449756,l_hippocampus,male_P45_nrxn,male_P45_control
