,binWidth_1_ODI_male_P45_nrxn,binWidth_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
original_firstorder_10Percentile,0.48121207707460895,0.11082734297963459,2.1183589880057774,0.07098543227674559,0.17774752437554878,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_90Percentile,0.5543255786968246,0.17618114476097385,1.6536740480431829,0.06145536469671059,0.17774752437554878,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Energy,0.45161105723646155,0.09934733690281525,2.184527609129087,0.08887376218777439,0.17774752437554878,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Mean,0.4984662808804204,0.12877599906740317,1.9526321829603228,0.06907011147254875,0.17774752437554878,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Median,0.47093832951226133,0.10745837443207595,2.131760228810862,0.08136266619697083,0.17774752437554878,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Minimum,0.4250675225679338,0.03243350884800072,3.7121350169751404,0.08048993410945864,0.17774752437554878,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_RootMeanSquared,0.5080324881617968,0.13963848324952505,1.8632241672674674,0.06877710451980067,0.17774752437554878,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_TotalEnergy,0.4516110572364615,0.09934733690281525,2.1845276091290864,0.08887376218777439,0.17774752437554878,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_RobustMeanAbsoluteDeviation,0.5954534601944387,0.2489705477069164,1.2580136665684165,0.12076502892894402,0.21469338476256714,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_InterquartileRange,0.5765611485932776,0.26523991227541155,1.120175741567238,0.14968303225838936,0.21505204964261918,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_MeanAbsoluteDeviation,0.6454012000791546,0.2893329989103039,1.1574653859965285,0.13757318298002028,0.21505204964261918,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Variance,0.6588785104319848,0.3056106448784658,1.1083176780079897,0.1612890372319644,0.21505204964261918,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Kurtosis,0.44280641319701286,0.7285756299079297,-0.7184026223225587,0.2512124969587621,0.3091846116415533,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Skewness,0.5323991095154057,0.7441632452142808,-0.4831109782069162,0.3519389966512744,0.40221599617288506,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Maximum,0.47874220002960943,0.3446333689686779,0.47418658531508906,0.5688000631930763,0.6067200674059481,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Range,0.2774075288416426,0.36390028082247394,-0.3915362215671816,0.6838114133068893,0.6838114133068893,r_amygdala,male_P45_nrxn,male_P45_control
