,binWidth_1_ODI_male_P45_nrxn,binWidth_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLL_firstorder_10Percentile,0.4276594983350587,0.6767279445772412,-0.6621133812745863,0.33650617808289596,0.9306087090106027,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_HighGrayLevelZoneEmphasis,0.4107142857142858,0.5333333333333334,-0.37690237039207275,0.6860140105500483,0.9306087090106027,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelVariance,0.5073696145124715,0.31111111111111106,0.7056072008661688,0.5119593982176964,0.9306087090106027,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelNonUniformityNormalized,0.49263038548752847,0.6888888888888889,-0.4837656928003206,0.5119593982176964,0.9306087090106027,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelNonUniformity,0.5781249999999998,0.2975,0.9584917920957304,0.2510359511708318,0.9306087090106027,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,0.6410334374145545,0.6912830277368031,-0.10887689299763598,0.8662416025661113,0.9306087090106027,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunHighGrayLevelEmphasis,0.5734656073305833,0.5237020441143454,0.13096072961408692,0.8403192938281812,0.9306087090106027,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunVariance,0.6902483665627785,0.3884095195638114,0.8295370084210505,0.13890839092496787,0.9306087090106027,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunPercentage,0.3901608910891108,0.45693069306931094,-0.2279061824301978,0.7909012380820316,0.9306087090106027,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformityNormalized,0.5318822864289263,0.4739331261759677,0.1664234873315266,0.8123662415441959,0.9306087090106027,r_amygdala,male_P45_nrxn,male_P45_control
