,binWidth_1_ODI_male_P45_nrxn,binWidth_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHL_firstorder_10Percentile,0.4938152276520388,0.8389900934170086,-0.7646824506079652,0.13951053879426087,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumAverage,0.5578961126176805,0.8074987457766092,-0.5334635201654756,0.21034990284323307,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumEntropy,0.48161234452214075,0.750843586244909,-0.6406400293787955,0.22157186231573123,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelNonUniformity,0.6142962462178616,0.4046112275085079,0.6023982138237302,0.3846354218453869,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_HighGrayLevelRunEmphasis,0.5573833674695976,0.7507019566866312,-0.42957029083318055,0.38637842265543465,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LongRunHighGrayLevelEmphasis,0.3977826777853064,0.7289996405957719,-0.8739376506904758,0.09608646027748406,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LongRunLowGrayLevelEmphasis,0.36360237905004744,0.1982350595939975,0.8751495008625891,0.43339546087347114,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LowGrayLevelRunEmphasis,0.4426166325304006,0.24929804331336597,0.8281861058978014,0.38637842265543243,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunEntropy,0.4150661186240754,0.6777221624561974,-0.7073527791656865,0.26607675921335894,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunPercentage,0.6270661157024762,0.42851239669421093,0.5492806223298247,0.4144586391462006,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunVariance,0.3569788670400649,0.5732529129080535,-0.6833331106870357,0.3435384215037477,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_ShortRunHighGrayLevelEmphasis,0.4490325940096396,0.2357812234048673,0.9293713370222669,0.3364419601257402,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_ShortRunLowGrayLevelEmphasis,0.5617593190135479,0.7999692095085138,-0.5099923198782615,0.2741174703587452,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_GrayLevelNonUniformity,0.33333333333333337,0.5777777777777777,-0.7935491225325733,0.3367474869526323,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_GrayLevelNonUniformityNormalized,0.3333333333333335,0.5777777777777778,-0.7935491225325733,0.3367474869526323,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointAverage,0.5578961126176805,0.8074987457766092,-0.5334635201654756,0.21034990284323277,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_GrayLevelVariance,0.6666666666666665,0.42222222222222217,0.6589630821649328,0.3367474869526323,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_LargeAreaLowGrayLevelEmphasis,0.5812883783333683,0.35295687046483104,0.7197621608684032,0.35555379358505407,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_LowGrayLevelZoneEmphasis,0.30000000000000004,0.64,-1.0931094043914813,0.25904705973269815,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_SizeZoneNonUniformity,0.0,0.2,-inf,0.407083822065589,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_SmallAreaEmphasis,0.062242574331890316,0.5916666229223602,-3.2488108760680103,0.025652772584647307,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_SmallAreaHighGrayLevelEmphasis,0.07253070841846777,0.37187480758832275,-2.3581531717326736,0.17406740917167782,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_SmallAreaLowGrayLevelEmphasis,0.02944941465333313,0.49166660092643594,-4.061369491787571,0.059416385494041025,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_ZonePercentage,0.3750000000000001,0.6,-0.6780719051126372,0.37756754045595603,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_DependenceEntropy,0.46319464583824477,0.7108960806169534,-0.6180201038748925,0.30295590110912085,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_HighGrayLevelEmphasis,0.5582770270270274,0.799324324324324,-0.5177998019447327,0.22726926060194122,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_LargeDependenceEmphasis,0.4060318621931991,0.6163701868948437,-0.6022041388339066,0.3693138766237511,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_LargeDependenceHighGrayLevelEmphasis,0.45365803559131246,0.7717943359755313,-0.7666112430439407,0.09211035778761487,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_LargeDependenceLowGrayLevelEmphasis,0.3577100759344529,0.14847416365975494,1.2685788504749063,0.327307569467173,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_LowGrayLevelEmphasis,0.4417229729729737,0.20067567567567615,1.1382761103335368,0.2272692606019399,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_SmallDependenceEmphasis,0.2649344598960408,0.5195116553411008,-0.9715206100724526,0.37883558957384594,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_HighGrayLevelZoneEmphasis,0.7000000000000002,0.36,0.9593580155026545,0.2590470597326981,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_InverseVariance,0.6400839270587619,0.45076550233056595,0.5058839735987793,0.4316456570722924,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.3454184470579378,0.5503794872651251,-0.6720815695647729,0.3032568768279769,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Minimum,0.2047397892785886,0.5730903613970363,-1.4849711282773363,0.17846199403729682,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_ClusterProminence,0.45799772116937554,0.7587553174616118,-0.7282943019964313,0.2190981782305496,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_ClusterShade,0.44343286052724984,0.18986585898304464,1.223735176456503,0.2024359553830085,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_ClusterTendency,0.42305839375894294,0.8112552081938574,-0.9392990262229601,0.08034935560873037,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Contrast,0.6400839270587619,0.45076550233056595,0.5058839735987793,0.4316456570722924,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Range,0.7454549656426219,0.3791484309402532,0.9753584466688245,0.09956665019834339,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Correlation,0.4465331080362298,0.7481478063709789,-0.7445561741048722,0.2228517172181379,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_DifferenceAverage,0.6400839270587619,0.45076550233056595,0.5058839735987793,0.4316456570722924,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_TotalEnergy,0.44099924685152714,0.14622511033985078,1.5925851141970284,0.18578151934772089,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_MeanAbsoluteDeviation,0.47178804115671896,0.15281043714787038,1.6263957650778496,0.16239676720161866,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Autocorrelation,0.5458007448782329,0.80195853085255,-0.5551532735563307,0.19459259909266555,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Mean,0.44641685824230753,0.7912888438537136,-0.8258129078957165,0.12043865926449823,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_RootMeanSquared,0.4686632055243845,0.17149041518650696,1.4504235894909014,0.1885580757531463,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Maximum,0.4482708807668552,0.21987465053421115,1.0276895016899454,0.24440450617493917,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Idm,0.3599160729412425,0.5492344976694483,-0.6097617138530513,0.4316456570722711,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_RobustMeanAbsoluteDeviation,0.5107670179537991,0.18376509716585687,1.4748025890975431,0.13555822185702923,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Idmn,0.35991607294123185,0.5492344976694767,-0.6097617138531686,0.4316456570721676,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Idn,0.35991607294124606,0.549234497669454,-0.609761713853052,0.43164565707226143,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_InterquartileRange,0.5184352926124405,0.18632306882359378,1.4763576267075826,0.13587660393794465,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Median,0.6656278448978494,0.8948829047682473,-0.42698313206966865,0.29413050076116626,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Energy,0.44099924685152714,0.1462251103398508,1.5925851141970282,0.18578151934772089,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_90Percentile,0.4278706409222655,0.17299302170510084,1.3064608466140895,0.25706768740511393,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Id,0.3599160729412425,0.5492344976694483,-0.6097617138530513,0.4316456570722711,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Variance,0.44140906972110744,0.14647881551156222,1.5914242432030483,0.18600556165898022,0.657565526842508,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_DependenceNonUniformity,0.5591084771965988,0.3524555526926072,0.6656868850189981,0.4494112334901834,0.6591364757856024,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_DependenceNonUniformityNormalized,0.5591084771966002,0.35245555269260687,0.665686885019003,0.44941123349018053,0.6591364757856024,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunLengthNonUniformity,0.6133900855867793,0.4564838357959598,0.42624107313783655,0.48100583202749525,0.6827179551357997,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_DependenceVariance,0.4956059658444074,0.7015973818750509,-0.5014498101525935,0.4744773405159408,0.6827179551357997,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_LargeAreaEmphasis,0.5009800513720499,0.3346963020626331,0.581900546291744,0.5297662583895777,0.7321778471540923,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Kurtosis,0.2833457734123921,0.41533697239010775,-0.5517186207006116,0.5324929797484308,0.7321778471540923,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelVariance,0.5530719940000495,0.7083560407502774,-0.3570073940035096,0.5710592468886211,0.7614123291848282,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelNonUniformityNormalized,0.44692800600000737,0.2916439592497227,0.6158342593800552,0.5710592468884749,0.7614123291848282,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LongRunEmphasis,0.39847305315161385,0.536220715094165,-0.4283447892247835,0.5864141121671007,0.7702155503090278,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_GrayLevelNonUniformity,0.34692513368983313,0.23408708938119388,0.5675789957566917,0.6507474668014545,0.8065602405427248,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_GrayLevelVariance,0.6530748663101527,0.7659129106187947,-0.2299319705067424,0.650747466801441,0.8065602405427248,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Entropy,0.6532499960676077,0.7662035293931495,-0.2300924604587836,0.6503716999272158,0.8065602405427248,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Uniformity,0.3469251336898438,0.234087089381228,0.5675789957565259,0.6507474668015165,0.8065602405427248,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_ZoneEntropy,0.43872187554086717,0.5339850002884624,-0.28349257320119536,0.6804773370294673,0.8092162926836909,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Imc2,0.364882687273411,0.45678579277383075,-0.32408507938047715,0.6714390032464441,0.8092162926836909,r_amygdala,male_P45_nrxn,male_P45_control
