,binWidth_1_ODI_male_P45_nrxn,binWidth_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLH_firstorder_10Percentile,0.26073959763892907,0.6293811677362869,-1.271324314425738,0.1911997109932345,0.5062297651638229,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Correlation,0.3509507832635308,0.6338907208922319,-0.8529654258536411,0.15159258108313697,0.5062297651638229,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceAverage,0.6362431636165871,0.3681616539908566,0.7892388795321993,0.17362273002896036,0.5062297651638229,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceEntropy,0.6928514506656995,0.34833652577892876,0.9920643089805763,0.19690499543275,0.5062297651638229,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceVariance,0.7088104315710808,0.3706350654183993,0.9354004564295029,0.201341383871975,0.5062297651638229,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Id,0.36375683638341094,0.6318383460091426,-0.7965811342718281,0.1736227300289574,0.5062297651638229,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idm,0.36375683638341094,0.6318383460091426,-0.7965811342718281,0.1736227300289574,0.5062297651638229,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idmn,0.3637568363834127,0.6318383460091468,-0.796581134271831,0.17362273002895667,0.5062297651638229,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Contrast,0.6362431636165871,0.3681616539908566,0.7892388795321993,0.17362273002896036,0.5062297651638229,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idn,0.36375683638341094,0.6318383460091411,-0.7965811342718251,0.1736227300289633,0.5062297651638229,r_amygdala,male_P45_nrxn,male_P45_control
