,binWidth_1_ODI_male_P45_nrxn,binWidth_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_firstorder_10Percentile,0.4816078573558794,0.1036323510101412,2.216384488804805,0.0643498629808943,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEnergy,0.33308618574285465,0.6958001040096484,-1.0627773730059467,0.07328687210025941,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEntropy,0.7148533748236399,0.34758604765969725,1.0402771852698587,0.07362652106444326,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_MaximumProbability,0.43697247433002057,0.7791980599910698,-0.8344476808011281,0.08059196119928658,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumAverage,0.44768087242321325,0.0934676204727876,2.25993210815875,0.0912412146208262,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumEntropy,0.7068172425593551,0.3463484943183732,1.0291128323443506,0.07914197793475716,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumSquares,0.6301047487372214,0.28265597741019866,1.1565444760388675,0.08703924398942386,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelNonUniformity,0.7656296694129208,0.2698194082396938,1.5046526119542076,0.01887390315102399,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_HighGrayLevelRunEmphasis,0.579154571094064,0.2132404479355281,1.441467324060304,0.06839652431041368,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunEmphasis,0.14829242131650525,0.5397905750532677,-1.8639549182184183,0.07828760877598434,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunLowGrayLevelEmphasis,0.2376108516808937,0.6359678102392297,-1.420353019295762,0.051811741063572524,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LowGrayLevelRunEmphasis,0.420845428905936,0.7867595520644716,-0.9026323421109806,0.06839652431041388,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformity,0.7569457298823123,0.28156203317251066,1.426737059242845,0.028754691397253753,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformityNormalized,0.7323249823282209,0.2580601296248328,1.50477675058293,0.03171370309149363,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunPercentage,0.7870023419203744,0.35929742388758795,1.1311893373805832,0.04332875340146714,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunVariance,0.3675348535577931,0.7694105447703639,-1.0658725338027621,0.03999304482187361,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunEmphasis,0.7471504769434161,0.3713178283312666,1.008744246738498,0.09072014708875095,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunLowGrayLevelEmphasis,0.6634854694656063,0.30951638686025384,1.1000490777889256,0.07584383441535025,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_SmallAreaLowGrayLevelEmphasis,0.43886122148271756,0.039915360107479016,3.4587488649380846,0.06722733991786305,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceEntropy,0.7314068687536462,0.36170610544582715,1.0158562250321144,0.07278023517001028,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceNonUniformity,0.1301965838452225,0.5287844130059692,-2.0219880561691377,0.07954406680483177,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceNonUniformityNormalized,0.13019658384522256,0.5287844130059695,-2.0219880561691377,0.07954406680483177,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_GrayLevelNonUniformity,0.3750855247411291,0.7255781230734268,-0.9519113700360263,0.08854480314914931,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_GrayLevelVariance,0.6249144752588711,0.27442187692657327,1.1872632606539044,0.08854480314914917,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_HighGrayLevelEmphasis,0.4446759259259259,0.0911111111111111,2.2870553932136497,0.09389763940290395,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceEmphasis,0.2075168992427977,0.6350250950129098,-1.6135847778031385,0.04024983889346862,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceLowGrayLevelEmphasis,0.4671559636292618,0.8477617955994413,-0.8597546675345519,0.05727194256031027,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LowGrayLevelEmphasis,0.5553240740740739,0.9088888888888885,-0.710773996482108,0.09389763940290402,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointAverage,0.4476808724232134,0.09346762047278764,2.25993210815875,0.09124121462082609,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_InverseVariance,0.7864312041271999,0.35860893515161063,1.132909131219121,0.04291451716389033,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_SmallDependenceLowGrayLevelEmphasis,0.637477285755919,0.27212360855927686,1.228111812014819,0.08260813085819635,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Entropy,0.6772781036712617,0.32535522981966736,1.0577326102723654,0.09099878262435113,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_RootMeanSquared,0.5064262248155452,0.13874323994347496,1.8679346353139166,0.06965318361712435,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Idn,0.21356879587280098,0.6413910648483906,-1.5865033828690973,0.04291451716388966,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_90Percentile,0.5459045139733875,0.178058859744514,1.6162944042556162,0.07110969835161318,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Energy,0.45008117483576426,0.09847120244639732,2.19241144328198,0.0899097413245479,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Minimum,0.48901093187118094,0.10077782752948747,2.278688455542237,0.04599937880576564,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_TotalEnergy,0.4500811748357644,0.09847120244639734,2.19241144328198,0.08990974132454779,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Median,0.475636386178926,0.1108671170267009,2.1010275570870367,0.07837152945926087,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Contrast,0.7864312041271999,0.35860893515161063,1.132909131219121,0.04291451716389033,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_DifferenceEntropy,0.8384182997335424,0.42738655663554354,0.9721286771884619,0.06070707701222544,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Mean,0.49787038162064623,0.12859777962590285,1.9529044585708295,0.06951257601333338,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_DifferenceVariance,0.8110951475470158,0.3885875559675806,1.0616314621721925,0.04992481668160324,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Id,0.2135687958727983,0.6413910648483888,-1.5865033828691113,0.04291451716388972,0.168632495254195,r_amygdala,male_P45_nrxn,male_P45_control
