,binWidth_1_ODI_male_P45_nrxn,binWidth_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
original_firstorder_10Percentile,0.4515671304425113,0.07713961459299226,2.54939663313947,0.062124310884012476,0.2752245594638065,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Energy,0.42131807394398235,0.04362683511210745,3.2716220837844343,0.10233539003915502,0.2752245594638065,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Mean,0.4403663165429964,0.05727521672185061,2.942721204290996,0.08965627218807846,0.2752245594638065,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Median,0.4497738988626428,0.089103830037448,2.335640590549628,0.10320920979892743,0.2752245594638065,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_RootMeanSquared,0.437590551065968,0.051895402910875355,3.0759029361900527,0.09656201110975385,0.2752245594638065,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_TotalEnergy,0.42131807394398224,0.04362683511210732,3.2716220837844383,0.10233539003915502,0.2752245594638065,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_90Percentile,0.454170269895664,0.0885175546212773,2.359197768915075,0.13654424795306722,0.3121011381784394,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_InterquartileRange,0.45610277473888017,0.24176293987459546,0.9157658378607285,0.35606264738345,0.6058139103968773,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Maximum,0.6991311609151516,0.5364732952615354,0.3820567808130282,0.48268298085559336,0.6058139103968773,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_MeanAbsoluteDeviation,0.4682204696518386,0.2999381193497864,0.6425231205357047,0.4762586833177369,0.6058139103968773,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Minimum,0.2500009506460677,0.00924080195119514,4.757771711100174,0.30966397537948975,0.6058139103968773,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_RobustMeanAbsoluteDeviation,0.4659880552999344,0.2649187619017194,0.8147429537422799,0.3923347838525264,0.6058139103968773,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Variance,0.4608538719500011,0.29979893617000963,0.6203141079187121,0.49222380219746276,0.6058139103968773,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Kurtosis,0.4518579721775293,0.5091218144586224,-0.1721415058629214,0.8150348210973959,0.9284021912708184,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Skewness,0.514010627440228,0.5551069099450139,-0.11096746360535632,0.8703770543163922,0.9284021912708184,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Range,0.6240260484669242,0.6441754232631371,-0.04584736753986402,0.9354779102720628,0.9354779102720628,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
