,binWidth_1_ODI_male_P45_nrxn,binWidth_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHH_firstorder_10Percentile,0.4692503411731139,0.7494467799314052,-0.6754682384868606,0.13753011017879177,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Idm,0.22040176074244755,0.4825271721535273,-1.1304744366240602,0.21736576615311748,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Idmn,0.22040176074253282,0.4825271721536183,-1.1304744366237742,0.21736576615300685,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Idn,0.2204017607423907,0.4825271721535046,-1.1304744366243644,0.21736576615310044,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Imc1,0.17568370672946537,0.4696935908263985,-1.4187395085013044,0.23552865728491892,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Imc2,0.7983934693490172,0.5269102212524885,0.5995427537928117,0.2586675986509851,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_InverseVariance,0.7795982392576235,0.517472827846504,0.5912477225909665,0.21736576615307399,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_JointEnergy,0.8230242422770555,0.5288964880923188,0.6379495302064595,0.23781580859893311,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_JointEntropy,0.17616307187615377,0.47095546361557583,-1.4186791048625205,0.2371025337881294,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_MCC,0.8000434477536943,0.5272076770964549,0.6017069714502189,0.2570126854717204,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_SumEntropy,0.18503436163480202,0.4724604967848762,-1.3524004982546671,0.2268390314217405,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_GrayLevelNonUniformity,0.7824955585669144,0.5170741192634865,0.5977114668949655,0.215739489840184,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_GrayLevelVariance,0.8799329500652675,0.5955762221579789,0.5631074393684106,0.18017688512926408,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunEntropy,0.23477279596127687,0.5709636141872408,-1.282133562417587,0.10807958353826452,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunPercentage,0.7827715355805225,0.5168539325842574,0.5988346753027446,0.21505915648551807,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunVariance,0.2629909299775539,0.5661752015675916,-1.1062355159332744,0.10243247119876085,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunEmphasis,0.5012035107660111,0.8202890916980863,-0.7107359231586696,0.12930030805381473,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunHighGrayLevelEmphasis,0.5114334238864053,0.8491038085513679,-0.7313944949515123,0.11064663122433165,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceEntropy,0.1593677129113864,0.4779298625677697,-1.5844395382954841,0.186971620413573,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceNonUniformity,0.7640553985302434,0.4679011117392129,0.7074735894022156,0.2153372357607659,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceNonUniformityNormalized,0.764055398530243,0.46790111173921217,0.707473589402217,0.21533723576076505,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceVariance,0.13184940902361886,0.4623009450993944,-1.8099412071744307,0.1797970872065702,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LargeDependenceEmphasis,0.19581793425403227,0.4765843221163209,-1.2832185907144005,0.20314028266508144,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.2776769345593948,0.6641348376484529,-1.2580688345056303,0.06401355058057118,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Id,0.22040176074244755,0.4825271721535273,-1.1304744366240602,0.21736576615311748,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_DifferenceVariance,0.1764799189418227,0.4698141262569081,-1.412586059201472,0.23618281097539334,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_GrayLevelNonUniformityNormalized,0.12006704993655148,0.40442377784784184,-1.7520275363006366,0.18017688511710006,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_DifferenceAverage,0.7795982392576235,0.517472827846504,0.5912477225909665,0.21736576615307399,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_90Percentile,0.557540369189945,0.273536532361241,1.0273427423678496,0.13541806185918487,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Energy,0.47295614447435796,0.2504316413962048,0.9172895592252245,0.2511356562516532,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_InterquartileRange,0.5975135247541247,0.2878242739099394,1.0537831008034342,0.1216688882753725,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Kurtosis,0.14102402614676662,0.4945818126220967,-1.8102682138002166,0.12388700094376603,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_DifferenceEntropy,0.17565971016426474,0.46970233308217646,-1.418963431251417,0.23533683020626636,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_RobustMeanAbsoluteDeviation,0.5929900178988314,0.2891039300971603,1.0364195983235576,0.12015894028867243,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_RootMeanSquared,0.5055336787147192,0.28528907555759836,0.825382704323274,0.2485628970636513,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Skewness,0.23169757588332937,0.6917969036602363,-1.5781056063163879,0.026076497148946234,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_TotalEnergy,0.47295614447435774,0.2504316413962048,0.9172895592252238,0.2511356562516538,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_MeanAbsoluteDeviation,0.5524784680989427,0.28219550079641237,0.9692232526241757,0.15356847606872567,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_SmallDependenceLowGrayLevelEmphasis,0.2578455930472714,0.5884410193419086,-1.1903904301973747,0.07721842173323687,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Correlation,0.22160788311160717,0.48410409061940973,-1.127308082501493,0.21894239705647028,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Variance,0.47295803134987413,0.2504323175124542,0.9172914199093763,0.25113172534248107,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Contrast,0.7795982392576235,0.517472827846504,0.5912477225909665,0.21736576615307399,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_ClusterTendency,0.2227935060845283,0.48574680863433173,-1.1244973352415,0.22042020168892204,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_ClusterProminence,0.22293999674691634,0.48566039850917947,-1.1232923838046198,0.22107591308670335,0.5114563882417205,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_MaximumProbability,0.8115698110022098,0.5057180842292979,0.6823818308735917,0.2665013297459825,0.5152359041755662,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_HighGrayLevelRunEmphasis,0.625196305054061,0.43811353287344446,0.5130044732472214,0.41443973607034446,0.5225544498278256,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_SmallDependenceEmphasis,0.24733915940350926,0.4388360124423286,-0.8271912540949369,0.32529843497840794,0.5225544498278256,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_GrayLevelVariance,0.9090000000001055,0.6408000000003085,0.5044061466722323,0.31294905575478166,0.5225544498278256,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_GrayLevelNonUniformity,0.091000000000804,0.3592000000000553,-1.9808488996425642,0.31294905575532506,0.5225544498278256,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Entropy,0.9090013592372088,0.6408009702216078,0.5044061195960067,0.3129475952976189,0.5225544498278256,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_ZoneVariance,4.72394975014293e-05,0.2001100524557176,-12.04851240337229,0.4068826727067873,0.5225544498278256,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_ZonePercentage,0.0,0.2,-inf,0.407083822065589,0.5225544498278256,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
