,binWidth_1_ODI_male_P45_nrxn,binWidth_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLL_glrlm_GrayLevelNonUniformityNormalized,0.7708438338636938,0.16280937870101297,2.2432548034625817,0.006790405384927888,0.13670492209465462,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_DifferenceVariance,0.8323709415252587,0.3816492348891785,1.1249793016749887,0.04240042776953731,0.13670492209465462,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Id,0.14246104215925648,0.5496083979297239,-1.9478365991497422,0.047124185959971455,0.13670492209465462,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Idm,0.14246104215925648,0.5496083979297239,-1.9478365991497422,0.047124185959971455,0.13670492209465462,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Idmn,0.1424610421592405,0.5496083979296997,-1.9478365991498405,0.047124185959980976,0.13670492209465462,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Idn,0.14246104215925826,0.549608397929731,-1.9478365991497428,0.04712418595996828,0.13670492209465462,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Imc1,0.835882520156602,0.38797527373489366,1.1073354815585672,0.043157002930993865,0.13670492209465462,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SizeZoneNonUniformity,0.14444444444444451,0.624855624855625,-2.1130081716904052,0.027170448829605214,0.13670492209465462,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointEnergy,0.180049615996273,0.6334816787496763,-1.814908372441837,0.042013923930997815,0.13670492209465462,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointEntropy,0.82465711425602,0.3741786660383696,1.1400670780984277,0.04243712176796953,0.13670492209465462,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_GrayLevelNonUniformity,0.858604942062601,0.44593736059665334,0.9451534032577278,0.044584806557183373,0.13670492209465462,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_GrayLevelVariance,0.22915616613641987,0.8371906212991689,-1.8692250434801654,0.006790405384932496,0.13670492209465462,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_HighGrayLevelRunEmphasis,0.15075723303113442,0.6916783888148743,-2.197874159344103,0.00761031725400047,0.13670492209465462,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunEmphasis,0.10499810089228201,0.5915417180596922,-2.494116683191407,0.02800574467519677,0.13670492209465462,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunHighGrayLevelEmphasis,0.1286102277082597,0.635453838043502,-2.3047819484637313,0.025245363993187532,0.13670492209465462,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LowGrayLevelRunEmphasis,0.8492427669688638,0.30832161118512574,1.46174100986592,0.007610317253999998,0.13670492209465462,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunEntropy,0.15574815754878202,0.5917473081572779,-1.9257661414672784,0.03351439279796425,0.13670492209465462,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformityNormalized,0.8552767867306676,0.408233658349938,1.0669962483415345,0.044545305016875744,0.13670492209465462,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunPercentage,0.8605559952512865,0.45180055401661934,0.9295830297714263,0.048191359786601204,0.13670492209465462,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunVariance,0.14533132500039714,0.6383857685169083,-2.135082792210686,0.017809536481761284,0.13670492209465462,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,0.8657997901079946,0.3788044993019909,1.1925799840894,0.029354687394767848,0.13670492209465462,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaLowGrayLevelEmphasis,0.6884510385453421,0.24478413836502244,1.491843979373019,0.04434844526047138,0.13670492209465462,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_DifferenceEntropy,0.8342991394060402,0.3861432045247497,1.1114287746623903,0.04292824787813691,0.13670492209465462,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_DifferenceAverage,0.8575389578407462,0.4503916020702796,0.9290222867425814,0.04712418595997189,0.13670492209465462,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_InverseVariance,0.8575389578407462,0.4503916020702796,0.9290222867425814,0.04712418595997189,0.13670492209465462,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Contrast,0.8575389578407462,0.4503916020702796,0.9290222867425814,0.04712418595997189,0.13670492209465462,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_ClusterTendency,0.1358814037341416,0.5423193360556418,-1.9967945823687567,0.04971088076169259,0.13670492209465462,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_ClusterProminence,0.1385399026671399,0.5453263566788301,-1.9768183200237834,0.048250618802936865,0.13670492209465462,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceHighGrayLevelEmphasis,0.1991488209496799,0.6572306593227438,-1.7225528441854854,0.031267752794466884,0.13670492209465462,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
