,binWidth_1_ODI_male_P45_nrxn,binWidth_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLH_glrlm_GrayLevelNonUniformityNormalized,0.6816310017719616,0.1485179458294624,2.198353687008301,0.0062810515543467805,0.27636626839125833,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelVariance,0.31836899822803844,0.8514820541704466,-1.4192762663796175,0.006281051554338511,0.27636626839125833,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LowGrayLevelRunEmphasis,0.8465523274585038,0.39407637497157,1.1031239854145398,0.014592418115299807,0.32103319853659573,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_HighGrayLevelRunEmphasis,0.1534476725414926,0.60592362502843,-1.9813891939905166,0.014592418115298796,0.32103319853659573,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceNonUniformityNormalized,0.6919337804112158,0.26232573018669747,1.3992746542639254,0.03748592778233437,0.409726320871953,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceNonUniformity,0.6919337804112136,0.26232573018669464,1.3992746542639363,0.03748592778233384,0.409726320871953,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Skewness,0.8757232955488523,0.47162061677295475,0.8928483031809236,0.041903828270995196,0.409726320871953,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelNonUniformityNormalized,0.6743827160493826,0.19467120181405892,1.7925280830587225,0.03949547531360036,0.409726320871953,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelVariance,0.32561728395061706,0.8053287981859409,-1.306400643715623,0.03949547531360029,0.409726320871953,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceVariance,0.31931230043308734,0.7320688011629748,-1.19701111304029,0.07601436760362021,0.5574386957598816,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Kurtosis,0.15391073914371245,0.5804775448311059,-1.9151463595862077,0.07132712672090297,0.5574386957598816,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceEntropy,0.3650181137251529,0.7603876129704332,-1.058766971747617,0.06820761594637449,0.5574386957598816,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_InterquartileRange,0.6079775730351612,0.26001504854161567,1.225422984188627,0.08835530452854326,0.5980974460393698,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_RobustMeanAbsoluteDeviation,0.5948628986220353,0.2630595152077644,1.1771679655513925,0.11306193676673094,0.6218406522170202,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Maximum,0.5036205447789582,0.18554078296632462,1.4406008031517623,0.11227566038511956,0.6218406522170202,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_90Percentile,0.5527884704135574,0.22865542634904915,1.2735523685984667,0.11275874156928826,0.6218406522170202,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelNonUniformity,0.6395833333333333,0.3635714285714286,0.8148935155182941,0.13594328545466952,0.629632058947943,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Range,0.5389201195124427,0.20519985944429536,1.3930417051446422,0.12506761488962634,0.629632058947943,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SizeZoneNonUniformity,0.42619047619047623,0.11102040816326528,1.9406734522377278,0.13482531648199403,0.629632058947943,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_MeanAbsoluteDeviation,0.5845104786114373,0.2819088696797434,1.052000018370911,0.15685242206017114,0.690150657064753,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_TotalEnergy,0.5478581204224247,0.26867304280577603,1.0279507483932273,0.20510016519352467,0.7847310668273988,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Variance,0.5476046749600012,0.2681057192200071,1.030332767932003,0.20353979099050093,0.7847310668273988,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Energy,0.5478581204224247,0.26867304280577603,1.0279507483932273,0.20510016519352445,0.7847310668273988,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
