,binWidth_1_ODI_male_P45_nrxn,binWidth_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_glszm_LargeAreaEmphasis,0.07650173547415118,0.5953439936313626,-2.9601591264850327,0.016883515280945522,0.2971498689446412,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_ZonePercentage,0.8928571428571429,0.31428571428571433,1.5063526660247897,0.00660265592724443,0.2971498689446412,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_ZoneVariance,0.10166456785142347,0.620535381042075,-2.609696512259901,0.015722776008830628,0.2971498689446412,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunHighGrayLevelEmphasis,0.7065781659364825,0.19477115500414804,1.8590691343719428,0.0139233591931318,0.2971498689446412,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LargeAreaLowGrayLevelEmphasis,0.24126314801829424,0.7128716122546838,-1.5630347050814766,0.015220080949031066,0.2971498689446412,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_ClusterShade,0.6228349509195372,0.9637826576062126,-0.6298579365612575,0.1403154579135457,0.48575459576361424,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_SizeZoneNonUniformityNormalized,0.5534343701168536,0.24837096797075414,1.15591569579584,0.16007821905846378,0.48575459576361424,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_SizeZoneNonUniformity,0.5984308644641186,0.18599054679814775,1.6859552886676288,0.046284668104317014,0.48575459576361424,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_10Percentile,0.4429583624335745,0.06998895631372908,2.6619718938901147,0.06453638551511033,0.48575459576361424,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelNonUniformity,0.5940487965710516,0.17365428697031057,1.774363415573874,0.0862377927973794,0.48575459576361424,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LowGrayLevelRunEmphasis,0.5504767719124557,0.8837631524124205,-0.6829780920068331,0.13721068162835623,0.48575459576361424,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_HighGrayLevelRunEmphasis,0.446814689509489,0.11081818339329237,2.0114819940252593,0.13497231945663235,0.48575459576361424,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelVariance,0.5832529143259162,0.23516167215337055,1.3104686693562897,0.15812657614814368,0.48575459576361424,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_SmallDependenceHighGrayLevelEmphasis,0.6571520773349453,0.2775656896712534,1.2433980307694683,0.05487573303572031,0.48575459576361424,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumAverage,0.4018367702912581,0.05744951242298209,2.80624303089485,0.14542484071814882,0.48575459576361424,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_SmallAreaEmphasis,0.6722708970894933,0.306486656766178,1.133218430034631,0.06065135405405559,0.48575459576361424,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Autocorrelation,0.4024866878125265,0.051452686985141625,2.9676227418296244,0.13903418606774862,0.48575459576361424,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointAverage,0.40183677029125797,0.05744951242298191,2.806243030894854,0.14542484071814868,0.48575459576361424,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_SmallAreaLowGrayLevelEmphasis,0.44129196047870123,0.13249259382964063,1.7358217472441126,0.15583378389165936,0.48575459576361424,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_90Percentile,0.4712105956091279,0.10328569690209441,2.1897314975704902,0.13250481927034372,0.48575459576361424,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Energy,0.42377301240689813,0.04534818478287202,3.2241750057443723,0.10045378239936462,0.48575459576361424,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_SmallDependenceEmphasis,0.6387412079283552,0.32355948985830674,0.981200536489323,0.1047059688690525,0.48575459576361424,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LowGrayLevelEmphasis,0.6006975884251994,0.949074859794919,-0.6598830146111004,0.1414790880693024,0.48575459576361424,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_HighGrayLevelEmphasis,0.39930570300225066,0.0509490848868317,2.9703655380965306,0.14134154147268604,0.48575459576361424,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceHighGrayLevelEmphasis,0.44058602275146125,0.056928725851496886,2.952195011818901,0.09793476765840488,0.48575459576361424,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Median,0.4533122320180273,0.09785413128061551,2.2118004248712926,0.10811243233804389,0.48575459576361424,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_RootMeanSquared,0.44057787729205655,0.05405052222180533,3.027016592829782,0.09441816704824288,0.48575459576361424,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_TotalEnergy,0.423773012406898,0.04534818478287197,3.2241750057443737,0.10045378239936475,0.48575459576361424,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Mean,0.4400269358294129,0.058072448836387826,2.9216660627259783,0.0901338017925866,0.48575459576361424,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_MCC,0.5257998407529434,0.27549053178179933,0.9325109687428206,0.23070408713225282,0.5251962942801861,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceLowGrayLevelEmphasis,0.6021551178438196,0.8978500178870453,-0.5763392893454065,0.2027502206076651,0.5251962942801861,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_GrayLevelVariance,0.4304817806429461,0.1566044926493518,1.4588265784044503,0.2427324205440984,0.5251962942801861,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_GrayLevelNonUniformity,0.5725357523546847,0.8437832043229389,-0.5595065846829534,0.24715974577081068,0.5251962942801861,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_MaximumProbability,0.607091724253584,0.8679814510774527,-0.5157497055339604,0.2506618677246343,0.5251962942801861,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_SmallAreaHighGrayLevelEmphasis,0.6767647202312042,0.3906859077790236,0.7926451448903573,0.21842063953466842,0.5251962942801861,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelNonUniformityNormalized,0.4272639240920686,0.7045762896408749,-0.7216284175467332,0.2258137352818326,0.5251962942801861,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Entropy,0.4434730828865026,0.16676602559412895,1.411021135440358,0.24343807698618627,0.5251962942801861,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Imc2,0.49273359702364783,0.24307100608861845,1.0194300285363862,0.18650366429993018,0.5251962942801861,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Maximum,0.6585068872243953,0.36862021644156184,0.8370633338337999,0.21995365880932863,0.5251962942801861,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Uniformity,0.5725357523546846,0.8437832043229389,-0.5595065846829537,0.24715974577081043,0.5251962942801861,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_ClusterTendency,0.4211056226555542,0.15784149351558147,1.4157056264861194,0.23017222971772788,0.5251962942801861,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Correlation,0.525653856579097,0.2768578144659,0.924967853197393,0.23533375781481988,0.5251962942801861,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumSquares,0.43613968783311197,0.17435779524041445,1.3227394127383787,0.25992950117674835,0.5319487465942757,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_SmallDependenceLowGrayLevelEmphasis,0.552648515196666,0.32443326618708274,0.7684404614125887,0.2820000103161621,0.5640000206323242,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Imc1,0.4901932152956871,0.7380536897941956,-0.5903752529299701,0.28883831327719806,0.5648393681865207,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
