,binWidth_1_ODI_male_P45_nrxn,binWidth_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHL_firstorder_10Percentile,0.27060884099295013,0.811848640842382,-1.585001805789984,0.007368923425941135,0.10109247002101533,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_DifferenceAverage,0.9069425726346267,0.4864895678643478,0.8986023339544689,0.0382688644079484,0.10109247002101533,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_DifferenceEntropy,0.07295020256064788,0.4888661244563878,-2.744455549349775,0.028282839406178647,0.10109247002101533,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_DifferenceVariance,0.0815811414853016,0.4916374028323617,-2.5912870787543625,0.02914154128686304,0.10109247002101533,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunPercentage,0.9165971643035871,0.4918265221017492,0.8981382870146857,0.03819231108826482,0.10109247002101533,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Idm,0.09305742736540168,0.513510432135672,-2.4642003771788423,0.03826886440794464,0.10109247002101533,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Idmn,0.09305742736536615,0.5135104321356152,-2.464200377179233,0.03826886440797483,0.10109247002101533,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Idn,0.09305742736538747,0.5135104321356494,-2.4642003771789986,0.03826886440795765,0.10109247002101533,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Imc1,0.07043997943732128,0.4846967196802011,-2.7826159255640235,0.02943662523338664,0.10109247002101533,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Correlation,0.11246082948867335,0.5320101425419604,-2.242031157280277,0.03551914891824417,0.10109247002101533,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_InverseVariance,0.9069425726346267,0.4864895678643478,0.8986023339544689,0.0382688644079484,0.10109247002101533,r_hippocampus,male_P45_nrxn,male_P45_control
