,binWidth_1_ODI_male_P45_nrxn,binWidth_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLH_glrlm_RunLengthNonUniformityNormalized,0.8685428464810414,0.321765760577253,1.4325862053563774,0.013424015510045571,0.12476396964015506,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_ClusterProminence,0.1368730558388691,0.6824093523470907,-2.31779894612497,0.009904183895990569,0.12476396964015506,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunLengthNonUniformity,0.8828486032198031,0.3597750531642177,1.2950709026459994,0.022603909069635116,0.12476396964015506,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_InverseVariance,0.9340830891970704,0.39223678621929425,1.2518260411330688,0.026352704272002037,0.12476396964015506,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunPercentage,0.9300903774588019,0.39330143540670404,1.2417354590032015,0.027039102430288543,0.12476396964015506,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Contrast,0.9340830891970704,0.39223678621929425,1.2518260411330688,0.026352704272002037,0.12476396964015506,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_ShortRunEmphasis,0.8329254453337391,0.3730116896770369,1.1589665233044177,0.018155195285062535,0.12476396964015506,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_ShortRunLowGrayLevelEmphasis,0.8948975910267203,0.4517093724404404,0.9863277464928089,0.030357687342454233,0.12476396964015506,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Correlation,0.08515252534865281,0.6356821088856,-2.9001842633881227,0.016886833584474667,0.12476396964015506,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_DifferenceAverage,0.9340830891970704,0.39223678621929425,1.2518260411330688,0.026352704272002037,0.12476396964015506,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Id,0.06591691080294027,0.607763213780703,-3.204788817886687,0.0263527042719998,0.12476396964015506,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Idm,0.06591691080294027,0.607763213780703,-3.204788817886687,0.0263527042719998,0.12476396964015506,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceEntropy,0.2642706708760141,0.7655822718831289,-1.5345411010350403,0.012904028605724635,0.12476396964015506,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Idmn,0.06591691080295448,0.6077632137806972,-3.2047888178863624,0.026352704272016584,0.12476396964015506,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceNonUniformity,0.8057175385322053,0.360000978466268,1.1622733321296583,0.031190992410038764,0.12476396964015506,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceNonUniformityNormalized,0.8057175385322051,0.3600009784662678,1.1622733321296588,0.031190992410038598,0.12476396964015506,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Idn,0.06591691080289053,0.6077632137806575,-3.2047888178876676,0.026352704272003317,0.12476396964015506,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceVariance,0.17331973950437485,0.673139923163478,-1.9574704504270426,0.02525873328789346,0.12476396964015506,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_LargeDependenceEmphasis,0.0954749186467776,0.6225148891754173,-2.7049146530039256,0.025040748140435887,0.12476396964015506,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_GrayLevelNonUniformity,0.9253994156998466,0.39286926580018217,1.2360268779397374,0.024393128412224706,0.12476396964015506,r_hippocampus,male_P45_nrxn,male_P45_control
