,binWidth_1_ODI_male_P45_nrxn,binWidth_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLL_gldm_SmallDependenceHighGrayLevelEmphasis,0.7962651708273216,0.19701000263062304,2.0149800742134185,0.0012637149102515154,0.11120691210213335,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Range,0.6675595782095969,0.2923874589408015,1.191015167215539,0.03341519812970018,0.5570719821790086,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Energy,0.5163262789107343,0.1280173771550843,2.011943371484045,0.05697327090467123,0.5570719821790086,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_SmallDependenceEmphasis,0.8124143356593776,0.2956715866733653,1.4582200866890362,0.013890483307797725,0.5570719821790086,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Variance,0.5158915294169126,0.12713720618582347,2.020681467664638,0.05683565284884274,0.5570719821790086,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_TotalEnergy,0.5163262789107343,0.1280173771550845,2.0119433714840427,0.05697327090467133,0.5570719821790086,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_MeanAbsoluteDeviation,0.5354646686740471,0.09762346265662662,2.4554915559722033,0.05597229681045439,0.5570719821790086,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_RootMeanSquared,0.5444612910885743,0.14954313612942266,1.864267789217061,0.050088804798662165,0.5570719821790086,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Minimum,0.26493572214374495,0.6530098809806469,-1.3014624419120588,0.020676420014581528,0.5570719821790086,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceEntropy,0.6070044539046435,0.2584348596537467,1.2319064175114638,0.07020622885513134,0.5705969299954328,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_RobustMeanAbsoluteDeviation,0.6342227403223163,0.2358094866877674,1.4273678472569253,0.07780867227210446,0.5705969299954328,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SmallAreaLowGrayLevelEmphasis,0.656375467471888,0.26620850108716543,1.3019646751171106,0.07426031201313234,0.5705969299954328,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_10Percentile,0.49570195845501475,0.8904329970982323,-0.8450340974203748,0.08451051678872963,0.5720711905698621,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_InterquartileRange,0.6084701059384057,0.26766962870393674,1.1847329332489807,0.11087575912773537,0.6911596641096345,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_90Percentile,0.6006798054728512,0.20747244284136146,1.5336764362813273,0.1228796535965209,0.6911596641096345,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZoneEntropy,0.31981820547577544,0.6549144560886001,-1.0340544105864264,0.125665393474479,0.6911596641096345,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumAverage,0.26396043042160144,0.5537387199713677,-1.0688837299355027,0.2811324836265682,0.7238948324899076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_MaximumProbability,0.2979907240451465,0.5768474340994345,-0.9529223794140723,0.3118422201545076,0.7238948324899076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointEntropy,0.6563546904283619,0.3725156735536359,0.8171745218790266,0.28153600126151485,0.7238948324899076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunEmphasis,0.6986913913326607,0.4246084284533055,0.7185223558040086,0.2676271727410285,0.7238948324899076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunHighGrayLevelEmphasis,0.6892273295756932,0.38830263539596677,0.8277984103404066,0.14967161526426892,0.7238948324899076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumSquares,0.7694026963074805,0.47170774385357106,0.7058456001887023,0.26648196145380454,0.7238948324899076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SizeZoneNonUniformity,0.5230414746543779,0.2858651026392962,0.8715908379219921,0.3286296122004976,0.7238948324899076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceNonUniformityNormalized,0.5397216137470484,0.7987251344176969,-0.5654836505893787,0.21298885120962588,0.7238948324899076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SmallAreaEmphasis,0.8109891374500469,0.5184596122101306,0.6454509827601353,0.184880925762561,0.7238948324899076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceNonUniformity,0.5397216137470502,0.7987251344176964,-0.5654836505893732,0.212988851209629,0.7238948324899076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointEnergy,0.3273221371499382,0.609135030589821,-0.8960508976781774,0.28357018724855654,0.7238948324899076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceVariance,0.41635934989805046,0.11666894159905183,1.8354086691642786,0.17042105014790238,0.7238948324899076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_GrayLevelNonUniformity,0.21779025068498115,0.48243978243978347,-1.147409504446966,0.31361330817275274,0.7238948324899076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_GrayLevelVariance,0.7822097493150082,0.517560217560208,0.595828789308511,0.31361330817276356,0.7238948324899076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_HighGrayLevelEmphasis,0.2529137529137504,0.5048951048951018,-0.997338200276491,0.3372691833191615,0.7238948324899076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LowGrayLevelEmphasis,0.7470862470862514,0.4951048951048989,0.593540590701947,0.33726918331916084,0.7238948324899076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SizeZoneNonUniformityNormalized,0.7210405288876114,0.40416575485973694,0.835133267314217,0.1777513848178691,0.7238948324899076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointAverage,0.2639604304215961,0.5537387199713677,-1.0688837299355316,0.2811324836265609,0.7238948324899076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_SmallDependenceLowGrayLevelEmphasis,0.6728752537664748,0.34512405724105977,0.963224022461739,0.2076723088259747,0.7238948324899076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Uniformity,0.2177902506849705,0.4824397824397749,-1.1474095044470112,0.3136133081727555,0.7238948324899076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Kurtosis,0.6889388615365111,0.46716824971386456,0.5604337323394303,0.30047028869392184,0.7238948324899076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Autocorrelation,0.2770357673617099,0.5626176978262116,-1.0220826842250148,0.2866055024576425,0.7238948324899076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Entropy,0.7825200499212457,0.5177608498605479,0.5958418366620244,0.31340022966169917,0.7238948324899076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_ClusterShade,0.718061521061806,0.4417000229594005,0.7010405471649018,0.3031538107894302,0.7238948324899076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Maximum,0.552096095482135,0.1989922830218843,1.4722069144561956,0.17135939400986536,0.7238948324899076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumEntropy,0.7092422816964721,0.5120122662094388,0.47010017241677204,0.38504190808358935,0.7700838161671787,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelVariance,0.5585937500000002,0.7790317665289256,-0.47988272650481606,0.3780716662202388,0.7700838161671787,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelNonUniformityNormalized,0.4414062500000001,0.22096823347107436,0.9982680755040416,0.3780716662202379,0.7700838161671787,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Mean,0.33145063030878774,0.5462057785445885,-0.7206505806796027,0.39474903049573,0.7719536596360943,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Contrast,0.6866882521950428,0.5612609131487343,0.29098369045312833,0.6410670459301213,0.8586826267884978,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_DifferenceAverage,0.6866882521950428,0.5612609131487343,0.29098369045312833,0.6410670459301213,0.8586826267884978,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LowGrayLevelZoneEmphasis,0.6064814814814814,0.42542087542087537,0.5115727661173348,0.4886040442197296,0.8586826267884978,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaHighGrayLevelEmphasis,0.31418999448790386,0.4368720577819543,-0.4755735962151106,0.6004469429843224,0.8586826267884978,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZoneVariance,0.37110940410229093,0.4727567330361193,-0.349253445160519,0.6668653160798492,0.8586826267884978,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaEmphasis,0.3458422727519694,0.45031886753742734,-0.3808327029767966,0.6577363150818945,0.8586826267884978,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_InverseVariance,0.6866882521950428,0.5612609131487343,0.29098369045312833,0.6410670459301213,0.8586826267884978,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelNonUniformity,0.5023640661938535,0.3513088330109607,0.5159934218772143,0.5196808347335746,0.8586826267884978,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_DifferenceEntropy,0.6438031111064966,0.4814156802536019,0.41933641570669,0.5582116830374981,0.8586826267884978,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SmallAreaHighGrayLevelEmphasis,0.6513964675392927,0.5462708256323442,0.253919520237935,0.6057084999364997,0.8586826267884978,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_HighGrayLevelZoneEmphasis,0.3935185185185186,0.5745791245791247,-0.5460740494365043,0.48860404421972947,0.8586826267884978,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformityNormalized,0.6846569037982588,0.551592909986422,0.31177729086021316,0.6316573690764868,0.8586826267884978,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Idn,0.3133117478049634,0.43873908685127105,-0.4857643750155864,0.6410670459301244,0.8586826267884978,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Idmn,0.31331174780497406,0.4387390868512909,-0.48576437501560277,0.6410670459300956,0.8586826267884978,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunPercentage,0.6864512471655342,0.5590476190476223,0.2961860861227259,0.635233108310957,0.8586826267884978,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_GrayLevelNonUniformity,0.6816703016618284,0.5568987400316423,0.2916591019201857,0.6410594036841469,0.8586826267884978,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Id,0.3133117478049492,0.43873908685125684,-0.48576437501560527,0.6410670459301286,0.8586826267884978,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Idm,0.3133117478049492,0.43873908685125684,-0.48576437501560527,0.6410670459301286,0.8586826267884978,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunHighGrayLevelEmphasis,0.3565217826082956,0.5232435421052326,-0.5534923762874728,0.5456654173942861,0.8586826267884978,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceLowGrayLevelEmphasis,0.6364926163830207,0.5041763238637618,0.3362154074932337,0.5438997626695081,0.8586826267884978,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceHighGrayLevelEmphasis,0.3537677861650912,0.5553407836754491,-0.650570666652901,0.4831404432464318,0.8586826267884978,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformity,0.6870613592646959,0.5724673174562531,0.26324561617087155,0.6680442272105663,0.8586826267884978,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunEmphasis,0.3322002962598418,0.440813699030269,-0.40811569887895255,0.673285241459163,0.8586826267884978,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_DifferenceVariance,0.6507989067241216,0.49507639238080403,0.3945606711172674,0.5738515805946094,0.8586826267884978,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Imc1,0.6253203091968924,0.5128491811785241,0.28606075389156727,0.6941158364110804,0.8726027657739297,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaLowGrayLevelEmphasis,0.3938954859758197,0.4707332721805798,-0.25709694479630446,0.7506043664631987,0.9173758877292474,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Correlation,0.3228155258718737,0.3939886640939516,-0.2874441538552791,0.7922791757661676,0.9173758877292474,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceEmphasis,0.2944449253840662,0.36627532979509814,-0.31493072306957415,0.7862555473416574,0.9173758877292474,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_MCC,0.3228155258718737,0.39398866409395145,-0.2874441538552785,0.7922791757661682,0.9173758877292474,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZonePercentage,0.5357142857142858,0.45714285714285713,0.22881869049588116,0.7402781453831327,0.9173758877292474,r_hippocampus,male_P45_nrxn,male_P45_control
