,binWidth_1_ODI_male_P45_nrxn,binWidth_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHH_firstorder_10Percentile,0.08449090611762367,0.6772963431602061,-3.002919230977102,0.003285289768822388,0.031203543410090927,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_ClusterTendency,0.30066099413668823,0.785734722125271,-1.3859046015591259,0.004833169285384837,0.031203543410090927,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Contrast,0.7366686294687419,0.2863500740265721,1.3632358313228292,0.008189786861405276,0.031203543410090927,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Correlation,0.2807809476430786,0.7472909801669003,-1.41222506394831,0.006220450117484086,0.031203543410090927,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_DifferenceAverage,0.7366686294687419,0.2863500740265721,1.3632358313228292,0.008189786861405276,0.031203543410090927,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Id,0.26333137053125455,0.7136499259734421,-1.4383371486189747,0.008189786861402731,0.031203543410090927,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Idm,0.26333137053125455,0.7136499259734421,-1.4383371486189747,0.008189786861402731,0.031203543410090927,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_ClusterProminence,0.2990867942434363,0.7823512041584877,-1.3872521794117603,0.004898596941191064,0.031203543410090927,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Idn,0.26333137053126165,0.7136499259734137,-1.4383371486188783,0.008189786861407117,0.031203543410090927,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_SumEntropy,0.16165310167379943,0.6598053977473797,-2.029139391337338,0.008864643014230377,0.031203543410090927,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_GrayLevelNonUniformity,0.7439002451575227,0.2943927183846114,1.3373671854288867,0.008837196527055323,0.031203543410090927,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunEntropy,0.256164393510673,0.743337939214183,-1.5369482865468385,0.0032684216256374855,0.031203543410090927,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunLengthNonUniformity,0.8016852765662268,0.3299203013917548,1.2809184227497028,0.005118455236086329,0.031203543410090927,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunLengthNonUniformityNormalized,0.7800083970984701,0.2866915093853876,1.4439904766786549,0.0026891505359748513,0.031203543410090927,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunPercentage,0.7447303161810268,0.291630502169869,1.35257646571211,0.008074520748459693,0.031203543410090927,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_InverseVariance,0.7366686294687419,0.2863500740265721,1.3632358313228292,0.008189786861405276,0.031203543410090927,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Variance,0.7805091359230071,0.2095758761444515,1.8969428584430592,0.004460849561305337,0.031203543410090927,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Idmn,0.26333137053124744,0.7136499259733909,-1.4383371486189103,0.008189786861407566,0.031203543410090927,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_TotalEnergy,0.7805820645675461,0.20960966862656166,1.8968450490182454,0.0044556054579642495,0.031203543410090927,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_InterquartileRange,0.87224800235327,0.28364440390358814,1.620654987350213,0.0046924985463365695,0.031203543410090927,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Energy,0.7805820645675461,0.20960966862656183,1.896845049018244,0.004455605457964242,0.031203543410090927,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_RootMeanSquared,0.8022373984127724,0.23465063133552552,1.7735148807639207,0.0048009797260188496,0.031203543410090927,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_RobustMeanAbsoluteDeviation,0.8834865040027102,0.2813398424472336,1.6508942195976002,0.0035166363504723725,0.031203543410090927,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_90Percentile,0.8833511869847259,0.26532358893873836,1.7352341668914497,0.0022465461107930794,0.031203543410090927,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_MeanAbsoluteDeviation,0.8689235469500669,0.26503074763520545,1.7130695015957702,0.003091814974615896,0.031203543410090927,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_LargeDependenceEmphasis,0.2537002956320862,0.693850461068586,-1.4514995655394498,0.00968799641445223,0.0327901417104537,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_ShortRunEmphasis,0.6463752773194216,0.1767076106060273,1.871007842133897,0.012100131254114707,0.03943746482822571,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceEntropy,0.31141732704050895,0.7490962357611807,-1.2663018552196657,0.025355195185998016,0.07968775629885091,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceNonUniformityNormalized,0.7036999661376515,0.3147601715991321,1.160707443635538,0.03237777421954715,0.09497480437733961,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceNonUniformity,0.703699966137652,0.31476017159913317,1.160707443635534,0.03237777421954759,0.09497480437733961,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceVariance,0.2528476523775429,0.6387552465924784,-1.3369948525808537,0.04008497900363866,0.11378961781678071,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SizeZoneNonUniformityNormalized,0.5416666666666666,0.1333333333333333,2.022367813028455,0.044078968483146186,0.12121716332865201,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Kurtosis,0.08999076260412159,0.5595053739982208,-2.636303164214395,0.04706387013920586,0.12550365370454897,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LongRunEmphasis,0.3886764857874887,0.7768204563930169,-0.999011362530781,0.05150794377387285,0.133314678002965,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_LargeDependenceHighGrayLevelEmphasis,0.316770927901346,0.7421291042517787,-1.2282302505387188,0.05845600270785637,0.14697509252261032,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunVariance,0.27167238248887227,0.6418192854563728,-1.2402992281592633,0.08148574572463277,0.1991873784379912,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Median,0.41900100462549755,0.8188839847593876,-0.9667053697511417,0.0908585556002736,0.21609602413038045,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_JointEntropy,0.13757641373700835,0.6051806347164301,-2.1371326693397723,0.09932956780610304,0.23002636755097547,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_JointEnergy,0.8619671641585711,0.3969186958536966,1.118789393780642,0.10239011741305613,0.23103411108587024,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LongRunHighGrayLevelEmphasis,0.4201513840637361,0.7310978168987461,-0.7991552071452548,0.13001723039794252,0.27906137256143765,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_GrayLevelNonUniformity,0.38888888888888895,0.7111111111111111,-0.8707169830550332,0.1290416065382169,0.27906137256143765,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_DifferenceVariance,0.1755408856060683,0.50067000562766,-1.5120529374832195,0.15299546107677736,0.29919112388347574,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Imc1,0.17403567857151037,0.5021107699003422,-1.5286225707651455,0.14878979471142348,0.29919112388347574,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.1402048103437843,0.4422958112778986,-1.65747573118178,0.14632704858772128,0.29919112388347574,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_DifferenceEntropy,0.1763312095887457,0.5022214905132045,-1.5100359183502987,0.15106483520006314,0.29919112388347574,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LongRunLowGrayLevelEmphasis,0.22737997879682936,0.5158280116399148,-1.1817848916777918,0.17277451456645912,0.3305251583010522,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_GrayLevelVariance,0.7777777777777777,0.42222222222222217,0.8813555035013809,0.1878535060899266,0.3443980944981988,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_GrayLevelNonUniformityNormalized,0.22222222222222232,0.5777777777777778,-1.3785116232537293,0.1878535060899266,0.3443980944981988,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LargeAreaHighGrayLevelEmphasis,0.41947178059168366,0.13619860508892434,1.62286183081784,0.20753385657323356,0.36596499826004597,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_ZoneEntropy,0.542481250360578,0.8339850002884625,-0.620448161260544,0.21579578619453663,0.36596499826004597,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LargeAreaEmphasis,0.4168760327914043,0.1336546134485334,1.6411087935721043,0.2118754942334042,0.36596499826004597,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,0.42086510149495127,0.14083385193645778,1.579363731866305,0.21625204442639082,0.36596499826004597,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_ZonePercentage,0.5000000000000002,0.8000000000000002,-0.6780719051126374,0.2274528180597631,0.37765750923130476,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SmallAreaHighGrayLevelEmphasis,0.3593749943355632,0.6718749930649637,-0.9027028064933414,0.24589503624304448,0.3957892244805345,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_ZoneVariance,0.6944845575609504,0.9555517775482676,-0.4603914341791415,0.24736826530033407,0.3957892244805345,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_MCC,0.7849412371612401,0.5253153334935723,0.5794009578575611,0.26336280466853895,0.4064551030025917,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Imc2,0.7843494349049864,0.5263635914814303,0.5754368300491806,0.26789086334261725,0.4064551030025917,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_MaximumProbability,0.7541410737042291,0.4948170752223717,0.6079391411577759,0.2607647648751594,0.4064551030025917,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SizeZoneNonUniformity,0.25,0.0,inf,0.29235199244023835,0.4360504294023894,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_SmallDependenceEmphasis,0.47142902255726415,0.25749544219735726,0.872493681799586,0.35214735271256875,0.4998220490113879,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_SmallDependenceLowGrayLevelEmphasis,0.5384441261643849,0.3508158085961252,0.6180828849190358,0.340936929939404,0.4998220490113879,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_ShortRunHighGrayLevelEmphasis,0.6213879766273234,0.4143437657141845,0.5846661113997064,0.34909611177707295,0.4998220490113879,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_HighGrayLevelZoneEmphasis,0.4,0.64,-0.6780719051126377,0.390997818575792,0.537622000541714,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LowGrayLevelZoneEmphasis,0.6,0.36,0.7369655941662062,0.390997818575792,0.537622000541714,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Minimum,0.7656455174679141,0.5806160065710708,0.3990922551958219,0.40413515407905093,0.5471368239839459,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SmallAreaEmphasis,0.4583333312194071,0.6229166625490958,-0.44264195779102083,0.44526277316856744,0.5936836975580899,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_ShortRunLowGrayLevelEmphasis,0.7254810497389883,0.561351985115229,0.3700322610801716,0.47285709423158107,0.6210660342146139,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Uniformity,0.2598865282470797,0.4194012554321489,-0.6904493293095184,0.5397160071276643,0.6596528976013559,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_GrayLevelNonUniformity,0.25988652824742076,0.41940125543219436,-0.6904493293077815,0.5397160071283822,0.6596528976013559,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_GrayLevelVariance,0.7401134717523519,0.5805987445675782,0.350205024517586,0.5397160071282261,0.6596528976013559,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Range,0.3452624345546384,0.4901977448493586,-0.505670473333235,0.5227696003030065,0.6596528976013559,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Entropy,0.7401302524824018,0.5806094836653302,0.35021104994516056,0.5396959634742233,0.6596528976013559,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_LowGrayLevelEmphasis,0.2921052631579144,0.4400000000000091,-0.5910151708433471,0.5770505608364541,0.6862222885622697,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_HighGrayLevelEmphasis,0.7078947368420856,0.5599999999999852,0.3381080219427949,0.5770505608364387,0.6862222885622697,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Skewness,0.38469966953296364,0.5127659199105435,-0.41456778861954535,0.6033773898044599,0.7079628040372329,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_ClusterShade,0.27188407957277283,0.37068750874114886,-0.44721182522071623,0.6525132450146064,0.7457294228738359,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_SumSquares,0.77014344524693,0.6687714634620988,0.20361389527707044,0.6450487498027602,0.7457294228738359,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_SmallDependenceHighGrayLevelEmphasis,0.6515421224848517,0.5397815949247053,0.27148266698723167,0.6629436877750665,0.7479364682590494,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_GrayLevelNonUniformityNormalized,0.3444476916822623,0.457175637052751,-0.40846361436356354,0.6877400143178498,0.7565140157503979,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_GrayLevelVariance,0.655552308317283,0.542824362947249,0.2722254286414973,0.6877400143185435,0.7565140157503979,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_SumAverage,0.7024298903688546,0.6276299657728259,0.16244000245405862,0.7346782437398152,0.7884351884037275,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_JointAverage,0.7024298903688546,0.6276299657728316,0.16244000245404547,0.7346782437398369,0.7884351884037275,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Maximum,0.4838307850405882,0.5437978249509787,-0.16856781336430457,0.8117699886062062,0.8606717951487487,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_HighGrayLevelRunEmphasis,0.45142972408104853,0.39436658893462206,0.19496408435484605,0.8363767890098218,0.8658959697984038,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LowGrayLevelRunEmphasis,0.5485702759189444,0.6056334110653807,-0.14276834448618944,0.8363767890097935,0.8658959697984038,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Mean,0.5938434415140013,0.5589934812556935,0.0872511757907216,0.9029294739628999,0.9239278338225022,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Autocorrelation,0.6365992761761667,0.6245830129764244,0.027492184244693553,0.9570047114651562,0.9680047656199281,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SmallAreaLowGrayLevelEmphasis,0.4999999961286626,0.49609374167800235,0.011315326258797808,0.9901297650012532,0.9901297650012532,r_hippocampus,male_P45_nrxn,male_P45_control
