,binWidth_1_ODI_male_P45_nrxn,binWidth_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLH_glcm_Idn,0.25962573391752386,0.5984873485135722,-1.204887360882604,0.1332163294999179,0.4884598748330324,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceAverage,0.740374266082477,0.4015126514864214,0.8828093037648348,0.13321632949991183,0.4884598748330324,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Correlation,0.2826162961334311,0.6201379755735151,-1.133744582629238,0.11323801291480079,0.4884598748330324,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Contrast,0.740374266082477,0.4015126514864214,0.8828093037648348,0.13321632949991183,0.4884598748330324,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_ClusterTendency,0.32503825202381886,0.6597997697827012,-1.0214187632762546,0.09352270142444054,0.4884598748330324,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Id,0.2596257339175274,0.598487348513585,-1.204887360882615,0.13321632949991183,0.4884598748330324,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_ClusterProminence,0.2741830399640719,0.6126254010227961,-1.1598658523801657,0.10864769986316124,0.4884598748330324,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idm,0.2596257339175274,0.598487348513585,-1.204887360882615,0.13321632949991183,0.4884598748330324,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idmn,0.25962573391753807,0.598487348513595,-1.2048873608825799,0.13321632949990625,0.4884598748330324,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Imc1,0.7818253888228056,0.38906477683429674,1.0068360602988755,0.11510318771364314,0.4884598748330324,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Imc2,0.28857213078666155,0.6218493183773688,-1.1076330637342804,0.1153531429393798,0.4884598748330324,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_InverseVariance,0.740374266082477,0.4015126514864214,0.8828093037648348,0.13321632949991183,0.4884598748330324,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceEntropy,0.7856683269316207,0.4018050616508049,0.967424663224652,0.12230516736169728,0.4884598748330324,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_MCC,0.282616296133431,0.620137975573515,-1.1337445826292383,0.11323801291479911,0.4884598748330324,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_SmallDependenceHighGrayLevelEmphasis,0.6332837823054378,0.3244473539233145,0.9648677340972563,0.1252162367251665,0.4884598748330324,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunLowGrayLevelEmphasis,0.21800349007314423,0.6362626922604925,-1.545271298907593,0.08287828928529092,0.4884598748330324,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunEntropy,0.2771156780315778,0.6168758324782473,-1.1544917917929525,0.12768629690396197,0.4884598748330324,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformity,0.710312201246154,0.36188122857052213,0.9729369926725172,0.10434081395243239,0.4884598748330324,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceLowGrayLevelEmphasis,0.39935950046112456,0.7792200627808008,-0.9643427886227091,0.06282143336712875,0.4884598748330324,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,0.7147478183049216,0.33984657983318345,1.072550707369518,0.08076063207985751,0.4884598748330324,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunPercentage,0.7422114962702908,0.40175515577007276,0.8855138091256644,0.13234467465170643,0.4884598748330324,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunEmphasis,0.8046113901936902,0.39213496078041177,1.036941890084317,0.07023573057990425,0.4884598748330324,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunLowGrayLevelEmphasis,0.8727249368751258,0.5109854933077905,0.7722446865523283,0.11087162735293392,0.4884598748330324,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceVariance,0.7926852447587311,0.40643089343914196,0.9637380542050944,0.12011737009895125,0.4884598748330324,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelNonUniformity,0.7219118669577593,0.3827519061911119,0.9154131568814978,0.1391192886979203,0.4896998962166795,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunEmphasis,0.24809641196665289,0.5739814587462302,-1.2101032636909441,0.19192089574845228,0.5629679608621267,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,0.7184219328785186,0.3325795786700674,1.111131809365237,0.1829423188185893,0.5629679608621267,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_10Percentile,0.2838793898786808,0.5912058316716264,-1.0583823895632476,0.1859344508751935,0.5629679608621267,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceEmphasis,0.2968636336334347,0.6250015016117292,-1.0740592847298998,0.17275637196937618,0.5629679608621267,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_SmallDependenceEmphasis,0.5594613549005998,0.28612152306846567,0.9674104533493897,0.18722427932293315,0.5629679608621267,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_RobustMeanAbsoluteDeviation,0.7250257494898785,0.4157284163521361,0.8023908696488385,0.23277236196735018,0.6094041327192932,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_InterquartileRange,0.7127149197115094,0.41216716633894024,0.7900955426480368,0.2354515967324542,0.6094041327192932,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointEntropy,0.6748961400502722,0.3800495762653412,0.8284778766766907,0.21712014886537215,0.6094041327192932,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointEnergy,0.3453218436122878,0.6237324456489468,-0.8529857118354985,0.2329231492445237,0.6094041327192932,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_MeanAbsoluteDeviation,0.6740560991576932,0.4080699772673116,0.724052094689701,0.26201020219004806,0.6587685083635494,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_RootMeanSquared,0.6528091091421968,0.40950734992287485,0.6727718425828946,0.2993734436242438,0.6803596777985869,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunHighGrayLevelEmphasis,0.36247797262760395,0.6012766669346096,-0.7301356477196748,0.3069132952903678,0.6803596777985869,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_TotalEnergy,0.6213040635495882,0.3806414581768375,0.7068667864278748,0.3092543989993576,0.6803596777985869,r_hippocampus,male_P45_nrxn,male_P45_control
