,binWidth_1_ODI_male_P45_nrxn,binWidth_1_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_glrlm_RunPercentage,0.8623543926091695,0.20681700809089412,2.0599260461990054,0.00026864589223883205,0.0019713471707897517,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformity,0.8832854877725898,0.20877680843421226,2.0809183466229277,0.00025925202954990844,0.0019713471707897517,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunVariance,0.14058725919464346,0.7941434250589433,-2.497933731407253,0.0002337709144973935,0.0019713471707897517,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelNonUniformity,0.9124867336456444,0.16346113978636137,2.4808558848227733,6.543315523846102e-05,0.0019713471707897517,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_InverseVariance,0.8626035063411135,0.20696044418243317,2.0593425249238546,0.0002686182094408125,0.0019713471707897517,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceNonUniformity,0.08888884565732103,0.7896911291522615,-3.151214187313766,0.00022079268809170594,0.0019713471707897517,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Idm,0.13744523871478886,0.7930560237259563,-2.5285658547487952,0.0002686908294109239,0.0019713471707897517,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Id,0.1374356106765937,0.7930527710134918,-2.5286610018546307,0.00026867648032343193,0.0019713471707897517,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_DifferenceAverage,0.8625403197954054,0.20693909739706423,2.059385655649969,0.00026871235710599554,0.0019713471707897517,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceNonUniformityNormalized,0.08888884565732111,0.7896911291522617,-3.151214187313765,0.00022079268809170518,0.0019713471707897517,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceEmphasis,0.13284725570335976,0.7917906686244004,-2.5753506394687644,0.00024873850191120013,0.0019713471707897517,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Contrast,0.8624681225592383,0.2069147064624528,2.0594349463295387,0.000268820068744057,0.0019713471707897517,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_DifferenceVariance,0.8777550148249631,0.2263953382585712,1.9549740818735337,0.0003354071887518048,0.0022704486623199094,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_DifferenceEntropy,0.8870109100379505,0.24194641573135853,1.8742642826204736,0.0004190756508783434,0.0026341898055210157,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunHighGrayLevelEmphasis,0.04961528004106103,0.7124835439202217,-3.844000291307343,0.0005575329731073469,0.002798253546530078,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunLowGrayLevelEmphasis,0.1328018307077314,0.7489520465451118,-2.4955983148757603,0.000572370043608425,0.002798253546530078,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceEntropy,0.7927757314632026,0.18569695765286384,2.0939626200429493,0.0005114317652951967,0.002798253546530078,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunEmphasis,0.10726888538695922,0.7384566416738615,-2.7832815499828487,0.0005373353673696406,0.002798253546530078,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunEntropy,0.17229657612656535,0.834515097109524,-2.2760441167952994,0.0007705626588603272,0.00339047569898544,r_hippocampus,male_P45_nrxn,male_P45_control
