,binWidth_1_vISO_male_P45_nrxn,binWidth_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLH_glcm_Imc1,0.3989179580866578,0.7149667815272138,-0.8417841429058444,0.20514851267602127,0.6904851791465223,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceVariance,0.4023545102047734,0.7090087509575514,-0.817336229356293,0.21766976145204026,0.6904851791465223,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Id,0.6209534979815539,0.3760139839870824,0.7236989149890638,0.2823825888631095,0.6904851791465223,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idmn,0.620953497981553,0.3760139839870803,0.7236989149890698,0.28238258886310796,0.6904851791465223,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idn,0.6209534979815512,0.37601398398708313,0.7236989149890549,0.28238258886311385,0.6904851791465223,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Imc2,0.6297844016443008,0.28512868609788933,1.1432448329878453,0.19217518370252346,0.6904851791465223,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_InverseVariance,0.37904650201844836,0.6239860160129183,-0.7191388462483813,0.28238258886311335,0.6904851791465223,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointAverage,0.3196290469871865,0.5693311917891222,-0.832869620141,0.23295698138061763,0.6904851791465223,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_MCC,0.6221153646398824,0.2775763094230439,1.1642976954632327,0.19124675391612725,0.6904851791465223,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumAverage,0.3196290469871812,0.569331191789118,-0.8328696201410134,0.2329569813806143,0.6904851791465223,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceEntropy,0.40549314672441117,0.7088273472479572,-0.8057567340115673,0.21776825965290425,0.6904851791465223,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumEntropy,0.5967582236915323,0.3600605989333829,0.728906807151241,0.2902867562053643,0.6904851791465223,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelNonUniformity,0.3746631644230589,0.6188244534309035,-0.723936063476846,0.2864993137844828,0.6904851791465223,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunLowGrayLevelEmphasis,0.3759071491203163,0.639475724234895,-0.7665132393155283,0.22499047229951155,0.6904851791465223,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunEmphasis,0.616587907616202,0.383718641574837,0.6842577411752988,0.28204860313242436,0.6904851791465223,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunLowGrayLevelEmphasis,0.6779808994593167,0.3553100647550017,0.9321660733339461,0.1621974121935599,0.6904851791465223,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunEntropy,0.6507142021846608,0.38997237136952484,0.7386521256381495,0.2543227562228153,0.6904851791465223,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformity,0.3713010156523554,0.6019189246618613,-0.6969799150486345,0.2981640546314528,0.6904851791465223,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,0.3726483603475492,0.6084028989667176,-0.7072121155308814,0.2822530397596771,0.6904851791465223,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunPercentage,0.3766339869281041,0.6191409897292249,-0.7171047822789348,0.28604256873570116,0.6904851791465223,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunVariance,0.6545345587101925,0.4204522411157653,0.6385274318667697,0.2922105235564815,0.6904851791465223,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumSquares,0.7997368272425298,0.5504423300715274,0.5389339040560296,0.23288244499703023,0.6904851791465223,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceAverage,0.37904650201844836,0.6239860160129183,-0.7191388462483813,0.28238258886311335,0.6904851791465223,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idm,0.6209534979815539,0.3760139839870824,0.7236989149890638,0.2823825888631095,0.6904851791465223,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Contrast,0.37904650201844836,0.6239860160129183,-0.7191388462483813,0.28238258886311335,0.6904851791465223,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceNonUniformityNormalized,0.1705128715234946,0.4033621135558826,-1.242194934594592,0.27833901593816057,0.6904851791465223,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Median,0.2612967546631912,0.611778229455312,-1.2273195621995985,0.21390080942490527,0.6904851791465223,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceEmphasis,0.6506006683492896,0.40084883179876174,0.6987140346648613,0.2718380423159759,0.6904851791465223,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Skewness,0.7065599018638401,0.4547206413873335,0.6358313822202272,0.2115095568159812,0.6904851791465223,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceNonUniformity,0.17051287152349537,0.4033621135558826,-1.2421949345945855,0.2783390159381622,0.6904851791465223,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceVariance,0.8024870072833792,0.5336068603370491,0.588700819672957,0.23194838814816493,0.6904851791465223,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Maximum,0.5930683478322656,0.28152923984886896,1.0749136074089867,0.26079543803285293,0.6904851791465223,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceEntropy,0.8177492870675409,0.5403485985714991,0.5977681537599522,0.2026513511185487,0.6904851791465223,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceLowGrayLevelEmphasis,0.7330089561818864,0.3675352685358696,0.9959481288378587,0.14462788985109074,0.6904851791465223,l_amygdala,male_P45_nrxn,male_P45_control
