,binWidth_1_vISO_male_P45_nrxn,binWidth_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_firstorder_Kurtosis,0.04479853474189208,0.5678645252328518,-3.6640233378359044,0.015433914535416263,0.33394043189080685,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Maximum,0.2762716223982463,0.7080399520536689,-1.3577433870565543,0.018973888175614025,0.33394043189080685,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Minimum,0.7572774245201827,0.2516298299215802,1.589518961335075,0.0054284123121780305,0.33394043189080685,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Range,0.26932422987606447,0.706736757208678,-1.3918289167860929,0.01743959405138125,0.33394043189080685,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Skewness,0.13130945086120727,0.6474452504205274,-2.30178744363555,0.008526234244361114,0.33394043189080685,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_ZoneVariance,0.694969480719649,0.25019160583634314,1.4739162373660175,0.04985256847113008,0.7311710042432412,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_10Percentile,0.26274710106312227,0.2918943787357863,-0.15177158111638892,0.8925035451012043,0.9975432732702416,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LargeAreaHighGrayLevelEmphasis,0.5818062941775713,0.2192187939191692,1.408167416318439,0.08056177229871886,0.9975432732702416,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LargeAreaEmphasis,0.6133931505542753,0.2791954652314256,1.1355365477684347,0.13941037453141075,0.9975432732702416,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_HighGrayLevelZoneEmphasis,0.3560606060606061,0.4197402597402598,-0.23737401996298485,0.7866405559339232,0.9975432732702416,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelVariance,0.321961449795082,0.6059812960020075,-0.9123853077711039,0.22936529885023987,0.9975432732702416,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelNonUniformityNormalized,0.32407407407407407,0.5202601940184357,-0.6829097188467892,0.40704658395632926,0.9975432732702416,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelNonUniformity,0.11666666666666667,0.4928058608058608,-2.078626992377519,0.14449169649901122,0.9975432732702416,l_amygdala,male_P45_nrxn,male_P45_control
