,binWidth_1_vISO_male_P45_nrxn,binWidth_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
original_firstorder_90Percentile,0.35002298015200595,0.6829494746300664,-0.964329207453156,0.08802592149874854,0.22186616541677165,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Energy,0.039791121118761485,0.37210271553380103,-3.2251824662200894,0.1579879070904752,0.22186616541677165,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Maximum,0.20206741187651653,0.6845718347536295,-1.7603652649971167,0.07512589199734926,0.22186616541677165,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_MeanAbsoluteDeviation,0.24190501784756047,0.5612313358268427,-1.2141548672135571,0.1334214216977119,0.22186616541677165,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Mean,0.12507966843132223,0.45825014345449305,-1.873288032400442,0.1554408015759018,0.22186616541677165,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Range,0.20206741187651653,0.6845718347536295,-1.7603652649971167,0.07512589199734926,0.22186616541677165,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_RobustMeanAbsoluteDeviation,0.18458484390072238,0.541501761713717,-1.5526819320586245,0.1584758324405512,0.22186616541677165,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_RootMeanSquared,0.10026425877774672,0.4530969909663732,-2.17601249011883,0.13484647056075003,0.22186616541677165,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_TotalEnergy,0.0397911211187615,0.37210271553380114,-3.2251824662200894,0.15798790709047505,0.22186616541677165,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Variance,0.04194773900052024,0.3820585809874471,-3.187128907397036,0.14542874523002633,0.22186616541677165,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Median,0.0,0.3780856884370153,-inf,0.19410372255614164,0.24704110143508937,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_InterquartileRange,0.137067048544864,0.44778760017293706,-1.7079327953586256,0.2785275913270755,0.3249488565482548,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Skewness,0.41990169840536085,0.45229104267154374,-0.10719980106711835,0.8910193299826544,0.9595592784428586,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Kurtosis,0.3404549084899607,0.34730954101749756,-0.02875831054411069,0.9779489159536572,0.9779489159536572,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
