,binWidth_1_vISO_male_P45_nrxn,binWidth_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHH_firstorder_10Percentile,0.6324103603163214,0.18448752171242555,1.77733776330794,0.026316448509041912,0.1457814929664528,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_DifferenceVariance,0.7937865746211088,0.3108801974688561,1.3523924396962421,0.035054478897479945,0.1457814929664528,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_DifferenceEntropy,0.7946173320578467,0.31146869895042356,1.3511730747042743,0.03502993445587468,0.1457814929664528,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_JointEnergy,0.21866337589079876,0.7019146836121919,-1.6825840819248001,0.03409350483790586,0.1457814929664528,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_JointEntropy,0.7821090803511623,0.2983051254557324,1.3905810673393404,0.03403203652819048,0.1457814929664528,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_MCC,0.2650724727368202,0.7329916377609395,-1.4674098827589745,0.03451384423678436,0.1457814929664528,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_MaximumProbability,0.2982264293363124,0.7505509023907049,-1.3315418014070526,0.0303975462741751,0.1457814929664528,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_SumEntropy,0.7757312090788488,0.2834282259712637,1.452573404938366,0.0350613717261089,0.1457814929664528,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Variance,0.2214356230866553,0.6678756498570079,-1.5926921838719064,0.02027619145632417,0.1457814929664528,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_TotalEnergy,0.22143557367074534,0.6678755188499806,-1.5926922228343463,0.020276204485668685,0.1457814929664528,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
