,binWidth_1_vISO_male_P45_nrxn,binWidth_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHH_firstorder_10Percentile,0.6035302153139517,0.16393538266650917,1.8802987310431163,0.03155566913423749,0.30503813496429577,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_TotalEnergy,0.2675656034734853,0.7162778975074704,-1.4206267606494534,0.026241363594627254,0.30503813496429577,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_RootMeanSquared,0.3552925985031489,0.7873581298199002,-1.148012360218431,0.028007432211471762,0.30503813496429577,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_RobustMeanAbsoluteDeviation,0.3081164068014104,0.7760116504936259,-1.3326028061110369,0.029690401417904973,0.30503813496429577,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_MeanAbsoluteDeviation,0.34605415926492283,0.7968761333512926,-1.2033576439582188,0.028828385800195026,0.30503813496429577,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Variance,0.2675589770752645,0.7162760228907589,-1.420658714393716,0.026240584227376094,0.30503813496429577,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_90Percentile,0.380371884137897,0.8271199774190109,-1.1206860031082175,0.030725272845469095,0.30503813496429577,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_InterquartileRange,0.2886154752664023,0.7624842725860526,-1.4015589223251552,0.03113827143052005,0.30503813496429577,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Energy,0.2675656034734853,0.7162778975074704,-1.4206267606494534,0.026241363594627254,0.30503813496429577,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Median,0.13977904929501297,0.6482884081761744,-2.2134876374374213,0.04061699659907155,0.32124351855629313,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunVariance,0.2976411079204091,0.6843389937338824,-1.2011373604374895,0.039874304969485005,0.32124351855629313,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_DifferenceVariance,0.7775460027759955,0.35125342407486926,1.1464157444345102,0.0770502899438828,0.4200179126689415,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_JointEntropy,0.6165819991502914,0.22297108911929514,1.4674361116646966,0.09143033026042323,0.4200179126689415,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LongRunEmphasis,0.3595280460852064,0.7094877895376122,-0.9806735384618749,0.07034319228480615,0.4200179126689415,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_JointEnergy,0.38530972416882925,0.7788071379800883,-1.0152475106593164,0.09172804989321712,0.4200179126689415,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
