,binWidth_1_vISO_male_P45_nrxn,binWidth_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHL_firstorder_10Percentile,0.6560569020772817,0.22680018785905265,1.5323991149177865,0.03444666124765141,0.3445872410911383,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Id,0.42344862731080735,0.7497052331402791,-0.8241365198266348,0.1605463282356288,0.3445872410911383,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Idm,0.42344862731080735,0.7497052331402791,-0.8241365198266348,0.1605463282356288,0.3445872410911383,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Idn,0.42344862731080646,0.7497052331402699,-0.8241365198266201,0.16054632823564038,0.3445872410911383,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Imc1,0.6850475304722148,0.3420466730712469,1.0020108920082165,0.14684498182971648,0.3445872410911383,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_InverseVariance,0.5765513726891911,0.2502947668597237,1.2038210350372491,0.160546328235635,0.3445872410911383,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointEnergy,0.41999151806239254,0.7769540586014798,-0.8874691021605162,0.051827413003361904,0.3445872410911383,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointEntropy,0.5722753089080488,0.19858109813113742,1.5269810554580279,0.04559000012718479,0.3445872410911383,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_ZoneVariance,0.4822606303385735,0.8792997033374462,-0.8665419424497084,0.15345641000562957,0.3445872410911383,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_ZonePercentage,0.2916666666666667,0.6666666666666667,-1.1926450779423958,0.12991118498272525,0.3445872410911383,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_ZoneEntropy,0.19114760361735458,0.746847457280225,-1.9661264908469744,0.012880977502281454,0.3445872410911383,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelNonUniformity,0.5822423094391445,0.25483678994276104,1.1920461089602181,0.1576956509177865,0.3445872410911383,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_SizeZoneNonUniformityNormalized,0.796,0.18663265306122453,2.092567010022778,0.005589355340610467,0.3445872410911383,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_LargeAreaLowGrayLevelEmphasis,0.5499638352724766,0.12794176836580862,2.103849423542637,0.1363214785176618,0.3445872410911383,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LongRunEmphasis,0.3660933063954336,0.6842354888255108,-0.902281537605138,0.15852709456558522,0.3445872410911383,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LongRunHighGrayLevelEmphasis,0.49281542673430956,0.8074856421478043,-0.7123891897515366,0.13720649057968734,0.3445872410911383,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_LargeAreaHighGrayLevelEmphasis,0.6046261853058925,0.20327871375303297,1.5725843090519527,0.1329400857586479,0.3445872410911383,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunLengthNonUniformity,0.57013556629921,0.23811553550430764,1.2596432525053352,0.1486435321589619,0.3445872410911383,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunLengthNonUniformityNormalized,0.5914471993988015,0.24451094102905274,1.2743503574863773,0.12722837062874817,0.3445872410911383,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
