,binWidth_1_vISO_male_P45_nrxn,binWidth_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_glcm_MaximumProbability,0.1569220663083715,0.5689295202923877,-1.8582017030367364,0.10656508254262101,0.2536230059673483,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointAverage,0.1411461307206927,0.5735932135082085,-2.022838374517524,0.09699559396073314,0.2536230059673483,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEnergy,0.09280384415925122,0.48950030513061504,-2.39905328752053,0.1353284396524616,0.2536230059673483,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEntropy,0.9002344649786086,0.5218647606031865,0.7866248126214934,0.14319140348168968,0.2536230059673483,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_MCC,0.1130965713192785,0.5939677271831585,-2.392829352666727,0.059778635611519644,0.2536230059673483,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_ZonePercentage,0.08064516129032259,0.4258064516129032,-2.4005379295837286,0.14647364357309667,0.2536230059673483,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumAverage,0.1411461307206925,0.5735932135082086,-2.0228383745175265,0.09699559396073293,0.2536230059673483,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumEntropy,0.9266233801612656,0.5509380480160229,0.7500929848122224,0.15056078842805218,0.2536230059673483,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumSquares,0.9148370641307887,0.5340346370778282,0.7765814999023607,0.1361181223504914,0.2536230059673483,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelNonUniformity,0.8042813602201861,0.4171035241833227,0.9472947830975723,0.12307597966566207,0.2536230059673483,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceHighGrayLevelEmphasis,0.15938399944828738,0.5626606288187964,-1.8197582123813585,0.11641888752496668,0.2536230059673483,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelVariance,0.018156399825735137,0.3781820030437314,-4.380530641102151,0.12517735139373656,0.2536230059673483,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_HighGrayLevelRunEmphasis,0.0647248560485647,0.4199786628478808,-2.6979242765509728,0.14525723623479003,0.2536230059673483,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunEmphasis,0.0681118170289691,0.44480208734904875,-2.707186533506995,0.1697584951978635,0.2536230059673483,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_InverseVariance,0.8048300114759088,0.4262236380894488,0.9170734968253771,0.13035539367463814,0.2536230059673483,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunHighGrayLevelEmphasis,0.06395098692183745,0.44548584657865115,-2.800341068223032,0.1659996471164246,0.2536230059673483,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunEntropy,0.16916140971533244,0.5259989154969574,-1.6366593366732018,0.13181934560818762,0.2536230059673483,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformity,0.7296180869916442,0.3604264475834918,1.017436615920554,0.12058569727640452,0.2536230059673483,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformityNormalized,0.7424295621392059,0.387949756620061,0.9363843359438736,0.12320803184018346,0.2536230059673483,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunPercentage,0.8040227485135917,0.42584660661377277,0.9169024670665914,0.13027431284809485,0.2536230059673483,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunVariance,0.0642717531863643,0.4373966307150442,-2.766685375843653,0.1729247767959193,0.2536230059673483,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
