,binWidth_1_vISO_male_P45_nrxn,binWidth_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHH_gldm_SmallDependenceEmphasis,0.6392112490432762,0.12401983530612029,2.3657219187450957,0.010473751147297487,0.45560817490744066,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_SmallDependenceHighGrayLevelEmphasis,0.826904030818099,0.3235756824699735,1.3536167125289351,0.009673207654688567,0.45560817490744066,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Variance,0.3870611953687454,0.8135960051556846,-1.0717509172315376,0.028674091804656195,0.4700394661556703,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Energy,0.38706287759737873,0.8136071921329512,-1.0717644840438725,0.028669457402093142,0.4700394661556703,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_TotalEnergy,0.3870628775973785,0.813607192132951,-1.0717644840438727,0.028669457402093142,0.4700394661556703,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_RootMeanSquared,0.4152087572449432,0.8316665647972347,-1.0021683608499872,0.03241651490728761,0.4700394661556703,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_HighGrayLevelRunEmphasis,0.5400934925394907,0.1500456568164168,1.8478076060433144,0.07657586820942722,0.47586432387287386,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LowGrayLevelRunEmphasis,0.459906507460488,0.8499543431835719,-0.8860447350718033,0.07657586820942798,0.47586432387287386,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunHighGrayLevelEmphasis,0.8031443492867787,0.4770061601842997,0.751651409203155,0.07157029440361645,0.47586432387287386,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_RobustMeanAbsoluteDeviation,0.40085964125994217,0.736310015692259,-0.877216152397689,0.07111615864772933,0.47586432387287386,l_hippocampus,male_P45_nrxn,male_P45_control
