,binWidth_1_vISO_male_P45_nrxn,binWidth_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHL_firstorder_10Percentile,0.5905659599069654,0.21647016349596546,1.447930013052377,0.03974279222610976,0.31555710158615025,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_MaximumProbability,0.7207346253244458,0.27795896871869774,1.3745962232222033,0.0729077939965031,0.31555710158615025,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_SumAverage,0.8166398092850997,0.35072094311639146,1.2193763143565304,0.07881585731781311,0.31555710158615025,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_SumSquares,0.20704508571739666,0.6863649531132865,-1.7290309281365428,0.0755701225564684,0.31555710158615025,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_HighGrayLevelZoneEmphasis,0.7999999999999998,0.43333333333333324,0.8845227825800641,0.08063677045095355,0.31555710158615025,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_ClusterShade,0.18839479598936365,0.6462214521614255,-1.7782695294560753,0.08052145910416855,0.31555710158615025,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LowGrayLevelZoneEmphasis,0.2,0.5666666666666664,-1.5025003405291824,0.08063677045095355,0.31555710158615025,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Autocorrelation,0.8241471976554617,0.37623075359949354,1.131284252967411,0.0813892041573224,0.31555710158615025,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Variance,0.3308862754052857,0.7134594780101313,-1.1084960396443633,0.040922284566393206,0.31555710158615025,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Uniformity,0.8218145699043902,0.36030321552938177,1.1896013810243176,0.07768914799194412,0.31555710158615025,l_hippocampus,male_P45_nrxn,male_P45_control
