,binWidth_1_vISO_male_P45_nrxn,binWidth_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLL_glcm_Imc1,0.8469917204207793,0.30202230940076263,1.487692746228531,0.012735889326344616,0.17646778521239884,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_90Percentile,0.2875586696476881,0.7806641374972247,-1.4408456616147933,0.008359342176892586,0.17646778521239884,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_DifferenceVariance,0.8301202119513054,0.31604598946537693,1.3931857645573194,0.018047841669449883,0.17646778521239884,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_DifferenceEntropy,0.8336987707889687,0.3105143685060739,1.4248661799769462,0.016251605096841395,0.17646778521239884,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_InterquartileRange,0.28205010832964433,0.7377477840361996,-1.3871761912063545,0.008214495249829765,0.17646778521239884,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_MeanAbsoluteDeviation,0.3292112397676479,0.7625332519963426,-1.2117866585500165,0.014603783129984449,0.17646778521239884,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunLowGrayLevelEmphasis,0.17351180179315184,0.6593966970064621,-1.9261128661319917,0.01693391134105684,0.17646778521239884,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,0.9268334151328217,0.4134411477758057,1.1646280783447507,0.007571968450740356,0.17646778521239884,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_RobustMeanAbsoluteDeviation,0.2771389494722319,0.7380601493778256,-1.4131289124624034,0.007961535023769695,0.17646778521239884,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Maximum,0.3961996711701893,0.8954890167354931,-1.1764480546683425,0.020660417489297662,0.18181167390581943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunEmphasis,0.7663805607131886,0.26008904327977866,1.5590553430664595,0.02273447549884744,0.18187580399077952,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunEmphasis,0.10751497880447913,0.5986577182031867,-2.477193712013593,0.037019638909574805,0.20088035243763772,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Variance,0.36200235919813906,0.7759331864199626,-1.0999333315613573,0.03880643172090729,0.20088035243763772,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_10Percentile,0.6512291664011803,0.28113841679516227,1.2118847070745422,0.037729051148459425,0.20088035243763772,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Range,0.290941717363128,0.7234780983272624,-1.3142191675739254,0.03678844526732063,0.20088035243763772,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Energy,0.3618896616020806,0.7762756951149866,-1.1010192244031027,0.03864364666994776,0.20088035243763772,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_TotalEnergy,0.3618896616020807,0.7762756951149865,-1.101019224403102,0.03864364666994792,0.20088035243763772,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_RootMeanSquared,0.40854772313460685,0.8168332259260402,-0.9995369394045137,0.041153169684943716,0.20119327401528037,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformityNormalized,0.8603384160671701,0.38806873301291345,1.1485920600305295,0.06049829194722757,0.28020261533452767,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZoneEntropy,0.2595402945760296,0.6312021901415606,-1.2821436715828547,0.06728872188847296,0.28606630681771644,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceLowGrayLevelEmphasis,0.14407356524573012,0.5332640092144695,-1.8880443089196732,0.06826582321786416,0.28606630681771644,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelNonUniformityNormalized,0.4966115702479339,0.06083379247015604,3.0291730224661477,0.08632831926799832,0.299440294422414,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunPercentage,0.8037772745985965,0.45244956772333966,0.8290387970849876,0.14269682046527782,0.299440294422414,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformity,0.810281004043357,0.4383812859351638,0.8862361065206371,0.13116340205127155,0.299440294422414,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunEntropy,0.13065637523535845,0.5413838734780334,-2.050874392674809,0.09264082203640991,0.299440294422414,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_GrayLevelNonUniformity,0.8047360976024605,0.45487178932945155,0.8230557853459336,0.14748106887993326,0.299440294422414,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_InverseVariance,0.8011202143983209,0.45491830284408613,0.8164112665182254,0.1485565079774143,0.299440294422414,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumSquares,0.33580362604596914,0.662175327059856,-0.979595447547705,0.149720147211207,0.299440294422414,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_MCC,0.17682641420429412,0.5581194271866606,-1.6582400654305987,0.11525254384738148,0.299440294422414,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointEntropy,0.7674978195144782,0.41911489357568144,0.8728168620699209,0.11506734515575202,0.299440294422414,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunVariance,0.16688955031423758,0.5155325223486683,-1.6271698187509234,0.13400438139530912,0.299440294422414,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelVariance,0.503388429752066,0.9391662075298439,-0.8997084423416333,0.0863283192679984,0.299440294422414,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_SmallDependenceLowGrayLevelEmphasis,0.6624918362617493,0.306159723076426,1.113618175473398,0.11715463330609018,0.299440294422414,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Idn,0.19887978560167952,0.5450816971559191,-1.4545758318161945,0.14855650797740516,0.299440294422414,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Minimum,0.8055705371908566,0.4530285844193408,0.8304088375731907,0.13269015103244236,0.299440294422414,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_ClusterProminence,0.17579533834507366,0.5573098237256857,-1.6645827697854094,0.11422953672746758,0.299440294422414,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_ClusterTendency,0.14548798929102968,0.5772384641917874,-1.9882673799072434,0.0858334934775832,0.299440294422414,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Contrast,0.8011202143983209,0.45491830284408613,0.8164112665182254,0.1485565079774143,0.299440294422414,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_DifferenceAverage,0.8011202143983209,0.45491830284408613,0.8164112665182254,0.1485565079774143,0.299440294422414,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Id,0.19887978560167952,0.5450816971559107,-1.4545758318161723,0.14855650797742148,0.299440294422414,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Correlation,0.1768264142042918,0.5581194271866605,-1.6582400654306175,0.1152525438473803,0.299440294422414,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Idmn,0.1988797856017186,0.545081697155922,-1.454575831815919,0.14855650797744407,0.299440294422414,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Idm,0.19887978560167952,0.5450816971559107,-1.4545758318161723,0.14855650797742148,0.299440294422414,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Imc2,0.1804032551122874,0.5436816439200536,-1.5915367497461448,0.13952457203145235,0.299440294422414,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointAverage,0.8016019871174969,0.5022189381028255,0.6745696528634969,0.16028926020923578,0.3066403238785522,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumAverage,0.8016019871174951,0.5022189381028284,0.6745696528634852,0.1602892602092432,0.3066403238785522,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Entropy,0.3866832947187788,0.672852693391303,-0.799138253149711,0.1877018823985146,0.31559998801416617,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceEmphasis,0.13916325958758513,0.47463222651026094,-1.7700316833912861,0.17969183175461537,0.31559998801416617,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_GrayLevelNonUniformity,0.6135458705008041,0.327374871558132,0.9062276195105152,0.18771845684266686,0.31559998801416617,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_HighGrayLevelEmphasis,0.7586325966850849,0.49005524861878696,0.6304569550095716,0.19752623743869863,0.31559998801416617,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_ClusterShade,0.1941448429488556,0.47672015450723393,-1.296009234565367,0.19337996342480088,0.31559998801416617,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointEnergy,0.24808170265228036,0.5415894474623499,-1.1263842964541522,0.19507775679138434,0.31559998801416617,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Autocorrelation,0.7910557150589588,0.5088716200177125,0.636477575265953,0.20083635600901484,0.31559998801416617,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Uniformity,0.6135458705008006,0.32737487155811207,0.9062276195105946,0.18771845684265567,0.31559998801416617,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_GrayLevelVariance,0.38645412949917457,0.6726251284418566,-0.799505494771365,0.18771845684265134,0.31559998801416617,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LowGrayLevelEmphasis,0.24136740331491602,0.5099447513812144,-1.0791100973829792,0.1975262374386965,0.31559998801416617,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunHighGrayLevelEmphasis,0.6806685495191744,0.42640644732345623,0.6747231991360948,0.29858633965524783,0.4609754015730142,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_SmallDependenceEmphasis,0.6176286648851779,0.37540774539185584,0.7182812952822953,0.3284492396247855,0.49833677736174353,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_MaximumProbability,0.7349421589664793,0.4953866664323492,0.5690756739020529,0.33413290092415204,0.4983677166326336,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunHighGrayLevelEmphasis,0.18515198006638034,0.44315981360336065,-1.2591170833971024,0.35740895343018614,0.524199798364273,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Mean,0.41339337095827244,0.5949655177007105,-0.5252908024911369,0.3826415925521474,0.5520075433539176,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Kurtosis,0.3921833211895305,0.6296183786559103,-0.6829494721874616,0.40842400514996624,0.5796985879547908,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_HighGrayLevelZoneEmphasis,0.44480519480519476,0.6354978354978356,-0.5147135742741679,0.440772645664416,0.6060623877885719,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LowGrayLevelZoneEmphasis,0.5551948051948051,0.3645021645021644,0.6070666874280205,0.440772645664416,0.6060623877885719,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SmallAreaHighGrayLevelEmphasis,0.444481327877285,0.5885391127505551,-0.4050154816857201,0.499239425928911,0.6758933766422179,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaHighGrayLevelEmphasis,0.4496578229890371,0.2894797957149174,0.6353649098078472,0.5312996261787514,0.6999874927328404,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SizeZoneNonUniformityNormalized,0.43417181069958843,0.2762037037037036,0.6525333944224369,0.5329450228761399,0.6999874927328404,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SizeZoneNonUniformity,0.43587962962962956,0.30361111111111105,0.5217051931085298,0.5624410210515807,0.7278648507726339,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SmallAreaLowGrayLevelEmphasis,0.4233756261550766,0.30385597108160567,0.4785505728080533,0.5721408512879371,0.7296868828020068,l_hippocampus,male_P45_nrxn,male_P45_control
