,binWidth_1_vISO_male_P45_nrxn,binWidth_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.9524891520780692,0.43736155065950333,1.1228762660958094,0.02243711493677493,0.19744661144361939,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Variance,0.32961038064449594,0.7614606620284462,-1.2080078282652562,0.0132256495398043,0.19744661144361939,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_TotalEnergy,0.32937835247737507,0.7613856808224868,-1.2088816969170608,0.01318893497835509,0.19744661144361939,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_RootMeanSquared,0.379848666967279,0.8034681453603003,-1.080816069043444,0.017473956863853543,0.19744661144361939,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_RobustMeanAbsoluteDeviation,0.41359159918610755,0.8243448500713901,-0.9950411074720877,0.020549429999572457,0.19744661144361939,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_MeanAbsoluteDeviation,0.44802292912171027,0.9114586811679916,-1.0246046874891133,0.013834844756538749,0.19744661144361939,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_ShortRunLowGrayLevelEmphasis,0.8016871005321917,0.39002462026907203,1.0394740640335574,0.021867568979552835,0.19744661144361939,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Energy,0.3293783524773749,0.7613856808224866,-1.208881696917061,0.013188934978355096,0.19744661144361939,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_InterquartileRange,0.4242698700855164,0.8384138264165705,-0.9826802808332277,0.021546331959538947,0.19744661144361939,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_90Percentile,0.3957511934871474,0.8631319011792152,-1.1249873433201836,0.013694935222324848,0.19744661144361939,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumSquares,0.31642382228271515,0.7718091716397566,-1.2863859693256765,0.06662602801808683,0.32257743889973445,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_ClusterShade,0.11492429857772776,0.4772341279764222,-2.054013355837956,0.07258351746252607,0.32257743889973445,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LongRunLowGrayLevelEmphasis,0.24925478799568845,0.6163794583264904,-1.3061975649347815,0.05572168097277963,0.32257743889973445,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Autocorrelation,0.8779107230741725,0.5124952316541715,0.7765356543794829,0.06827981773709905,0.32257743889973445,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Uniformity,0.6527179487179495,0.22307179487178813,1.5489516004920962,0.08402362320773422,0.32257743889973445,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_LowGrayLevelEmphasis,0.14285714285714235,0.4952380952380942,-1.7935491225325757,0.08797566515447303,0.32257743889973445,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_ShortRunEmphasis,0.4683659234623869,0.12557556657243935,1.8990803304261903,0.08228184656940393,0.32257743889973445,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Entropy,0.34736028911513017,0.7770403459602108,-1.1615566772138333,0.08398875034286775,0.32257743889973445,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumAverage,0.8851090466159892,0.5144240250948748,0.7828971858157892,0.0655853476541392,0.32257743889973445,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_GrayLevelNonUniformity,0.6527179487179495,0.2230717948717995,1.5489516004920227,0.08402362320774028,0.32257743889973445,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_GrayLevelVariance,0.34728205128203626,0.7769282051281834,-1.1616734380601716,0.08402362320772912,0.32257743889973445,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_HighGrayLevelEmphasis,0.8571428571428577,0.5047619047619051,0.7639326417664754,0.08797566515447178,0.32257743889973445,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_LargeDependenceLowGrayLevelEmphasis,0.1731800546270723,0.5287561105923588,-1.610329648333906,0.0693749953788827,0.32257743889973445,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointAverage,0.8851090466159901,0.5144240250948755,0.7828971858157888,0.06558534765413958,0.32257743889973445,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_10Percentile,0.4549735401006206,0.1361926108491091,1.740134213091727,0.11019143848298907,0.3878738634601215,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_LargeDependenceHighGrayLevelEmphasis,0.8179956579232488,0.48645427623719983,0.749788978325348,0.12189634110942461,0.4125722314472833,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Imc1,0.46295475880740045,0.14142294369189745,1.7108550221483134,0.13523214415407206,0.44075661798364224,l_hippocampus,male_P45_nrxn,male_P45_control
