,binWidth_1_vISO_male_P45_nrxn,binWidth_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLH_glrlm_GrayLevelNonUniformityNormalized,0.20664806067264863,0.5887341542224476,-1.510440500581646,0.049636617211619063,0.34957714240376087,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_TotalEnergy,0.13158086553454842,0.5781901534804174,-2.13559433219775,0.04625061989013211,0.34957714240376087,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_RootMeanSquared,0.15014870337841413,0.6064539833734055,-2.014006163983652,0.0429856148399265,0.34957714240376087,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_RobustMeanAbsoluteDeviation,0.3335026879710685,0.6953385848947764,-1.0600172587375285,0.06263860511781262,0.34957714240376087,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Range,0.18509201797567115,0.7196659059541552,-1.9590846316836297,0.021354487878814565,0.34957714240376087,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Minimum,0.8444873904961241,0.4226093333668238,0.9987512518372657,0.036469405469724187,0.34957714240376087,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LowGrayLevelRunEmphasis,0.6847942532690272,0.22968441157096606,1.576017648915882,0.027928978541700518,0.34957714240376087,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunLowGrayLevelEmphasis,0.7894347026574469,0.44953345410085743,0.8123914553426195,0.06753194796436289,0.34957714240376087,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Mean,0.3545671912268904,0.7557381318712926,-1.0918273708048074,0.04922396389239121,0.34957714240376087,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_HighGrayLevelRunEmphasis,0.315205746730971,0.7703155884290339,-1.2891557828004567,0.02792897854169992,0.34957714240376087,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Kurtosis,0.1643737714235595,0.5874540928346181,-1.8374960039591723,0.06175751972233664,0.34957714240376087,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_InterquartileRange,0.3593246710604082,0.7215655926180145,-1.0058425527730621,0.06155764471390871,0.34957714240376087,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelVariance,0.7933519393272377,0.4112658457776888,0.9478897368108951,0.04963661721177272,0.34957714240376087,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Energy,0.1315808655345485,0.5781901534804174,-2.135594332197749,0.04625061989013211,0.34957714240376087,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_90Percentile,0.24982696635869356,0.623340514337136,-1.3190912744407164,0.06525901050343452,0.34957714240376087,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_MeanAbsoluteDeviation,0.2729983649035172,0.68397187896669,-1.3250447006233728,0.05596634398812566,0.34957714240376087,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Variance,0.1313197342591078,0.5783467639943394,-2.138851024788752,0.04594389604848025,0.34957714240376087,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunVariance,0.6327203824882681,0.25161842910920845,1.3303304792853177,0.1548247974889175,0.6968187669197153,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceNonUniformity,0.11607623304905301,0.40829006977282634,-1.8145218731036616,0.16495444855820976,0.6968187669197153,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceNonUniformityNormalized,0.11607623304905168,0.4082900697728249,-1.814521873103673,0.16495444855821076,0.6968187669197153,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceVariance,0.9070514383910684,0.6104697883010003,0.5712644684534005,0.1662862966512957,0.6968187669197153,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_HighGrayLevelZoneEmphasis,0.6957142857142857,0.3288658008658007,1.0809959566862521,0.183191184731465,0.7009054024508246,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LowGrayLevelZoneEmphasis,0.30428571428571444,0.6711341991341992,-1.1411746714415523,0.1831911847314655,0.7009054024508246,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SmallAreaLowGrayLevelEmphasis,0.4628207874831256,0.702328710811914,-0.6016927487598019,0.31881844629832784,0.8329138710963574,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunEmphasis,0.5496639284864697,0.3092427411125641,0.8298100750307079,0.2816027862757232,0.8329138710963574,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointAverage,0.7154972163684805,0.49396842374351735,0.5345273317304104,0.29717348542405775,0.8329138710963574,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceHighGrayLevelEmphasis,0.7947850475042231,0.522979944250652,0.6038091094051018,0.23563441020512724,0.8329138710963574,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumAverage,0.715497216368477,0.4939684237435145,0.5345273317304116,0.29717348542405775,0.8329138710963574,l_hippocampus,male_P45_nrxn,male_P45_control
