,binWidth_1_vISO_male_P45_nrxn,binWidth_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_glcm_Idn,0.17722632048741804,0.6431723765360331,-1.859612566483642,0.011823167998348264,0.046695000639347124,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Contrast,0.8952940532212023,0.43790376486105353,1.0317477501887882,0.013530774949594013,0.046695000639347124,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_GrayLevelNonUniformity,0.1319777070184508,0.6089236359360094,-2.2059670558870845,0.006080284047376369,0.046695000639347124,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_DifferenceAverage,0.8951075599770386,0.43765655617502086,1.0322618707736007,0.01348927077589565,0.046695000639347124,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Idm,0.10492973867179467,0.5623928855621866,-2.4221547265841488,0.013481001808012677,0.046695000639347124,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_InverseVariance,0.8949443783883954,0.4374402485747423,1.032712052480858,0.013453172299528561,0.046695000639347124,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointAverage,0.15972527140965598,0.6688511396841423,-2.066092567542682,0.0026709556277537023,0.046695000639347124,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEnergy,0.10736893932882463,0.5723864043368047,-2.4144127070873664,0.00914506554399461,0.046695000639347124,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEntropy,0.9039451542031078,0.45580446557156123,0.9878201825599752,0.013487605122148331,0.046695000639347124,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_MaximumProbability,0.14211880731102494,0.6326036440082617,-2.154204379832375,0.004492412079207936,0.046695000639347124,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumAverage,0.15972527140965598,0.6688511396841423,-2.066092567542682,0.0026709556277537128,0.046695000639347124,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumEntropy,0.9056364957310727,0.45937018678182423,0.9792748691361511,0.013796250188898015,0.046695000639347124,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumSquares,0.883566980173295,0.40508063007322015,1.1251304040091816,0.006339588691272896,0.046695000639347124,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelNonUniformity,0.9032542363733858,0.4200234931438736,1.104662091784335,0.010216068108388333,0.046695000639347124,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformity,0.8385793504551686,0.3734301361132923,1.1671089461516901,0.009904562744020545,0.046695000639347124,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunPercentage,0.8950411962160514,0.43755263960939894,1.0324974967971043,0.013473692385624295,0.046695000639347124,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_ClusterTendency,0.8785342597571695,0.39099445018049134,1.1679504174799433,0.00511753944632666,0.046695000639347124,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Autocorrelation,0.15395473699805717,0.6584667436870415,-2.096604320003535,0.0030782789786056287,0.046695000639347124,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Id,0.10495460443768323,0.5624258467203234,-2.4218974359761942,0.0134754950552362,0.046695000639347124,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_HighGrayLevelEmphasis,0.17823250296559978,0.6864768683274027,-1.9454506531717073,0.0027244836103786545,0.046695000639347124,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceHighGrayLevelEmphasis,0.11450772319973879,0.5956386510902532,-2.3789924666539055,0.0070076430477737555,0.046695000639347124,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Uniformity,0.1319777070184508,0.6089236359360091,-2.2059670558870836,0.006080284047376404,0.046695000639347124,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Entropy,0.8901157223043528,0.4423339372692377,1.0088569757515349,0.01218077075640745,0.046695000639347124,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_GrayLevelVariance,0.8702434026990239,0.39518469008235424,1.1388919156329778,0.006371081114125177,0.046695000639347124,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceEmphasis,0.0905915918882163,0.5553789576859077,-2.616023456865256,0.012871866699894919,0.046695000639347124,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LowGrayLevelEmphasis,0.8246816099907737,0.32213984447080535,1.3561501223158583,0.003014210153200158,0.046695000639347124,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_HighGrayLevelRunEmphasis,0.1574235678378555,0.5815666099801463,-1.8852928983735475,0.018948016934871012,0.0617564996395796,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_RootMeanSquared,0.20579883725471598,0.620176426496873,-1.591443857609951,0.02517892148825097,0.07307721971245237,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_DifferenceVariance,0.9185891610475484,0.48907827111447577,0.9093543907837087,0.024348749187275188,0.07307721971245237,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceEntropy,0.9237419479805601,0.49695367032192106,0.894378524305802,0.023591520857352697,0.07307721971245237,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformityNormalized,0.8485491923078872,0.4367337087208762,0.9582444105251922,0.025743111489613908,0.07307721971245237,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LowGrayLevelRunEmphasis,0.8522090281678132,0.4518975148613049,0.9152117121222167,0.026908581363908907,0.07399859875074949,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Median,0.11888737391025843,0.533055555383074,-2.164690393434659,0.02854085859604165,0.07610895625611107,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunHighGrayLevelEmphasis,0.8346208827990312,0.45037371112807395,0.8899984003157246,0.03538403674744054,0.08447875854391342,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunVariance,0.02865676631434104,0.44681824525276975,-3.962740370272694,0.04031940748686777,0.08447875854391342,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_DifferenceEntropy,0.9286561225734358,0.5176536265619155,0.8431573899157017,0.033974651928658,0.08447875854391342,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Mean,0.14952779841150798,0.540764920805269,-1.854587849746578,0.03625637615062432,0.08447875854391342,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Variance,0.28178454860518043,0.674163373753671,-1.2585057451064492,0.0387270427237296,0.08447875854391342,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_TotalEnergy,0.15093522025743025,0.5524730972692452,-1.8719747205557704,0.03752464720566829,0.08447875854391342,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_90Percentile,0.23766965571429427,0.6440589902466325,-1.4382351127227915,0.03956630996608488,0.08447875854391342,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunEntropy,0.09255568754390908,0.5317983002027891,-2.5224856143942698,0.03349818378238748,0.08447875854391342,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Energy,0.15093522025743022,0.5524730972692453,-1.8719747205557706,0.037524647205668255,0.08447875854391342,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_ClusterProminence,0.9809032553743595,0.5725741598107467,0.77664829000105,0.05032909538500558,0.10299907892745327,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Idmn,0.4385046736753955,0.8047459059846765,-0.8759411129424123,0.05760705027012126,0.11521410054024252,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Imc2,0.8719204537869717,0.3991714834114197,1.1271878634055523,0.06072622984062759,0.11875351613278284,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunHighGrayLevelEmphasis,0.038629832276916715,0.4174248159209421,-3.433729052521676,0.062381870974177,0.11933923142886035,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_MeanAbsoluteDeviation,0.2985057888875505,0.6158266233105371,-1.0447653292984338,0.06630081875085746,0.12413770319309482,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunEmphasis,0.03472056972788015,0.40960487016933855,-3.5603703427779987,0.0677602653859497,0.12422715320757446,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunEmphasis,0.8338539074730729,0.4872096523560921,0.7752519278642434,0.07117899727384835,0.12783166857344194,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_ZonePercentage,0.35185185185185186,0.7111111111111111,-1.0151068923902082,0.08765262674704659,0.15124374811255098,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_ZoneEntropy,0.19239773779471558,0.6800800293882215,-1.8216126914968176,0.08754909252443026,0.15124374811255098,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunLowGrayLevelEmphasis,0.018301427942071263,0.37531316844827084,-4.358066788142098,0.09603453872950436,0.16251998861916123,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_ClusterShade,0.07296440339629084,0.41983440154886215,-2.5245556832175686,0.09968204179780667,0.16550980524918843,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceNonUniformityNormalized,0.022371052883942366,0.3712025026096407,-4.052501374075395,0.10723085442487797,0.1685056283819511,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_RobustMeanAbsoluteDeviation,0.29025488886198897,0.5783468810121619,-0.9946146851556659,0.10621148844916806,0.1685056283819511,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceNonUniformity,0.02237105288394231,0.3712025026096407,-4.052501374075399,0.10723085442487792,0.1685056283819511,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelNonUniformityNormalized,0.07396278374562848,0.3930846088692716,-2.409968446747574,0.11246609675770794,0.17363186867856664,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_InterquartileRange,0.2982801874336611,0.5727057257313438,-0.9411258739459165,0.12926751316268154,0.1961300199709651,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LargeAreaLowGrayLevelEmphasis,0.4569398505622311,0.15135994114649104,1.5940208352882645,0.1470375002643287,0.21931016988577842,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelNonUniformity,0.39213397354007895,0.7176554025865665,-0.8719446309062355,0.1603079264037293,0.23511829205880297,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunLowGrayLevelEmphasis,0.8470018511721242,0.576677073037264,0.5546014563778187,0.22337707514887356,0.3222488952967356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelVariance,0.9186888968144555,0.6630251797374204,0.47051273184257036,0.2335652122865334,0.3315119142131442,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_10Percentile,0.014269074570496636,0.2713953895531702,-4.249432536460854,0.25588263135448464,0.35742335808245473,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_SmallDependenceHighGrayLevelEmphasis,0.6693893274912229,0.3873876465075636,0.7890676011381739,0.2774294537139795,0.38146549885672176,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_SmallDependenceEmphasis,0.7210767717901787,0.4991441739928105,0.5306962816461065,0.29250044040271617,0.39600059623752343,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LargeAreaEmphasis,0.4238616411378916,0.1994392529571988,1.087644026471093,0.31689445787067533,0.4225259438275671,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_ZoneVariance,0.42892685679351267,0.2243955456106211,0.9346876137504972,0.37195910588376113,0.48854330325031314,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LargeAreaHighGrayLevelEmphasis,0.41442886528219613,0.22259208719371576,0.8967221833168082,0.4050094732538228,0.5241299065637707,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Maximum,0.46934320730080104,0.6537549135726176,-0.4781066049387959,0.4533308317143764,0.5781610607371757,l_hippocampus,male_P45_nrxn,male_P45_control
