,binWidth_1_vISO_male_P45_nrxn,binWidth_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
original_firstorder_90Percentile,0.2861253264701471,0.697436744913129,-1.2854151715503446,0.06965016005066042,0.19269901453542743,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Energy,0.12562838652924838,0.43692369716827856,-1.7982188673468829,0.1588487182401822,0.19269901453542743,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Kurtosis,0.4054676960059381,0.019458602814600552,4.3811069489780525,0.11064362391092412,0.19269901453542743,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Maximum,0.09616786350629014,0.43617104028990344,-2.1812672119188097,0.14568237641564816,0.19269901453542743,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_MeanAbsoluteDeviation,0.2868878518947538,0.7096719204134508,-1.3066653450726609,0.08970115926858971,0.19269901453542743,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Mean,0.17466783971895417,0.500707042660249,-1.519352747617398,0.15113123203302412,0.19269901453542743,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Range,0.09616786350629014,0.43617104028990344,-2.1812672119188097,0.14568237641564816,0.19269901453542743,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_RobustMeanAbsoluteDeviation,0.21009297920418618,0.5906301217426317,-1.4912269833728093,0.16517058388750921,0.19269901453542743,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_RootMeanSquared,0.23099604190274292,0.597818072409886,-1.3718383798401663,0.09461702989091396,0.19269901453542743,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Skewness,0.47660436047086757,0.06948701715649783,2.777976793573165,0.09330653707500661,0.19269901453542743,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_TotalEnergy,0.1256283865292484,0.43692369716827867,-1.7982188673468829,0.15884871824018199,0.19269901453542743,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Variance,0.18416202740644003,0.5582376836829129,-1.599903895388446,0.09645954329361028,0.19269901453542743,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_InterquartileRange,0.16970306797679846,0.4859186300033498,-1.5177020992186296,0.2899985935847957,0.31230617770670305,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Median,2.7708506511499033e-07,0.20000044333610417,-19.46124281566241,0.40708320481489724,0.40708320481489724,r_amygdala,male_P45_nrxn,male_P45_control
